[Event-to-counter mappings]
pmc1=data_mem_access
pmc2=data_read_retired
pmc3=data_write_retired
pmc4=dtlb_misses
[Event counts]
nsample    pid      event          pmc1          pmc2          pmc3          pmc4
      1  11952       tick       4470674             0             0         39601 
      2  11952       tick       6372125             0             0         33272 
      3  11952       tick       6373137             0             0         33279 
      4  11952       tick       6364796             0             0         33236 
      5  11952       tick       6371121             0             0         33270 
      6  11952       tick       6380442             0             0         33315 
      7  11952       tick       6374785             0             0         33287 
      8  11952       tick       6372708             0             0         33276 
      9  11952       tick       6099047             0             0         31846 
     10  11952       tick       6621749             0             0         34576 
     11  11952       tick       6383060             0             0         33334 
     12  11952       tick       6372859             0             0         33278 
     13  11952       tick       6370049             0             0         33262 
     14  11952       tick       6367840             0             0         33257 
     15  11952       tick       6368234             0             0         33255 
     16  11952       tick       6381503             0             0         33323 
     17  11952       tick       6362727             0             0         33241 
     18  11952       tick       6372364             0             0         33276 
     19  11952       tick       6368560             0             0         33257 
     20  11952       tick       6365563             0             0         33243 
     21  11952       tick       6370869             0             0         33266 
     22  11952       exit        165998             0             0           906 
