[Event-to-counter mappings]
pmc1=l2_cache_accesses
pmc2=l2_cache_refills
pmc3=l2_cache_writebacks
pmc4=llc_accesses
[Event counts]
nsample    pid      event          pmc1          pmc2          pmc3          pmc4
      1  18757       tick        240761          3666           449        240761 
      2  18757       tick        238529          1540            72        238529 
      3  18757       tick        238751          1487            71        238751 
      4  18757       tick        248291          1105            61        248291 
      5  18757       tick        249992          1441            61        249992 
      6  18757       tick        249470           825            29        249470 
      7  18757       tick        250151          1566            53        250151 
      8  18757       tick        249650          1445            62        249650 
      9  18757       tick        249378          1357            58        249378 
     10  18757       tick        249761          1285            52        249761 
     11  18757       tick        249655          1244            56        249655 
     12  18757       tick        250487          1688            75        250487 
     13  18757       tick        249529          1605            76        249529 
     14  18757       tick        242303          1088            51        242303 
     15  18757       tick        257740          1562            46        257740 
     16  18757       tick        250051          1386            51        250051 
     17  18757       tick        250090          1342            52        250090 
     18  18757       tick        249706          1419            59        249706 
     19  18757       tick        249793          1406            61        249793 
     20  18757       tick        249888          1384            36        249888 
     21  18757       tick        249978          1341            52        249978 
     22  18757       tick        249764          1357            56        249764 
     23  18757       tick        249661          1389            50        249661 
     24  18757       tick        250058          1346            54        250058 
     25  18757       tick        250143          1396            61        250143 
     26  18757       tick        249976          1364            44        249976 
     27  18757       tick        249875          1433            65        249875 
     28  18757       tick        250049          1378            56        250049 
     29  18757       tick        249732          1416            32        249732 
     30  18757       tick        249947          1400            50        249947 
     31  18757       tick        250021          1355            50        250021 
     32  18757       tick        249961          1351            43        249961 
     33  18757       exit        213793          1880            55        213793 
