[Event-to-counter mappings]
pmc0=cycles_allmodes
pmc1=bus_accesses
pmc2=cycles
pmc3=data_cache_eviction
[Event counts]
nsample    pid      event          pmc0          pmc1          pmc2          pmc3
      1  21971       tick     128913224         19399     114983374          8396 
      2  21971       tick     131444380         10852     120213855          6378 
      3  21971       tick     130037464         11168     119051108          6387 
      4  21971       tick     130004594          8656     119040548          4275 
      5  21971       tick     129999120          8708     118907420          3738 
      6  21971       tick     130035988         10252     119094001          3580 
      7  21971       tick     130004477          9368     119041832          3702 
      8  21971       tick     130034532         10241     119185266          3649 
      9  21971       tick     130037816         10173     119151506          3797 
     10  21971       tick     130037795          8364     119229429          3613 
     11  21971       tick     129860488          9144     118847301          3618 
     12  21971       tick     130006726          9349     119015675          3692 
     13  21971       tick     130037257         10036     119141770          3542 
     14  21971       tick     130007669          9848     119170414          3787 
     15  21971       tick     130005253          9288     119113290          3512 
     16  21971       tick     130035615          9667     119162829          3557 
     17  21971       tick     130004570          9316     119095846          3737 
     18  21971       tick     130035287          8762     119192970          3657 
     19  21971       tick     130038948          9431     119154171          3643 
     20  21971       tick     130040810          8893     119183274          3601 
     21  21971       tick     130003058          9551     119123621          3836 
     22  21971       tick     130008264          9056     119175571          3529 
     23  21971       tick     130037667          9334     119129142          3622 
     24  21971       tick     130004621          9369     119156393          3832 
     25  21971       tick     130008335          9572     119128932          3581 
     26  21971       tick     130039623          9570     119208584          3668 
     27  21971       tick     129903240         10075     119081948          3677 
     28  21971       tick     130166708          8980     119223577          3655 
     29  21971       tick     130036018          8913     119165962          3701 
     30  21971       tick     130038580          9521     119205441          3550 
     31  21971       tick     129877655          9384     118882465          3778 
     32  21971       tick     130002659          9619     119069457          3604 
     33  21971       exit     112738325         11080     102888496          3028 
