[Event-to-counter mappings]
pmc1=data_mem_access
pmc2=data_read_retired
pmc3=data_write_retired
pmc4=dtlb_misses
[Event counts]
nsample    pid      event          pmc1          pmc2          pmc3          pmc4
      1  13239       tick        161235             0             0          1949 
      2  13239       tick             0             0             0             0 
      3  13239       tick             0             0             0             0 
      4  13239       tick             0             0             0             0 
      5  13239       tick             0             0             0             0 
      6  13239       tick             0             0             0             0 
      7  13239       tick             0             0             0             0 
      8  13239       tick             0             0             0             0 
      9  13239       tick             0             0             0             0 
     10  13239       tick             0             0             0             0 
     11  13239       tick             0             0             0             0 
     12  13239       tick             0             0             0             0 
     13  13239       tick             0             0             0             0 
     14  13239       tick             0             0             0             0 
     15  13239       tick             0             0             0             0 
     16  13239       tick             0             0             0             0 
     17  13239       tick             0             0             0             0 
     18  13239       tick             0             0             0             0 
     19  13239       tick             0             0             0             0 
     20  13239       exit          1257             0             0            44 
