[Event-to-counter mappings]
pmc1=itlb_misses
pmc2=l1_data_accesses
pmc3=l1_data_refills
pmc4=l1_instr_refills
[Event counts]
nsample    pid      event          pmc1          pmc2          pmc3          pmc4
      1   5410       tick          8180      57823760         63576        148419 
      2   5410       tick          9465      87131608         47249         31173 
      3   5410       tick          9366      87087020         47440         31495 
      4   5410       tick          9402      87236152         47159         31023 
      5   5410       tick          9470      87244245         47556         31201 
      6   5410       tick          9451      87228287         47991         31308 
      7   5410       tick          9290      87293316         47844         30748 
      8   5410       tick          9295      87194242         47396         31067 
      9   5410       tick          9309      87264241         47527         31214 
     10   5410       tick          9287      87213339         47554         31126 
     11   5410       tick          9270      87189429         47661         31343 
     12   5410       tick          9066      87241049         47842         30820 
     13   5410       tick          9214      87238894         47867         31091 
     14   5410       tick          9195      87230232         47703         31120 
     15   5410       tick          9166      87232116         47533         30946 
     16   5410       tick          9155      87242183         47873         30778 
     17   5410       tick          9235      87257952         47549         31133 
     18   5410       tick          9311      87000798         47778         31784 
     19   5410       tick          9307      87268917         47700         31378 
     20   5410       tick          9245      87221482         47762         31033 
     21   5410       tick          9323      87264053         47929         31255 
     22   5410       tick          9298      87253547         47873         31391 
     23   5410       tick          9198      87207826         47569         31262 
     24   5410       tick          9216      87236355         47771         31331 
     25   5410       tick          9255      87244055         48018         31487 
     26   5410       tick          9282      87175872         47813         31414 
     27   5410       tick          9293      87243223         47894         31523 
     28   5410       tick          9221      87191265         47623         31200 
     29   5410       tick          9236      87232281         47880         31418 
     30   5410       tick          9150      87234875         47735         31217 
     31   5410       exit          3028      25976853         16316         10245 
