[Event-to-counter mappings]
pmc1=inmediate_branches_retired
pmc2=instr
pmc3=instr_arch_executed
pmc4=instr_cache_access
[Event counts]
nsample    pid      event          pmc1          pmc2          pmc3          pmc4
      1   5669       tick             0      20213877      20213877        345832 
      2   5669       tick             0      27883338      27883338          2609 
      3   5669       tick             0      27856458      27856458          2567 
      4   5669       tick             0      27745413      27745413          2446 
      5   5669       tick             0      27745703      27745703          2571 
      6   5669       tick             0      27712095      27712095          2467 
      7   5669       tick             0      27725823      27725823          2455 
      8   5669       tick             0      27726928      27726928          2495 
      9   5669       tick             0      27744635      27744635          2515 
     10   5669       tick             0      27704919      27704919          3028 
     11   5669       tick             0      27762652      27762652          2544 
     12   5669       tick             0      27740084      27740084          2448 
     13   5669       tick             0      27723002      27723002          2566 
     14   5669       tick             0      27701461      27701461          2534 
     15   5669       tick             0      27732154      27732154          2518 
     16   5669       tick             0      27729825      27729825          2537 
     17   5669       tick             0      27755089      27755089          2449 
     18   5669       tick             0      27751602      27751602          2466 
     19   5669       tick             0      27732334      27732334          2450 
     20   5669       tick             0      27728256      27728256          2471 
     21   5669       exit             0      24708838      24708838          4606 
