[Event-to-counter mappings]
pmc0=cycles_allmodes
pmc1=bus_accesses
pmc2=cycles
pmc3=data_cache_eviction
[Event counts]
nsample    pid      event          pmc0          pmc1          pmc2          pmc3
      1  14929       tick     179852774      11205445     118873674       1438197 
      2  14929       tick     180695309      16517700     178510324       2072492 
      3  14929       tick     180060333      16485725     177942569       2063794 
      4  14929       tick     180061626      16483586     177963851       2064789 
      5  14929       tick     180018856      16466858     177791047       2064265 
      6  14929       tick     179973514      16456996     177680844       2061212 
      7  14929       tick     178071295      16246903     175963013       2037024 
      8  14929       tick     181959973      16638458     179666453       2084661 
      9  14929       tick     180068216      16470037     177911606       2061770 
     10  14929       tick     180062992      16476386     177872627       2066636 
     11  14929       tick     180070916      16479679     177928765       2063154 
     12  14929       tick     180069969      16482050     177964924       2064080 
     13  14929       tick     180069375      16477751     177858766       2066538 
     14  14929       tick     180070454      16467931     177909464       2062894 
     15  14929       tick     179979985      16454739     177740385       2063069 
     16  14929       tick     180024263      16445794     177839266       2059388 
     17  14929       tick     180027750      16443811     177844383       2058934 
     18  14929       tick     180020346      16468205     177813409       2064460 
     19  14929       tick     180067816      16474483     177918611       2062430 
     20  14929       tick     180072643      16483055     177946790       2066532 
     21  14929       tick     180035899      16469317     177820121       2064976 
     22  14929       exit     104656971       8888661      96216019       1112951 
