[Event-to-counter mappings]
pmc1=inmediate_branches_retired
pmc2=instr
pmc3=instr_arch_executed
pmc4=instr_cache_access
[Event counts]
nsample    pid      event          pmc1          pmc2          pmc3          pmc4
      1   2377       tick             0      20772991      20772991        313059 
      2   2377       tick             0      27133418      27133418          2363 
      3   2377       tick             0      27183586      27183586          2173 
      4   2377       tick             0      27124801      27124801          2251 
      5   2377       tick             0      27249878      27249878          2245 
      6   2377       tick             0      27153018      27153018          2250 
      7   2377       tick             0      27149308      27149308          2175 
      8   2377       tick             0      27152867      27152867          2233 
      9   2377       tick             0      27229840      27229840          2135 
     10   2377       tick             0      27161078      27161078          2164 
     11   2377       tick             0      27128626      27128626          2159 
     12   2377       tick             0      27165261      27165261          2224 
     13   2377       tick             0      27252768      27252768          2117 
     14   2377       tick             0      27123818      27123818          2097 
     15   2377       tick             0      27165048      27165048          2168 
     16   2377       tick             0      27212529      27212529          2225 
     17   2377       tick             0      27109938      27109938          2062 
     18   2377       tick             0      27226338      27226338          2277 
     19   2377       tick             0      27129978      27129978          2183 
     20   2377       exit             0      14299532      14299532          3826 
