[Event-to-counter mappings]
pmc1=llc_misses
pmc2=mispred_branches
pmc3=potentially_predicted_branches
[Event counts]
nsample    pid      event          pmc1          pmc2          pmc3
      1  31086       tick         15198        266648       8211492 
      2  31086       tick           618          7179       2392012 
      3  31086       tick           499          7602       2396006 
      4  31086       tick           482          7793       2395084 
      5  31086       tick           440          7391       2395577 
      6  31086       tick           453          7623       2396716 
      7  31086       tick           380          7677       2397302 
      8  31086       tick           443          7696       2395406 
      9  31086       tick           367          7522       2397585 
     10  31086       tick           466          8339       2397162 
     11  31086       tick           438          8129       2397176 
     12  31086       tick           459          8354       2394117 
     13  31086       tick           489          7899       2397066 
     14  31086       tick           638          7915       2395716 
     15  31086       tick           688          8330       2393915 
     16  31086       tick           439          8052       2397404 
     17  31086       tick           496          7971       2396655 
     18  31086       tick           451          7900       2396080 
     19  31086       tick           509          8177       2396466 
     20  31086       tick           466          8061       2396604 
     21  31086       tick           414          8038       2396062 
     22  31086       exit          2524          4824        912534 
