[Event-to-counter mappings]
pmc1=l2_cache_accesses
pmc2=l2_cache_refills
pmc3=l2_cache_writebacks
pmc4=llc_accesses
[Event counts]
nsample    pid      event          pmc1          pmc2          pmc3          pmc4
      1  20021       tick        322117         15357          2902        322117 
      2  20021       tick        148235           527           119        148235 
      3  20021       tick        148040           509           110        148040 
      4  20021       tick        148883           433            92        148883 
      5  20021       tick        148417           375            74        148417 
      6  20021       tick        149785           475            67        149785 
      7  20021       tick        148270           420            90        148270 
      8  20021       tick        150264           518            89        150264 
      9  20021       tick        150013           409            71        150013 
     10  20021       tick        147437           394            67        147437 
     11  20021       tick        148142           420            70        148142 
     12  20021       tick        148921           473            80        148921 
     13  20021       tick        147897           394            71        147897 
     14  20021       tick        149309           361            77        149309 
     15  20021       tick        151389           403            69        151389 
     16  20021       tick        148407           363            71        148407 
     17  20021       tick        150423           377            69        150423 
     18  20021       tick        151536           466            76        151536 
     19  20021       tick        148387           390            70        148387 
     20  20021       tick        149960           501            88        149960 
     21  20021       tick        151071           459            63        151071 
     22  20021       exit        106419          2678           363        106419 
