[Event-to-counter mappings]
pmc1=l2_cache_accesses
pmc2=l2_cache_refills
pmc3=l2_cache_writebacks
pmc4=llc_accesses
[Event counts]
nsample    pid      event          pmc1          pmc2          pmc3          pmc4
      1  23560       tick        113690         14411          2712        113690 
      2  23560       tick        103157            18             4        103157 
      3  23560       tick         39049           569           147         39049 
      4  23560       tick         28914            73            16         28914 
      5  23560       tick         28639            59            15         28639 
      6  23560       tick         29488            99            18         29488 
      7  23560       tick         28775            73            15         28775 
      8  23560       tick         29407            54            15         29407 
      9  23560       tick         29065            85            14         29065 
     10  23560       tick         28693            80            14         28693 
     11  23560       tick         29240            99            16         29240 
     12  23560       tick         29418            63             9         29418 
     13  23560       tick         28871            82            11         28871 
     14  23560       tick         29676            74            22         29676 
     15  23560       tick         28674            86            11         28674 
     16  23560       tick         29042            73            10         29042 
     17  23560       tick         29724            99            16         29724 
     18  23560       tick         29167            79            15         29167 
     19  23560       tick         29223            39            13         29223 
     20  23560       tick         29340            84            18         29340 
     21  23560       tick         28875            71            14         28875 
     22  23560       tick         28756            63            12         28756 
     23  23560       tick         28878            71            12         28878 
     24  23560       tick         28568            50            11         28568 
     25  23560       tick         29180            50            12         29180 
     26  23560       tick         28967           103            18         28967 
     27  23560       tick         29090            80             8         29090 
     28  23560       tick         29354            98            22         29354 
     29  23560       tick         28710            84             8         28710 
     30  23560       tick         28758            85            17         28758 
     31  23560       tick         29105            61             9         29105 
     32  23560       tick         28769            64             9         28769 
     33  23560       tick         29005           102            11         29005 
     34  23560       tick         29116            82            11         29116 
     35  23560       tick         28948           107            13         28948 
     36  23560       tick         29168            77            16         29168 
     37  23560       tick         28657            74            11         28657 
     38  23560       tick         29250            86            21         29250 
     39  23560       tick         28992            66            13         28992 
     40  23560       tick         28244            73            15         28244 
     41  23560       tick         29316            80            14         29316 
     42  23560       tick         28562            69            10         28562 
     43  23560       tick         28507            70            10         28507 
     44  23560       tick         29353            89             9         29353 
     45  23560       tick         29550           102            11         29550 
     46  23560       tick         28648            70            13         28648 
     47  23560       tick         30366            86            17         30366 
     48  23560       tick         28871            76            15         28871 
     49  23560       tick         29223            72            20         29223 
     50  23560       tick         29047            70            11         29047 
     51  23560       tick         28780            65             9         28780 
     52  23560       tick         29647            53            14         29647 
     53  23560       tick         29213            67            12         29213 
     54  23560       tick         29053            80             6         29053 
     55  23560       tick         29507            77             9         29507 
     56  23560       tick         29491            88            22         29491 
     57  23560       tick         28861            64            18         28861 
     58  23560       tick         28591            84            11         28591 
     59  23560       tick         29090            59            14         29090 
     60  23560       tick         28689            65             6         28689 
     61  23560       tick         28785            77            17         28785 
     62  23560       tick         29026            78            11         29026 
     63  23560       tick         29323            95            16         29323 
     64  23560       tick         29393           100            12         29393 
     65  23560       tick         29152            76             9         29152 
     66  23560       tick         29352           108            30         29352 
     67  23560       tick         29744            86            21         29744 
     68  23560       tick         29182            69            23         29182 
     69  23560       tick         29053            53             8         29053 
     70  23560       tick         28639            47             9         28639 
     71  23560       tick         29369            65            10         29369 
     72  23560       tick         29430            62             8         29430 
     73  23560       tick         28919            72            10         28919 
     74  23560       tick         29397            68            16         29397 
     75  23560       tick         29380            82            12         29380 
     76  23560       tick         28727            86             9         28727 
     77  23560       tick         29049            90            17         29049 
     78  23560       tick         29139            62             9         29139 
     79  23560       tick         28994            57             6         28994 
     80  23560       tick         29105            81            16         29105 
     81  23560       tick         29271            63            11         29271 
     82  23560       tick         28984            70            12         28984 
     83  23560       tick         29107            63            18         29107 
     84  23560       tick         29264            70            11         29264 
     85  23560       tick         29201           107            22         29201 
     86  23560       tick         28557            77            10         28557 
     87  23560       tick         29379            93             9         29379 
     88  23560       tick         28595            68            10         28595 
     89  23560       tick         29339            44             9         29339 
     90  23560       tick         28893            59             6         28893 
     91  23560       tick         29004            66             8         29004 
     92  23560       tick         29410            65            13         29410 
     93  23560       tick         29312           103            14         29312 
     94  23560       tick         28950            71            17         28950 
     95  23560       tick         28849            55            11         28849 
     96  23560       tick         28991            40             8         28991 
     97  23560       tick         29065            62            11         29065 
     98  23560       tick         28706            76            18         28706 
     99  23560       tick         29229            57            13         29229 
    100  23560       tick         29039            78            14         29039 
    101  23560       tick         28822            67            14         28822 
    102  23560       tick         29120           103            18         29120 
    103  23560       tick         29188            77            14         29188 
    104  23560       tick         28798            62             7         28798 
    105  23560       tick         29251            79             7         29251 
    106  23560       tick         28895            69            12         28895 
    107  23560       tick         29122            85            13         29122 
    108  23560       tick         29082           100            11         29082 
    109  23560       tick         28449            64            10         28449 
    110  23560       tick         28863            67             9         28863 
    111  23560       tick         29224            80            14         29224 
    112  23560       tick         29122            75            21         29122 
    113  23560       tick         28911            60             6         28911 
    114  23560       tick         28786            44             7         28786 
    115  23560       tick         29475            75            12         29475 
    116  23560       tick         28948            58             8         28948 
    117  23560       tick         28707            51            10         28707 
    118  23560       tick         28989            74            12         28989 
    119  23560       tick         29448            72            14         29448 
    120  23560       tick         28665            61            10         28665 
    121  23560       tick         28713            67            10         28713 
    122  23560       tick         28985            82            13         28985 
    123  23560       tick         28459            65             8         28459 
    124  23560       tick         28871            69             8         28871 
    125  23560       tick         29474            72            16         29474 
    126  23560       tick         28555            68            13         28555 
    127  23560       tick         29400           117            16         29400 
    128  23560       tick         28745            88            14         28745 
    129  23560       tick         29244            92            18         29244 
    130  23560       tick         29154            68            10         29154 
    131  23560       tick         28794            70            13         28794 
    132  23560       tick         29086            78            13         29086 
    133  23560       tick         29229            51            12         29229 
    134  23560       tick         28556            79            13         28556 
    135  23560       tick         28923            66             8         28923 
    136  23560       tick         28335            70            17         28335 
    137  23560       tick         29173            93            19         29173 
    138  23560       tick         28837            88            14         28837 
    139  23560       tick         28719            68             9         28719 
    140  23560       tick         29354            71             9         29354 
    141  23560       tick         29153            90            10         29153 
    142  23560       exit         34596          2403           321         34596 
