[Event-to-counter mappings]
pmc1=inmediate_branches_retired
pmc2=instr
pmc3=instr_arch_executed
pmc4=instr_cache_access
[Event counts]
nsample    pid      event          pmc1          pmc2          pmc3          pmc4
      1  15414       tick             0      12995467      12995467       4688534 
      2  15414       tick             0      34366214      34366214      12192127 
      3  15414       tick             0      34236464      34236464      12207129 
      4  15414       tick             0      34375113      34375113      12016183 
      5  15414       tick             0      34401160      34401160      12422668 
      6  15414       tick             0      34441403      34441403      12044503 
      7  15414       tick             0      34476185      34476185      12032186 
      8  15414       tick             0      34322797      34322797      12415763 
      9  15414       tick             0      34411930      34411930      12017801 
     10  15414       tick             0      34451589      34451589      12171820 
     11  15414       tick             0      34117957      34117957      12196294 
     12  15414       tick             0      34444308      34444308      12019702 
     13  15414       tick             0      34347693      34347693      12424627 
     14  15414       tick             0      34445566      34445566      12024475 
     15  15414       tick             0      34426340      34426340      12101602 
     16  15414       tick             0      34277419      34277419      12315876 
     17  15414       tick             0      34397337      34397337      12011990 
     18  15414       tick             0      34540632      34540632      12246739 
     19  15414       tick             0      34151701      34151701      12164666 
     20  15414       tick             0      34317339      34317339      11971281 
     21  15414       tick             0      34354327      34354327      12401342 
     22  15414       tick             0      34434033      34434033      12030582 
     23  15414       tick             0      34411585      34411585      12128540 
     24  15414       tick             0      34301582      34301582      12296184 
     25  15414       tick             0      34470920      34470920      12023329 
     26  15414       tick             0      34376095      34376095      12343107 
     27  15414       tick             0      34312177      34312177      12055238 
     28  15414       tick             0      34428151      34428151      12016075 
     29  15414       tick             0      34264502      34264502      12385125 
     30  15414       tick             0      34359487      34359487      11999826 
     31  15414       tick             0      34439298      34439298      12123148 
     32  15414       tick             0      34331135      34331135      12271815 
     33  15414       tick             0      34486931      34486931      12038216 
     34  15414       tick             0      34317282      34317282      12395782 
     35  15414       tick             0      34347733      34347733      11992644 
     36  15414       tick             0      34323679      34323679      12112607 
     37  15414       tick             0      33835995      33835995      12088909 
     38  15414       tick             0      34898244      34898244      12198060 
     39  15414       tick             0      34464618      34464618      12196529 
     40  15414       tick             0      34155427      34155427      12207411 
     41  15414       tick             0      34393162      34393162      12005156 
     42  15414       tick             0      34297271      34297271      12395632 
     43  15414       tick             0      34435466      34435466      12028704 
     44  15414       tick             0      34393453      34393453      12102513 
     45  15414       tick             0      34292655      34292655      12292734 
     46  15414       tick             0      34328534      34328534      11997519 
     47  15414       tick             0      34308123      34308123      12363239 
     48  15414       tick             0      34309742      34309742      12022864 
     49  15414       tick             0      34481649      34481649      12107993 
     50  15414       tick             0      34360089      34360089      12302940 
     51  15414       tick             0      34298963      34298963      11988237 
     52  15414       tick             0      34456844      34456844      12128584 
     53  15414       tick             0      34293957      34293957      12292230 
     54  15414       tick             0      34323681      34323681      11997856 
     55  15414       tick             0      34309024      34309024      12385995 
     56  15414       tick             0      34400513      34400513      12014780 
     57  15414       tick             0      34325440      34325440      12103600 
     58  15414       tick             0      34332484      34332484      12298523 
     59  15414       tick             0      34469611      34469611      12029252 
     60  15414       tick             0      34441730      34441730      12197341 
     61  15414       tick             0      34270273      34270273      12220584 
     62  15414       tick             0      34338893      34338893      12016142 
     63  15414       tick             0      34394250      34394250      12377411 
     64  15414       tick             0      34348153      34348153      11993370 
     65  15414       tick             0      34420289      34420289      12134790 
     66  15414       tick             0      34225503      34225503      12270106 
     67  15414       tick             0      34420116      34420116      12034250 
     68  15414       tick             0      34515348      34515348      12305142 
     69  15414       tick             0      34194002      34194002      12110615 
     70  15414       tick             0      34348375      34348375      12099331 
     71  15414       tick             0      34289446      34289446      12267799 
     72  15414       tick             0      34381465      34381465      12012692 
     73  15414       tick             0      34403736      34403736      12118044 
     74  15414       tick             0      34246043      34246043      12276956 
     75  15414       tick             0      34464911      34464911      12024006 
     76  15414       tick             0      34326149      34326149      12396584 
     77  15414       tick             0      34377127      34377127      12006649 
     78  15414       tick             0      34412564      34412564      12130994 
     79  15414       tick             0      34362221      34362221      12310609 
     80  15414       tick             0      34444447      34444447      11991660 
     81  15414       tick             0      34436168      34436168      12139086 
     82  15414       tick             0      34298453      34298453      12275239 
     83  15414       tick             0      34454092      34454092      12045987 
     84  15414       tick             0      34326744      34326744      12377455 
     85  15414       tick             0      34458498      34458498      12017202 
     86  15414       tick             0      34425339      34425339      12129864 
     87  15414       tick             0      34314052      34314052      12296714 
     88  15414       tick             0      34463696      34463696      12025703 
     89  15414       tick             0      34471380      34471380      12131708 
     90  15414       tick             0      34234550      34234550      12234319 
     91  15414       tick             0      34379525      34379525      12118574 
     92  15414       tick             0      34303777      34303777      12270217 
     93  15414       tick             0      34467435      34467435      12029671 
     94  15414       tick             0      34415935      34415935      12136766 
     95  15414       tick             0      34352971      34352971      12301874 
     96  15414       tick             0      34412658      34412658      12034089 
     97  15414       tick             0      34470875      34470875      12171777 
     98  15414       tick             0      34238895      34238895      12227378 
     99  15414       tick             0      34461315      34461315      12110391 
    100  15414       tick             0      34301771      34301771      12272837 
    101  15414       tick             0      34415925      34415925      12018723 
    102  15414       tick             0      34454145      34454145      12124829 
    103  15414       tick             0      34308983      34308983      12289230 
    104  15414       tick             0      34517354      34517354      12026875 
    105  15414       tick             0      34458390      34458390      12167575 
    106  15414       tick             0      34327957      34327957      12280049 
    107  15414       tick             0      33430265      33430265      11700931 
    108  15414       tick             0      35259532      35259532      12689835 
    109  15414       tick             0      34412702      34412702      12026976 
    110  15414       tick             0      34267339      34267339      12091249 
    111  15414       tick             0      34317663      34317663      12307257 
    112  15414       tick             0      34377169      34377169      12016094 
    113  15414       tick             0      34683727      34683727      12229131 
    114  15414       tick             0      34257620      34257620      12226274 
    115  15414       tick             0      34410182      34410182      12138257 
    116  15414       tick             0      34300595      34300595      12263287 
    117  15414       tick             0      34336765      34336765      12009618 
    118  15414       tick             0      34348752      34348752      12100598 
    119  15414       tick             0      34238065      34238065      12296725 
    120  15414       tick             0      34388517      34388517      12119699 
    121  15414       tick             0      34577861      34577861      12219952 
    122  15414       tick             0      34236706      34236706      12100641 
    123  15414       tick             0      34410916      34410916      12132250 
    124  15414       tick             0      34358462      34358462      12295952 
    125  15414       tick             0      34351871      34351871      12003493 
    126  15414       tick             0      34455339      34455339      12127279 
    127  15414       tick             0      34281495      34281495      12295894 
    128  15414       tick             0      34349187      34349187      12096477 
    129  15414       tick             0      34444821      34444821      12292384 
    130  15414       tick             0      34290752      34290752      12019522 
    131  15414       tick             0      34382796      34382796      12134936 
    132  15414       tick             0      34347870      34347870      12302018 
    133  15414       tick             0      34393268      34393268      12025341 
    134  15414       tick             0      34353723      34353723      12113062 
    135  15414       tick             0      34288977      34288977      12275946 
    136  15414       tick             0      34384040      34384040      12120318 
