[Event-to-counter mappings]
pmc0=cycles_allmodes
pmc1=bus_accesses
pmc2=cycles
pmc3=data_cache_eviction
[Event counts]
nsample    pid      event          pmc0          pmc1          pmc2          pmc3
      1   6600       tick      30361279         27668      11360205         73366 
      2   6600       tick      29928759          4188      28794904        183265 
      3   6600       tick      30077363          4448      28806303        181829 
      4   6600       tick      29982966          3172      28701351        180279 
      5   6600       tick      30012557          3180      28881852        185506 
      6   6600       tick      29980239          3548      28714217        180091 
      7   6600       tick      30012108          2804      28886457        185210 
      8   6600       tick      30011987          3788      28791066        180732 
      9   6600       tick      30011894          2896      28836837        182636 
     10   6600       tick      29990574          3456      28793589        183377 
     11   6600       tick      30012723          3120      28801001        181570 
     12   6600       tick      29997014          2596      28876038        185561 
     13   6600       tick      29997221          3520      28749314        181034 
     14   6600       tick      29060226          2704      27968299        179310 
     15   6600       tick      30930928          2664      29682663        187902 
     16   6600       tick      30013470          3216      28777059        180619 
     17   6600       tick      30011860          2780      28910360        185640 
     18   6600       tick      29938097          2420      28739626        180734 
     19   6600       tick      30085067          2856      28951252        185411 
     20   6600       tick      30011944          4272      28750333        180797 
     21   6600       tick      29995703          3920      28810787        182811 
     22   6600       tick      29996917          3000      28801547        183798 
     23   6600       tick      29976112          3356      28729151        180357 
     24   6600       tick      29995310          2532      28877063        185221 
     25   6600       tick      30011011          2808      28789557        181381 
     26   6600       tick      30011652          3440      28845621        184419 
     27   6600       tick      30012187          5036      28818534        181098 
     28   6600       tick      30013271          2996      28835375        181341 
     29   6600       tick      30011735          3200      28827598        184283 
     30   6600       tick      29996750          3649      28764275        180916 
     31   6600       tick      29995732          2652      28866684        185853 
     32   6600       tick      29996694          3158      28753696        181235 
     33   6600       tick      29976514          3116      28787890        183198 
     34   6600       tick      29947248          3740      28767117        182833 
     35   6600       tick      30076304          2792      28828871        181609 
     36   6600       tick      30012531          2901      28898562        185557 
     37   6600       tick      30012688          3212      28806564        180816 
     38   6600       tick      30012766          2296      28863532        184687 
     39   6600       tick      29997135          3128      28803421        181648 
     40   6600       tick      29995764          3460      28826699        181341 
     41   6600       tick      29999480          3586      28772890        183954 
     42   6600       tick      29996214          3076      28758545        181056 
     43   6600       tick      29990838          2944      28874458        185878 
     44   6600       tick      30012583          2684      28795605        181904 
     45   6600       tick      30012746          5608      28820366        182318 
     46   6600       tick      30012601          3132      28826713        182562 
     47   6600       tick      30013127          2768      28799072        180352 
     48   6600       tick      29997112          2908      28865286        186929 
     49   6600       tick      30008970          3986      28709394        181116 
     50   6600       tick      30005631          2500      28823888        184101 
     51   6600       tick      29995833          2864      28801010        182697 
     52   6600       tick      30011165          2596      28876583        182506 
     53   6600       tick      29989032          2604      28802598        184780 
     54   6600       tick      30012752          3432      28792493        180822 
     55   6600       tick      30011978          2535      28913823        185586 
     56   6600       tick      30011983          3428      28773327        180049 
     57   6600       tick      29996443          2732      28843530        183092 
     58   6600       tick      29996049          2560      28794371        183409 
     59   6600       tick      29997727          2760      28777745        181192 
     60   6600       tick      29996319          2801      28883736        185135 
     61   6600       tick      30012330          2824      28784197        180354 
     62   6600       tick      30013515          2800      28868126        183077 
     63   6600       tick      29990859          2850      28804516        182945 
     64   6600       tick      30012721          2652      28804969        180777 
     65   6600       tick      30011964          2472      28907928        185870 
     66   6600       tick      29933979          3732      28723112        179757 
     67   6600       tick      30056803          2643      28870735        183971 
     68   6600       tick      29996894          3012      28797783        181611 
     69   6600       tick      29996227          3437      28796744        182286 
     70   6600       tick      30012617          3074      28845689        183161 
     71   6600       tick      30012661          3348      28803432        180967 
     72   6600       tick      30012640          2264      28900615        185348 
     73   6600       tick      29991057          3380      28761521        180328 
     74   6600       tick      30012428          3040      28851491        181811 
     75   6600       tick      29997005          2704      28822748        183358 
     76   6600       tick      29996561          3484      28807791        181162 
     77   6600       tick      29997499          2476      28833960        184926 
     78   6600       tick      29997330          2524      28770225        180446 
     79   6600       tick      30012643          2724      28861103        184265 
     80   6600       tick      30012129          3056      28842300        181906 
     81   6600       tick      30012148          2772      28871676        182757 
     82   6600       tick      29975075          2708      28822609        183211 
     83   6600       tick      30027304          2741      28779689        181081 
     84   6600       tick      29998419          2308      28873324        185318 
     85   6600       tick      29996065          3172      28754001        180080 
     86   6600       tick      29997424          3240      28822588        182672 
     87   6600       tick      29996691          2688      28782201        182354 
     88   6600       tick      30011948          2836      28825120        180786 
     89   6600       tick      30011969          3288      28836060        184393 
     90   6600       tick      30011301          3200      28781193        180358 
     91   6600       tick      30012697          2400      28880170        183090 
     92   6600       tick      30012017          2804      28824089        182964 
     93   6600       tick      29164971          2840      27992180        176505 
     94   6600       tick      30804507          2548      29603443        188028 
     95   6600       tick      29998066          3088      28737651        180774 
     96   6600       tick      29996523          3045      28833140        184583 
     97   6600       tick      30012618          2379      28781742        180032 
     98   6600       tick      29976132          2928      28854350        182587 
     99   6600       tick      30047114          2760      28855429        183489 
    100   6600       tick      30018074          3101      28842064        181742 
    101   6600       tick      30017724          2344      28887899        184766 
    102   6600       tick      29986094          3336      28710679        180150 
    103   6600       tick      29995807          2864      28827551        182489 
    104   6600       tick      30002011          2888      28807814        182305 
    105   6600       tick      30002839          2640      28841860        183199 
    106   6600       tick      30016773          3040      28839518        182598 
    107   6600       tick      30018816          2572      28804407        180733 
    108   6600       tick      30018259          2836      28885661        183691 
    109   6600       tick      30017674          3292      28815285        181472 
    110   6600       tick      30017575          2912      28862804        182674 
    111   6600       tick      29981155          2636      28782816        182525 
    112   6600       tick      30012900          2916      28837044        181014 
    113   6600       tick      29978145          3020      28790411        184004 
    114   6600       tick      29924926          3172      28706649        180094 
    115   6600       tick      30080618          2480      28894972        182681 
    116   6600       tick      30012280          4092      28852318        182241 
    117   6600       tick      30012442          3000      28870460        182853 
    118   6600       tick      30012262          2348      28835143        182435 
    119   6600       tick      30013337          3143      28789452        180853 
    120   6600       tick      29981242          3128      28789942        183556 
    121   6600       tick      30011943          2970      28827587        181338 
    122   6600       tick      29360353          2416      28204040        178072 
