[Event-to-counter mappings]
pmc1=itlb_misses
pmc2=l1_data_accesses
pmc3=l1_data_refills
pmc4=l1_instr_refills
[Event counts]
nsample    pid      event          pmc1          pmc2          pmc3          pmc4
      1  18721       tick           448       3129032        976022          1312 
      2  18721       tick            26       6197756       2065591            44 
      3  18721       tick            27       6195154       2064730            50 
      4  18721       tick            26       6198382       2065800            46 
      5  18721       tick            26       6201407       2066801            48 
      6  18721       tick            26       6216024       2071658            47 
      7  18721       tick            25       5981888       1993643            43 
      8  18721       tick            28       6424697       2141226            50 
      9  18721       tick            26       6205068       2068019            42 
     10  18721       tick            25       6190539       2063191            44 
     11  18721       tick            27       6198565       2065828            49 
     12  18721       tick            26       6198079       2065707            45 
     13  18721       tick            26       6197223       2065395            43 
     14  18721       tick            35       6172122       2056910            60 
     15  18721       tick            27       6190439       2063123            47 
     16  18721       tick            26       6188063       2062341            47 
     17  18721       tick            27       6188818       2062598            50 
     18  18721       tick            27       6191466       2063481            46 
     19  18721       tick            27       6196341       2065116            51 
     20  18721       tick            26       6198338       2065776            44 
     21  18721       tick            27       6194339       2064416            47 
     22  18721       exit            48       4992285       1663671           139 
