[Event-to-counter mappings]
pmc1=llc_misses
pmc2=mispred_branches
pmc3=potentially_predicted_branches
[Event counts]
nsample    pid      event          pmc1          pmc2          pmc3
      1  11457       tick         15206        236625       6903981 
      2  11457       tick           168          3449       1008904 
      3  11457       tick           167          3556       1007982 
      4  11457       tick           218          3488       1008931 
      5  11457       tick           202          3579       1008832 
      6  11457       tick           182          3458       1007378 
      7  11457       tick           212          3320        976431 
      8  11457       tick           237          3613       1037206 
      9  11457       tick           135          3485       1009145 
     10  11457       tick           229          3492       1008549 
     11  11457       tick           263          3575       1005606 
     12  11457       tick           213          3528       1008822 
     13  11457       tick           235          3563       1007992 
     14  11457       tick           218          3598       1007061 
     15  11457       tick           225          3607       1008430 
     16  11457       tick           180          3618       1008063 
     17  11457       tick           209          3520       1008235 
     18  11457       tick           162          3521       1008171 
     19  11457       tick           158          3460       1008811 
     20  11457       tick           162          3544       1009581 
     21  11457       tick           263          3575       1004546 
     22  11457       tick           196          3409       1009674 
     23  11457       tick           224          3444       1004757 
     24  11457       tick           167          3624       1008006 
     25  11457       tick           181          3576       1009214 
     26  11457       tick           163          3527       1009665 
     27  11457       tick           177          3566       1009081 
     28  11457       tick           200          3573       1006413 
     29  11457       tick           144          3548       1009561 
     30  11457       tick           203          3526       1009866 
     31  11457       tick           165          3509       1009360 
     32  11457       tick           168          3527       1009592 
     33  11457       tick           289          3603       1007575 
     34  11457       tick           167          3554       1009382 
     35  11457       tick           187          3612       1008812 
     36  11457       tick           167          3600       1008999 
     37  11457       tick           177          3576       1009418 
     38  11457       tick           226          3601       1008812 
     39  11457       tick           150          3595       1009477 
     40  11457       tick           163          3534       1009539 
     41  11457       tick           158          3546       1009666 
     42  11457       tick           180          3525       1009602 
     43  11457       tick           181          3539       1008836 
     44  11457       tick           186          3549       1009673 
     45  11457       tick           188          3521       1009870 
     46  11457       tick           197          3521       1008956 
     47  11457       tick           167          3373       1008846 
     48  11457       tick           185          3449       1004551 
     49  11457       tick           271          3579       1006138 
     50  11457       tick           175          3530       1009301 
     51  11457       tick           163          3581       1009755 
     52  11457       tick           304          3558       1004808 
     53  11457       tick           151          3503       1001566 
     54  11457       exit          2575          5419       1006209 
