[Event-to-counter mappings]
pmc1=llc_misses
pmc2=mispred_branches
pmc3=potentially_predicted_branches
[Event counts]
nsample    pid      event          pmc1          pmc2          pmc3
      1   9249       tick          5973        458430      12456383 
      2   9249       tick          1650        630797      16987798 
      3   9249       tick          1580        629810      16978353 
      4   9249       tick          1477        629601      17000363 
      5   9249       tick          1570        631294      16982543 
      6   9249       tick          1567        629926      16989600 
      7   9249       tick          2041        631196      16953202 
      8   9249       tick          1751        632101      16949825 
      9   9249       tick          1860        630608      16962479 
     10   9249       tick          1780        628284      16946815 
     11   9249       tick          1643        615785      16525971 
     12   9249       tick          1905        645156      17429341 
     13   9249       tick          1542        632215      16978703 
     14   9249       tick          1599        632705      16993172 
     15   9249       tick          1826        630955      16961504 
     16   9249       tick          1526        629827      17000823 
     17   9249       tick          1695        628201      16971841 
     18   9249       tick          1333        628826      16989613 
     19   9249       tick          1492        628149      16995527 
     20   9249       tick          1488        628109      17006346 
     21   9249       tick          1606        630455      16960059 
     22   9249       tick          1519        628406      17027342 
     23   9249       tick          1728        631935      16974905 
     24   9249       tick          1495        626071      16982061 
     25   9249       tick          1451        631242      16991636 
     26   9249       tick          1454        630825      16977506 
     27   9249       tick          1531        630349      16979164 
     28   9249       tick          1516        628809      16990580 
     29   9249       tick          1572        628104      17001013 
     30   9249       tick          1644        626598      16986696 
     31   9249       tick          1571        630336      16984706 
     32   9249       tick          1415        630244      16992779 
     33   9249       tick          1628        629127      16978025 
     34   9249       tick          1491        626504      16989618 
     35   9249       tick          1556        631132      16971888 
     36   9249       tick          1874        627728      16954924 
     37   9249       tick          1643        627993      16989689 
     38   9249       tick          1418        630563      16977941 
     39   9249       tick          1483        629508      16984725 
     40   9249       tick          1460        628541      17005164 
     41   9249       tick          1499        630766      16987626 
     42   9249       tick          1575        629390      16977190 
     43   9249       tick          1449        628548      16984459 
     44   9249       tick          1556        609976      16481786 
     45   9249       tick          1565        648658      17485240 
     46   9249       tick          1565        630483      16994326 
     47   9249       tick          1355        631999      16988952 
     48   9249       tick          1472        632171      16974083 
     49   9249       tick          1448        632540      16977543 
     50   9249       tick          1593        627958      16997707 
     51   9249       tick          1513        627726      16978131 
     52   9249       tick          1406        630828      16976531 
     53   9249       tick          1484        627795      16998397 
     54   9249       tick          1586        625868      16977055 
     55   9249       tick          1585        628835      17005634 
     56   9249       exit          1957        477747      12905953 
