[Event-to-counter mappings]
pmc1=inmediate_branches_retired
pmc2=instr
pmc3=instr_arch_executed
pmc4=instr_cache_access
[Event counts]
nsample    pid      event          pmc1          pmc2          pmc3          pmc4
      1   5284       tick             0     133418900     133418900      26386805 
      2   5284       tick             0     138289004     138289004      27170357 
      3   5284       tick             0     138402527     138402527      27192462 
      4   5284       tick             0     138385373     138385373      27189319 
      5   5284       tick             0     138459498     138459498      27203975 
      6   5284       tick             0     138365382     138365382      27185583 
      7   5284       tick             0     138598773     138598773      27231223 
      8   5284       tick             0     138541645     138541645      27220124 
      9   5284       tick             0     138523069     138523069      27216258 
     10   5284       tick             0     138408951     138408951      27194046 
     11   5284       tick             0     138035186     138035186      27120589 
     12   5284       tick             0     138704065     138704065      27251790 
     13   5284       tick             0     138599194     138599194      27231038 
     14   5284       tick             0     138670098     138670098      27245347 
     15   5284       tick             0     138134253     138134253      27140783 
     16   5284       tick             0     138507902     138507902      27213557 
     17   5284       tick             0     138645883     138645883      27240617 
     18   5284       tick             0     138328826     138328826      27178682 
     19   5284       tick             0     138529866     138529866      27218090 
     20   5284       tick             0     138676099     138676099      27246483 
     21   5284       tick             0     138480702     138480702      27208346 
     22   5284       tick             0     138689059     138689059      27249084 
     23   5284       tick             0     138598740     138598740      27231435 
     24   5284       tick             0     138687627     138687627      27248741 
     25   5284       tick             0     138587326     138587326      27229100 
     26   5284       tick             0     138308040     138308040      27174644 
     27   5284       tick             0     138653198     138653198      27242076 
     28   5284       tick             0     138472753     138472753      27206827 
     29   5284       tick             0     138594832     138594832      27230641 
     30   5284       tick             0     138654505     138654505      27242234 
     31   5284       tick             0     138658119     138658119      27243011 
     32   5284       tick             0     138692899     138692899      27249686 
     33   5284       tick             0     138677144     138677144      27246790 
     34   5284       tick             0     138549135     138549135      27221645 
     35   5284       tick             0     138212129     138212129      27155940 
     36   5284       tick             0     138547310     138547310      27221461 
     37   5284       tick             0     138604336     138604336      27232575 
     38   5284       tick             0     138453975     138453975      27203023 
     39   5284       tick             0     138646408     138646408      27240618 
     40   5284       tick             0     138662428     138662428      27243725 
     41   5284       tick             0     138561601     138561601      27224059 
     42   5284       tick             0     138652481     138652481      27241653 
     43   5284       tick             0     138684188     138684188      27247984 
     44   5284       tick             0     138546981     138546981      27221234 
     45   5284       tick             0     138600809     138600809      27231886 
     46   5284       tick             0     138485594     138485594      27209071 
     47   5284       tick             0     138648666     138648666      27241081 
     48   5284       tick             0     138402221     138402221      27193027 
     49   5284       tick             0     138651170     138651170      27241646 
     50   5284       tick             0     138680967     138680967      27247535 
     51   5284       tick             0     138551300     138551300      27222073 
     52   5284       tick             0     138657278     138657278      27242743 
     53   5284       exit             0     116886406     116886406      22972895 
