[Event-to-counter mappings]
pmc1=inmediate_branches_retired
pmc2=instr
pmc3=instr_arch_executed
pmc4=instr_cache_access
[Event counts]
nsample    pid      event          pmc1          pmc2          pmc3          pmc4
      1  16874       tick             0      98365287      98365287      25329213 
      2  16874       tick             0     159725022     159725022      34556767 
      3  16874       tick             0     159447032     159447032      34496497 
      4  16874       tick             0     159466519     159466519      34500747 
      5  16874       tick             0     159346942     159346942      34475108 
      6  16874       tick             0     159430919     159430919      34493852 
      7  16874       tick             0     159432573     159432573      34492023 
      8  16874       tick             0     159249228     159249228      34452786 
      9  16874       tick             0     159301192     159301192      34466110 
     10  16874       tick             0     159451463     159451463      34497917 
     11  16874       tick             0     159422327     159422327      34490716 
     12  16874       tick             0     159419156     159419156      34490542 
     13  16874       tick             0     159489196     159489196      34505042 
     14  16874       tick             0     159501043     159501043      34507939 
     15  16874       tick             0     159546239     159546239      34518027 
     16  16874       tick             0     159014722     159014722      34405339 
     17  16874       tick             0     159485812     159485812      34506727 
     18  16874       tick             0     159531716     159531716      34515150 
     19  16874       tick             0     159413532     159413532      34490139 
     20  16874       tick             0     159682073     159682073      34546681 
     21  16874       tick             0     159530317     159530317      34515378 
     22  16874       tick             0     159549036     159549036      34519750 
     23  16874       tick             0     159584707     159584707      34525771 
     24  16874       tick             0     159338144     159338144      34474045 
     25  16874       tick             0     159522470     159522470      34513705 
     26  16874       tick             0     159585741     159585741      34527942 
     27  16874       tick             0     159625080     159625080      34533638 
     28  16874       tick             0     159656689     159656689      34540043 
     29  16874       tick             0     159496935     159496935      34508642 
     30  16874       tick             0     159416309     159416309      34490704 
     31  16874       tick             0     159491603     159491603      34507553 
     32  16874       tick             0     159520258     159520258      34514168 
     33  16874       tick             0     159615723     159615723      34533849 
     34  16874       tick             0     159481700     159481700      34506698 
     35  16874       tick             0     159561777     159561777      34522289 
     36  16874       tick             0     159205568     159205568      34446922 
     37  16874       tick             0     159543547     159543547      34518844 
     38  16874       tick             0     159593238     159593238      34529081 
     39  16874       tick             0     159549838     159549838      34519677 
     40  16874       tick             0     159533758     159533758      34516108 
     41  16874       tick             0     159606804     159606804      34532797 
     42  16874       tick             0     159445120     159445120      34498509 
     43  16874       tick             0     159518084     159518084      34511366 
     44  16874       tick             0     159458280     159458280      34499831 
     45  16874       tick             0     159566381     159566381      34523610 
     46  16874       tick             0     159623922     159623922      34535623 
     47  16874       tick             0     159594404     159594404      34529505 
     48  16874       exit             0     134629527     134629527      29168506 
