[Event-to-counter mappings]
pmc1=l2_cache_accesses
pmc2=l2_cache_refills
pmc3=l2_cache_writebacks
pmc4=llc_accesses
[Event counts]
nsample    pid      event          pmc1          pmc2          pmc3          pmc4
      1  13748       tick         14889           621           159         14889 
      2  13748       tick             0             0             0             0 
      3  13748       tick             0             0             0             0 
      4  13748       tick             0             0             0             0 
      5  13748       tick             0             0             0             0 
      6  13748       tick             0             0             0             0 
      7  13748       tick             0             0             0             0 
      8  13748       tick             0             0             0             0 
      9  13748       tick             0             0             0             0 
     10  13748       tick             0             0             0             0 
     11  13748       tick             0             0             0             0 
     12  13748       tick             0             0             0             0 
     13  13748       tick             0             0             0             0 
     14  13748       tick             0             0             0             0 
     15  13748       tick             0             0             0             0 
     16  13748       tick             0             0             0             0 
     17  13748       tick             0             0             0             0 
     18  13748       tick             0             0             0             0 
     19  13748       tick             0             0             0             0 
     20  13748       exit           457            50            15           457 
