UPDATE_PERIOD_us,cpu_freq0,cpu_freq1,cpu_freq2,cpu_freq3,hwmon_cpu_thermal_mC,hwmon_cpu_thermal_uA,hwmon_cpu_thermal_uV,hwmon_cpu_thermal_uW,sensor_cpu_uW,smartpower_uA,smartpower_uV,thermal_zone_temp0
100000,,,,,,,,,,,,
,1500000,1500000,1500000,1500000,41868,0,0,0,3099000,617000,5019000,41868
,1500000,1500000,1500000,1500000,41381,0,0,0,4183000,833000,5019000,41381
,1500000,1500000,1500000,1500000,41868,0,0,0,4183000,833000,5019000,41868
,1500000,1500000,1500000,1500000,41868,0,0,0,4183000,833000,5010000,41868
,1500000,1500000,1500000,1500000,42842,0,0,0,4358000,869000,5019000,42842
,1500000,1500000,1500000,1500000,42842,0,0,0,4358000,869000,5019000,42842
,1500000,1500000,1500000,1500000,42842,0,0,0,4358000,869000,5019000,42842
,1500000,1500000,1500000,1500000,42842,0,0,0,4358000,869000,5019000,42842
,1500000,1500000,1500000,1500000,43329,0,0,0,4358000,869000,5019000,43329
,1500000,1500000,1500000,1500000,43329,0,0,0,4362000,869000,5019000,43329
,1500000,1500000,1500000,1500000,42842,0,0,0,4362000,869000,5010000,42842
,1500000,1500000,1500000,1500000,43329,0,0,0,4362000,869000,5019000,43329
,1500000,1500000,1500000,1500000,43329,0,0,0,4362000,870000,5019000,43329
,1500000,1500000,1500000,1500000,43329,0,0,0,4362000,870000,5010000,43329
,1500000,1500000,1500000,1500000,42842,0,0,0,4362000,870000,5019000,42842
,1500000,1500000,1500000,1500000,43816,0,0,0,4362000,870000,5019000,43816
,1500000,1500000,1500000,1500000,42842,0,0,0,4362000,870000,5019000,42842
,1500000,1500000,1500000,1500000,43329,0,0,0,4362000,870000,5019000,43329
,1500000,1500000,1500000,1500000,42355,0,0,0,4366000,869000,5019000,42355
,1500000,1500000,1500000,1500000,43816,0,0,0,4366000,869000,5019000,43816
,1500000,1500000,1500000,1500000,43816,0,0,0,4374000,871000,5019000,43816
,1500000,1500000,1500000,1500000,43816,0,0,0,4374000,871000,5019000,43816
,1500000,1500000,1500000,1500000,44303,0,0,0,4374000,871000,5019000,44303
