UPDATE_PERIOD_us,cpu_freq0,cpu_freq1,cpu_freq2,cpu_freq3,cpu_iio_temp,sensor_cpu_uW,sensor_ina226_CALC_uW
100000,,,,,,,
,1199999,1199999,1199999,1199999,29.485128,2023000,1990690
,1199999,1199999,1199999,1199999,29.127638,1886000,1869173
,1199999,1199999,1199999,1199999,29.531757,1960000,1937891
,1199999,1199999,1199999,1199999,28.847863,1936000,1917931
,1199999,1199999,1199999,1199999,29.749359,1960000,1929127
,1199999,1199999,1199999,1199999,28.210599,1960000,1943182
,1199999,1199999,1199999,1199999,28.381572,1948000,1931986
,1199999,1199999,1199999,1199999,27.402362,1948000,1929477
,1199999,1199999,1199999,1199999,29.251982,1960000,1932522
,1199999,1199999,1199999,1199999,30.946172,1960000,1936545
,1199999,1199999,1199999,1199999,29.018837,1973000,1948731
,1199999,1199999,1199999,1199999,27.961911,1961000,1957876
,1199999,1199999,1199999,1199999,28.770148,1948000,1924701
,1199999,1199999,1199999,1199999,29.158724,1948000,1937075
,1199999,1199999,1199999,1199999,30.246736,1973000,1940168
,1199999,1199999,1199999,1199999,30.262279,1960000,1936828
,1199999,1199999,1199999,1199999,28.521460,1948000,1933109
,1199999,1199999,1199999,1199999,29.516214,1936000,1922502
,1199999,1199999,1199999,1199999,28.863406,1786000,1772373
,1199999,1199999,1199999,1199999,29.065466,1873000,1866685
,1199999,1199999,1199999,1199999,29.267525,1960000,1935199
,1199999,1199999,1199999,1199999,28.676890,1948000,1921002
,1199999,1199999,1199999,1199999,30.200107,1973000,1950126
,1199999,1199999,1199999,1199999,28.288314,1960000,1935350
,1199999,1199999,1199999,1199999,29.112095,1986000,1956884
,1199999,1199999,1199999,1199999,28.987751,1960000,1932134
,1199999,1199999,1199999,1199999,29.656101,1973000,1926707
,1199999,1199999,1199999,1199999,29.516214,1960000,1939403
,1199999,1199999,1199999,1199999,29.018837,1948000,1928215
,1199999,1199999,1199999,1199999,28.661347,1960000,1941429
,1199999,1199999,1199999,1199999,29.096552,1948000,1930551
,1199999,1199999,1199999,1199999,29.500671,1960000,1929373
,1199999,1199999,1199999,1199999,28.568089,1960000,1927054
,1199999,1199999,1199999,1199999,28.397115,1986000,1948317
,1199999,1199999,1199999,1199999,29.376326,1948000,1936894
,1199999,1199999,1199999,1199999,28.350486,1961000,1960772
,1199999,1199999,1199999,1199999,28.723519,1960000,1927383
,1199999,1199999,1199999,1199999,29.764902,1898000,1871102
,1199999,1199999,1199999,1199999,28.163970,1873000,1868684
,1199999,1199999,1199999,1199999,29.889246,1960000,1935270
,1199999,1199999,1199999,1199999,29.034380,1961000,1951194
,1199999,1199999,1199999,1199999,29.500671,1948000,1925444
,1199999,1199999,1199999,1199999,29.920332,1948000,1925859
,1199999,1199999,1199999,1199999,29.609472,1948000,1923261
,1199999,1199999,1199999,1199999,30.184564,1973000,1947763
,1199999,1199999,1199999,1199999,30.339994,1948000,1937994
,1199999,1199999,1199999,1199999,28.630261,1973000,1944245
,1199999,1199999,1199999,1199999,29.081009,1960000,1933890
,1199999,1199999,1199999,1199999,28.676890,1960000,1941917
,1199999,1199999,1199999,1199999,29.018837,1973000,1939443
,1199999,1199999,1199999,1199999,29.625015,1961000,1917645
,1199999,1199999,1199999,1199999,29.283068,1948000,1931727
,1199999,1199999,1199999,1199999,28.272771,1936000,1922821
,1199999,1199999,1199999,1199999,28.723519,1973000,1948719
,1199999,1199999,1199999,1199999,29.764902,1973000,1940664
,1199999,1199999,1199999,1199999,28.956664,1873000,1861172
,1199999,1199999,1199999,1199999,28.723519,1886000,1867027
,1199999,1199999,1199999,1199999,29.811531,1973000,1952508
,1199999,1199999,1199999,1199999,29.034380,1973000,1938248
,1199999,1199999,1199999,1199999,28.832320,1960000,1944106
,1199999,1199999,1199999,1199999,29.096552,1960000,1923875
,1199999,1199999,1199999,1199999,29.065466,1960000,1926646
,1199999,1199999,1199999,1199999,28.925578,1948000,1930414
,1199999,1199999,1199999,1199999,29.764902,1960000,1937400
,1199999,1199999,1199999,1199999,27.930825,1948000,1938552
,1199999,1199999,1199999,1199999,29.625015,1948000,1920118
,1199999,1199999,1199999,1199999,28.739062,1960000,1930917
,1199999,1199999,1199999,1199999,29.516214,1973000,1942315
,1199999,1199999,1199999,1199999,29.236439,1973000,1951416
,1199999,1199999,1199999,1199999,29.205353,1948000,1944150
,1199999,1199999,1199999,1199999,28.086255,1985000,1942606
,1199999,1199999,1199999,1199999,29.127638,1948000,1928506
,1199999,1199999,1199999,1199999,29.251982,1986000,1931454
,1199999,1199999,1199999,1199999,29.329697,1936000,1926053
,1199999,1199999,1199999,1199999,28.894492,1886000,1871624
,1199999,1199999,1199999,1199999,29.251982,1898000,1883587
,1199999,1199999,1199999,1199999,28.739062,1960000,1931170
,1199999,1199999,1199999,1199999,29.127638,1948000,1922263
,1199999,1199999,1199999,1199999,29.640558,1948000,1926530
,1199999,1199999,1199999,1199999,30.246736,1948000,1935090
,1199999,1199999,1199999,1199999,29.889246,1960000,1929046
,1199999,1199999,1199999,1199999,29.391869,1961000,1944860
,1199999,1199999,1199999,1199999,29.205353,1973000,1939620
,1199999,1199999,1199999,1199999,27.868652,1973000,1945951
,1199999,1199999,1199999,1199999,31.086060,1960000,1930088
,1199999,1199999,1199999,1199999,29.236439,1960000,1929790
,1199999,1199999,1199999,1199999,29.065466,1948000,1931082
,1199999,1199999,1199999,1199999,29.656101,1960000,1927072
,1199999,1199999,1199999,1199999,28.956664,1960000,1940387
,1199999,1199999,1199999,1199999,27.806480,1948000,1920309
,1199999,1199999,1199999,1199999,29.578386,1948000,1930074
,1199999,1199999,1199999,1199999,28.614718,1960000,1932632
,1199999,1199999,1199999,1199999,28.474831,1911000,1892157
,1199999,1199999,1199999,1199999,28.241685,1873000,1870170
,1199999,1199999,1199999,1199999,28.303857,1948000,1931875
,1199999,1199999,1199999,1199999,28.723519,1936000,1922838
,1199999,1199999,1199999,1199999,29.516214,1961000,1925550
,1199999,1199999,1199999,1199999,29.827074,1986000,1953404
,1199999,1199999,1199999,1199999,30.200107,1936000,1939085
,1199999,1199999,1199999,1199999,28.847863,1961000,1937283
,1199999,1199999,1199999,1199999,29.391869,1936000,1914720
,1199999,1199999,1199999,1199999,29.593929,1960000,1932773
,1199999,1199999,1199999,1199999,29.733816,1973000,1942814
,1199999,1199999,1199999,1199999,29.081009,1973000,1956401
,1199999,1199999,1199999,1199999,29.718273,1960000,1929273
,1199999,1199999,1199999,1199999,29.593929,1973000,1950185
,1199999,1199999,1199999,1199999,28.303857,1961000,1934508
,1199999,1199999,1199999,1199999,29.640558,1973000,1933059
,1199999,1199999,1199999,1199999,29.811531,1948000,1927129
,1199999,1199999,1199999,1199999,29.531757,1948000,1922117
,1199999,1199999,1199999,1199999,28.910035,1798000,1787646
,1199999,1199999,1199999,1199999,29.920332,1873000,1871346
,1199999,1199999,1199999,1199999,29.422955,1885000,1878950
,1199999,1199999,1199999,1199999,29.640558,1936000,1914626
,1199999,1199999,1199999,1199999,29.003294,1973000,1942394
,1199999,1199999,1199999,1199999,29.469584,1960000,1929222
,1199999,1199999,1199999,1199999,28.754605,1998000,1963362
,1199999,1199999,1199999,1199999,28.428201,1973000,1945862
,1199999,1199999,1199999,1199999,29.220896,1948000,1922836
,1199999,1199999,1199999,1199999,28.583632,1948000,1925857
,1199999,1199999,1199999,1199999,29.283068,1960000,1936177
,1199999,1199999,1199999,1199999,30.277822,1948000,1935878
,1199999,1199999,1199999,1199999,29.127638,1936000,1925761
,1199999,1199999,1199999,1199999,28.521460,1948000,1921944
,1199999,1199999,1199999,1199999,28.583632,1948000,1928465
,1199999,1199999,1199999,1199999,28.676890,1986000,1947882
,1199999,1199999,1199999,1199999,28.599175,1948000,1931434
,1199999,1199999,1199999,1199999,29.625015,1961000,1953729
,1199999,1199999,1199999,1199999,28.754605,1936000,1920827
,1199999,1199999,1199999,1199999,29.516214,1898000,1869226
,1199999,1199999,1199999,1199999,29.485128,1885000,1870777
,1199999,1199999,1199999,1199999,28.272771,1973000,1937247
,1199999,1199999,1199999,1199999,29.251982,1948000,1950200
,1199999,1199999,1199999,1199999,29.858160,1948000,1923558
,1199999,1199999,1199999,1199999,28.832320,1973000,1940512
,1199999,1199999,1199999,1199999,28.568089,1948000,1929048
,1199999,1199999,1199999,1199999,28.754605,1948000,1930555
,1199999,1199999,1199999,1199999,29.174267,1936000,1919676
,1199999,1199999,1199999,1199999,29.531757,1961000,1943876
,1199999,1199999,1199999,1199999,29.687187,1948000,1927751
,1199999,1199999,1199999,1199999,29.687187,1973000,1941967
,1199999,1199999,1199999,1199999,27.790937,1948000,1935605
,1199999,1199999,1199999,1199999,28.739062,1961000,1921680
,1199999,1199999,1199999,1199999,29.889246,1961000,1932592
,1199999,1199999,1199999,1199999,28.272771,1960000,1937020
,1199999,1199999,1199999,1199999,29.656101,1948000,1928005
,1199999,1199999,1199999,1199999,28.661347,1936000,1928486
,1199999,1199999,1199999,1199999,29.485128,1786000,1765715
,1199999,1199999,1199999,1199999,30.029134,1873000,1871218
,1199999,1199999,1199999,1199999,29.034380,1935000,1920378
,1199999,1199999,1199999,1199999,28.568089,1948000,1930849
,1199999,1199999,1199999,1199999,29.656101,1986000,1955578
,1199999,1199999,1199999,1199999,28.521460,1936000,1918445
,1199999,1199999,1199999,1199999,28.676890,1960000,1930309
,1199999,1199999,1199999,1199999,28.428201,1960000,1934530
,1199999,1199999,1199999,1199999,29.236439,1960000,1935548
,1199999,1199999,1199999,1199999,29.469584,1961000,1946884
,1199999,1199999,1199999,1199999,28.878949,1960000,1927532
,1199999,1199999,1199999,1199999,29.438498,1948000,1929932
,1199999,1199999,1199999,1199999,28.490374,1936000,1918292
,1199999,1199999,1199999,1199999,28.568089,1973000,1950220
,1199999,1199999,1199999,1199999,28.878949,1948000,1942766
,1199999,1199999,1199999,1199999,29.500671,1973000,1944175
,1199999,1199999,1199999,1199999,29.174267,1960000,1936859
,1199999,1199999,1199999,1199999,29.251982,1986000,1935904
,1199999,1199999,1199999,1199999,28.117341,1973000,1943548
,1199999,1199999,1199999,1199999,29.205353,1886000,1874626
,1199999,1199999,1199999,1199999,28.863406,1898000,1887624
,1199999,1199999,1199999,1199999,29.920332,1960000,1932813
,1199999,1199999,1199999,1199999,29.733816,1973000,1945999
,1199999,1199999,1199999,1199999,29.174267,1948000,1936109
,1199999,1199999,1199999,1199999,28.630261,1948000,1924675
,1199999,1199999,1199999,1199999,29.174267,1936000,1919483
,1199999,1199999,1199999,1199999,29.220896,1973000,1951992
,1199999,1199999,1199999,1199999,28.614718,1973000,1942815
,1199999,1199999,1199999,1199999,28.459288,1986000,1942668
,1199999,1199999,1199999,1199999,29.454041,1960000,1930085
,1199999,1199999,1199999,1199999,28.490374,1985000,1932650
,1199999,1199999,1199999,1199999,30.215650,1973000,1937255
,1199999,1199999,1199999,1199999,29.220896,1973000,1940477
,1199999,1199999,1199999,1199999,29.329697,1960000,1937674
,1199999,1199999,1199999,1199999,29.376326,1936000,1916064
,1199999,1199999,1199999,1199999,29.329697,1960000,1934571
,1199999,1199999,1199999,1199999,29.189810,1948000,1936165
,1199999,1199999,1199999,1199999,28.552546,1786000,1772243
,1199999,1199999,1199999,1199999,29.220896,1886000,1869546
,1199999,1199999,1199999,1199999,29.205353,1960000,1929570
,1199999,1199999,1199999,1199999,28.614718,1960000,1924751
,1199999,1199999,1199999,1199999,27.853109,1973000,1935119
,1199999,1199999,1199999,1199999,28.692433,1973000,1948215
,1199999,1199999,1199999,1199999,29.671644,1960000,1943965
,1199999,1199999,1199999,1199999,30.324451,1961000,1936364
,1199999,1199999,1199999,1199999,29.283068,1960000,1932847
,1199999,1199999,1199999,1199999,28.257228,1973000,1942224
,1199999,1199999,1199999,1199999,29.018837,1973000,1944177
,1199999,1199999,1199999,1199999,29.407412,1961000,1941485
,1199999,1199999,1199999,1199999,30.402166,1960000,1926078
,1199999,1199999,1199999,1199999,29.764902,1973000,1950315
,1199999,1199999,1199999,1199999,28.801234,1960000,1937917
,1199999,1199999,1199999,1199999,29.360783,1973000,1937501
