UPDATE_PERIOD_us,cpu_freq0,cpu_freq1,cpu_freq2,cpu_freq3,cpu_iio_temp,sensor_cpu_uW,sensor_ina226_CALC_uW
100000,,,,,,,
,1199999,1199999,1199999,1199999,29.749359,1723000,1713246
,1199999,1199999,1199999,1199999,32.065270,1648000,1620503
,1199999,1199999,1199999,1199999,31.583437,1785000,1749749
,1199999,1199999,1199999,1199999,30.977258,1773000,1748314
,1199999,1199999,1199999,1199999,30.852914,1785000,1769019
,1199999,1199999,1199999,1199999,31.987555,1773000,1749211
,1199999,1199999,1199999,1199999,31.552350,1798000,1744148
,1199999,1199999,1199999,1199999,31.940926,1773000,1745293
,1199999,1199999,1199999,1199999,30.744113,1773000,1746684
,1199999,1199999,1199999,1199999,30.977258,1785000,1756600
,1199999,1199999,1199999,1199999,29.842617,1773000,1748031
,1199999,1199999,1199999,1199999,32.205158,1785000,1759936
,1199999,1199999,1199999,1199999,31.598980,1773000,1741423
,1199999,1199999,1199999,1199999,31.117146,1785000,1754551
,1199999,1199999,1199999,1199999,30.200107,1773000,1748013
,1199999,1199999,1199999,1199999,31.132689,1785000,1766558
,1199999,1199999,1199999,1199999,30.635312,1773000,1747644
,1199999,1199999,1199999,1199999,32.096357,1785000,1741402
,1199999,1199999,1199999,1199999,32.018641,1773000,1747603
,1199999,1199999,1199999,1199999,31.117146,1773000,1747325
,1199999,1199999,1199999,1199999,31.583437,1785000,1754377
,1199999,1199999,1199999,1199999,31.630066,1773000,1746702
,1199999,1199999,1199999,1199999,30.293365,1785000,1761403
,1199999,1199999,1199999,1199999,31.288119,1773000,1749667
,1199999,1199999,1199999,1199999,31.365834,1785000,1757076
,1199999,1199999,1199999,1199999,31.801039,1773000,1745825
,1199999,1199999,1199999,1199999,30.417709,1785000,1764950
,1199999,1199999,1199999,1199999,30.231193,1773000,1742242
,1199999,1199999,1199999,1199999,31.474635,1785000,1746262
,1199999,1199999,1199999,1199999,30.650855,1773000,1748831
,1199999,1199999,1199999,1199999,32.205158,1785000,1745980
,1199999,1199999,1199999,1199999,31.567893,1785000,1756877
,1199999,1199999,1199999,1199999,31.086060,1773000,1744453
,1199999,1199999,1199999,1199999,30.526510,1798000,1772927
,1199999,1199999,1199999,1199999,30.837371,1773000,1747390
,1199999,1199999,1199999,1199999,31.972012,1785000,1752672
,1199999,1199999,1199999,1199999,31.894297,1773000,1745267
,1199999,1199999,1199999,1199999,30.775199,1785000,1761715
,1199999,1199999,1199999,1199999,30.681941,1773000,1748374
,1199999,1199999,1199999,1199999,30.868457,1785000,1770365
,1199999,1199999,1199999,1199999,31.816582,1773000,1748869
,1199999,1199999,1199999,1199999,31.676695,1785000,1749901
,1199999,1199999,1199999,1199999,31.396920,1785000,1752628
,1199999,1199999,1199999,1199999,32.345045,1773000,1747728
,1199999,1199999,1199999,1199999,31.179318,1785000,1766483
,1199999,1199999,1199999,1199999,31.288119,1773000,1744351
,1199999,1199999,1199999,1199999,30.852914,1785000,1755347
,1199999,1199999,1199999,1199999,30.510967,1773000,1743241
,1199999,1199999,1199999,1199999,31.428006,1785000,1763155
,1199999,1199999,1199999,1199999,31.319205,1773000,1745856
,1199999,1199999,1199999,1199999,31.054974,1798000,1771536
,1199999,1199999,1199999,1199999,31.070517,1773000,1744568
,1199999,1199999,1199999,1199999,30.402166,1785000,1747661
,1199999,1199999,1199999,1199999,31.117146,1773000,1748420
,1199999,1199999,1199999,1199999,31.054974,1773000,1745932
,1199999,1199999,1199999,1199999,30.977258,1785000,1763133
,1199999,1199999,1199999,1199999,30.479881,1773000,1744615
,1199999,1199999,1199999,1199999,30.946172,1785000,1756473
,1199999,1199999,1199999,1199999,30.293365,1773000,1747667
,1199999,1199999,1199999,1199999,31.894297,1785000,1760737
,1199999,1199999,1199999,1199999,31.987555,1773000,1744092
,1199999,1199999,1199999,1199999,31.474635,1798000,1771307
,1199999,1199999,1199999,1199999,31.894297,1773000,1749172
,1199999,1199999,1199999,1199999,30.961715,1785000,1748019
,1199999,1199999,1199999,1199999,30.930629,1773000,1747281
,1199999,1199999,1199999,1199999,31.536807,1773000,1741412
,1199999,1199999,1199999,1199999,31.412463,1785000,1755204
,1199999,1199999,1199999,1199999,29.889246,1773000,1749693
,1199999,1199999,1199999,1199999,30.371080,1785000,1757266
,1199999,1199999,1199999,1199999,30.635312,1773000,1745998
,1199999,1199999,1199999,1199999,31.008344,1785000,1751482
,1199999,1199999,1199999,1199999,31.148232,1773000,1745404
,1199999,1199999,1199999,1199999,31.086060,1798000,1771899
,1199999,1199999,1199999,1199999,31.194861,1773000,1747408
,1199999,1199999,1199999,1199999,30.837371,1785000,1749818
,1199999,1199999,1199999,1199999,31.505721,1773000,1744643
,1199999,1199999,1199999,1199999,32.313959,1773000,1747667
,1199999,1199999,1199999,1199999,31.925383,1785000,1758087
,1199999,1199999,1199999,1199999,30.837371,1773000,1749665
,1199999,1199999,1199999,1199999,31.459092,1785000,1755800
,1199999,1199999,1199999,1199999,30.557597,1773000,1743105
,1199999,1199999,1199999,1199999,29.531757,1773000,1751867
,1199999,1199999,1199999,1199999,31.552350,1773000,1746319
,1199999,1199999,1199999,1199999,31.785496,1798000,1769528
,1199999,1199999,1199999,1199999,31.039430,1773000,1748354
,1199999,1199999,1199999,1199999,30.681941,1785000,1743777
,1199999,1199999,1199999,1199999,30.899543,1773000,1750885
,1199999,1199999,1199999,1199999,31.505721,1773000,1745553
,1199999,1199999,1199999,1199999,32.469389,1785000,1759047
,1199999,1199999,1199999,1199999,31.909840,1773000,1749699
,1199999,1199999,1199999,1199999,31.365834,1785000,1759897
,1199999,1199999,1199999,1199999,31.303662,1773000,1754613
,1199999,1199999,1199999,1199999,31.474635,1785000,1753049
,1199999,1199999,1199999,1199999,30.868457,1773000,1745846
,1199999,1199999,1199999,1199999,31.381377,1785000,1766617
,1199999,1199999,1199999,1199999,30.977258,1773000,1740375
,1199999,1199999,1199999,1199999,30.308908,1785000,1747932
,1199999,1199999,1199999,1199999,30.759656,1773000,1748517
,1199999,1199999,1199999,1199999,31.132689,1773000,1747299
,1199999,1199999,1199999,1199999,31.039430,1785000,1755005
,1199999,1199999,1199999,1199999,32.003098,1773000,1747460
,1199999,1199999,1199999,1199999,31.054974,1785000,1768323
,1199999,1199999,1199999,1199999,30.930629,1773000,1748478
,1199999,1199999,1199999,1199999,31.194861,1785000,1752434
,1199999,1199999,1199999,1199999,31.070517,1773000,1741009
,1199999,1199999,1199999,1199999,31.956469,1785000,1766764
,1199999,1199999,1199999,1199999,32.453846,1773000,1751731
,1199999,1199999,1199999,1199999,31.459092,1785000,1776057
,1199999,1199999,1199999,1199999,31.490178,1773000,1748869
,1199999,1199999,1199999,1199999,30.433252,1785000,1747813
,1199999,1199999,1199999,1199999,31.288119,1785000,1755237
,1199999,1199999,1199999,1199999,31.956469,1773000,1749520
,1199999,1199999,1199999,1199999,31.288119,1785000,1765860
,1199999,1199999,1199999,1199999,31.754410,1773000,1749215
,1199999,1199999,1199999,1199999,31.023887,1785000,1752478
,1199999,1199999,1199999,1199999,30.837371,1773000,1747863
,1199999,1199999,1199999,1199999,31.272576,1785000,1765245
,1199999,1199999,1199999,1199999,30.697484,1773000,1749538
,1199999,1199999,1199999,1199999,31.350291,1798000,1773691
,1199999,1199999,1199999,1199999,31.987555,1773000,1744427
,1199999,1199999,1199999,1199999,31.552350,1785000,1748479
,1199999,1199999,1199999,1199999,31.567893,1773000,1749220
,1199999,1199999,1199999,1199999,30.930629,1773000,1747813
,1199999,1199999,1199999,1199999,31.676695,1785000,1761279
,1199999,1199999,1199999,1199999,32.096357,1773000,1748708
,1199999,1199999,1199999,1199999,31.210404,1785000,1757624
,1199999,1199999,1199999,1199999,30.713027,1773000,1746459
,1199999,1199999,1199999,1199999,30.744113,1785000,1763427
,1199999,1199999,1199999,1199999,31.396920,1773000,1743174
,1199999,1199999,1199999,1199999,31.956469,1798000,1767649
,1199999,1199999,1199999,1199999,32.018641,1773000,1749556
,1199999,1199999,1199999,1199999,30.666398,1785000,1745617
,1199999,1199999,1199999,1199999,29.842617,1773000,1743473
,1199999,1199999,1199999,1199999,31.117146,1773000,1743584
,1199999,1199999,1199999,1199999,31.536807,1785000,1757595
,1199999,1199999,1199999,1199999,31.847668,1773000,1750397
,1199999,1199999,1199999,1199999,31.350291,1785000,1758654
,1199999,1199999,1199999,1199999,30.852914,1773000,1747787
,1199999,1199999,1199999,1199999,31.132689,1785000,1756274
,1199999,1199999,1199999,1199999,30.930629,1773000,1744941
,1199999,1199999,1199999,1199999,30.604226,1798000,1770270
,1199999,1199999,1199999,1199999,32.376131,1773000,1749897
,1199999,1199999,1199999,1199999,31.614523,1785000,1746398
,1199999,1199999,1199999,1199999,31.396920,1773000,1746095
,1199999,1199999,1199999,1199999,31.210404,1773000,1744639
,1199999,1199999,1199999,1199999,32.236244,1785000,1761608
,1199999,1199999,1199999,1199999,31.769953,1773000,1747743
,1199999,1199999,1199999,1199999,31.676695,1785000,1759013
,1199999,1199999,1199999,1199999,32.111900,1773000,1744995
,1199999,1199999,1199999,1199999,31.272576,1785000,1754736
,1199999,1199999,1199999,1199999,31.707781,1773000,1743814
,1199999,1199999,1199999,1199999,30.588683,1785000,1768146
,1199999,1199999,1199999,1199999,31.070517,1773000,1747020
,1199999,1199999,1199999,1199999,31.132689,1785000,1743555
