UPDATE_PERIOD_us,cpu_freq0,cpu_freq1,cpu_freq2,cpu_freq3,cpu_iio_temp,sensor_cpu_uW,sensor_ina226_CALC_uW
100000,,,,,,,
,1199999,1199999,1199999,1199999,28.474831,1673000,1644806
,1199999,1199999,1199999,1199999,27.293560,1648000,1621565
,1199999,1199999,1199999,1199999,27.604421,1898000,1876703
,1199999,1199999,1199999,1199999,28.568089,1935000,1898983
,1199999,1199999,1199999,1199999,28.381572,1910000,1884911
,1199999,1199999,1199999,1199999,28.459288,1935000,1899982
,1199999,1199999,1199999,1199999,28.754605,1910000,1881717
,1199999,1199999,1199999,1199999,27.573335,1935000,1878018
,1199999,1199999,1199999,1199999,28.552546,1923000,1889101
,1199999,1199999,1199999,1199999,28.754605,1910000,1883341
,1199999,1199999,1199999,1199999,29.081009,1935000,1901300
,1199999,1199999,1199999,1199999,28.754605,1923000,1883578
,1199999,1199999,1199999,1199999,28.832320,1923000,1891686
,1199999,1199999,1199999,1199999,27.713222,1923000,1882103
,1199999,1199999,1199999,1199999,29.345240,1935000,1902960
,1199999,1199999,1199999,1199999,28.505917,1923000,1884348
,1199999,1199999,1199999,1199999,29.143181,1948000,1908795
,1199999,1199999,1199999,1199999,29.391869,1923000,1881529
,1199999,1199999,1199999,1199999,29.049923,1923000,1884481
,1199999,1199999,1199999,1199999,28.039626,1923000,1882093
,1199999,1199999,1199999,1199999,27.884195,1923000,1886313
,1199999,1199999,1199999,1199999,28.676890,1923000,1895190
,1199999,1199999,1199999,1199999,28.801234,1923000,1880077
,1199999,1199999,1199999,1199999,29.018837,1923000,1891317
,1199999,1199999,1199999,1199999,28.785691,1923000,1882847
,1199999,1199999,1199999,1199999,27.837566,1923000,1892987
,1199999,1199999,1199999,1199999,28.707976,1923000,1881622
,1199999,1199999,1199999,1199999,28.956664,1935000,1905009
,1199999,1199999,1199999,1199999,28.117341,1923000,1891852
,1199999,1199999,1199999,1199999,28.334943,1935000,1884105
,1199999,1199999,1199999,1199999,27.526706,1923000,1880696
,1199999,1199999,1199999,1199999,28.070712,1923000,1885601
,1199999,1199999,1199999,1199999,29.003294,1935000,1893173
,1199999,1199999,1199999,1199999,29.143181,1923000,1884500
,1199999,1199999,1199999,1199999,29.376326,1923000,1894662
,1199999,1199999,1199999,1199999,28.474831,1923000,1881745
,1199999,1199999,1199999,1199999,28.801234,1923000,1889868
,1199999,1199999,1199999,1199999,28.490374,1923000,1879056
,1199999,1199999,1199999,1199999,27.402362,1948000,1908879
,1199999,1199999,1199999,1199999,29.438498,1923000,1886480
,1199999,1199999,1199999,1199999,29.283068,1935000,1882065
,1199999,1199999,1199999,1199999,28.381572,1910000,1879429
,1199999,1199999,1199999,1199999,27.868652,1923000,1883400
,1199999,1199999,1199999,1199999,28.412658,1935000,1900427
,1199999,1199999,1199999,1199999,28.863406,1923000,1885484
,1199999,1199999,1199999,1199999,30.433252,1935000,1901364
,1199999,1199999,1199999,1199999,29.034380,1923000,1884399
,1199999,1199999,1199999,1199999,29.220896,1923000,1891827
,1199999,1199999,1199999,1199999,28.412658,1923000,1883775
,1199999,1199999,1199999,1199999,28.692433,1935000,1906997
,1199999,1199999,1199999,1199999,28.910035,1923000,1885797
,1199999,1199999,1199999,1199999,28.568089,1935000,1901161
,1199999,1199999,1199999,1199999,27.884195,1923000,1884978
,1199999,1199999,1199999,1199999,29.593929,1935000,1882071
,1199999,1199999,1199999,1199999,29.251982,1923000,1890754
,1199999,1199999,1199999,1199999,28.443745,1923000,1886809
,1199999,1199999,1199999,1199999,27.402362,1935000,1898433
,1199999,1199999,1199999,1199999,29.500671,1923000,1885430
,1199999,1199999,1199999,1199999,28.785691,1923000,1891386
,1199999,1199999,1199999,1199999,28.630261,1923000,1884717
,1199999,1199999,1199999,1199999,28.599175,1935000,1899712
,1199999,1199999,1199999,1199999,28.599175,1923000,1880558
,1199999,1199999,1199999,1199999,29.391869,1935000,1911637
,1199999,1199999,1199999,1199999,28.521460,1923000,1887968
,1199999,1199999,1199999,1199999,28.785691,1935000,1880522
,1199999,1199999,1199999,1199999,28.661347,1923000,1884031
,1199999,1199999,1199999,1199999,27.915281,1923000,1881567
,1199999,1199999,1199999,1199999,28.366029,1923000,1899045
,1199999,1199999,1199999,1199999,29.081009,1923000,1890720
,1199999,1199999,1199999,1199999,29.345240,1923000,1890203
,1199999,1199999,1199999,1199999,28.723519,1923000,1882345
,1199999,1199999,1199999,1199999,28.692433,1923000,1891818
,1199999,1199999,1199999,1199999,28.257228,1923000,1885359
,1199999,1199999,1199999,1199999,28.832320,1935000,1907735
,1199999,1199999,1199999,1199999,28.692433,1923000,1886269
,1199999,1199999,1199999,1199999,29.671644,1935000,1882234
,1199999,1199999,1199999,1199999,28.008540,1923000,1881778
,1199999,1199999,1199999,1199999,28.055169,1923000,1883066
,1199999,1199999,1199999,1199999,28.163970,1935000,1897583
,1199999,1199999,1199999,1199999,29.485128,1923000,1882108
,1199999,1199999,1199999,1199999,28.614718,1936000,1900254
,1199999,1199999,1199999,1199999,28.412658,1923000,1880975
,1199999,1199999,1199999,1199999,28.956664,1923000,1888447
,1199999,1199999,1199999,1199999,27.806480,1923000,1884734
,1199999,1199999,1199999,1199999,27.604421,1935000,1906304
,1199999,1199999,1199999,1199999,28.443745,1923000,1880876
,1199999,1199999,1199999,1199999,29.733816,1935000,1883425
,1199999,1199999,1199999,1199999,28.163970,1923000,1882245
,1199999,1199999,1199999,1199999,29.065466,1923000,1881517
,1199999,1199999,1199999,1199999,28.505917,1923000,1892667
,1199999,1199999,1199999,1199999,29.391869,1923000,1881545
,1199999,1199999,1199999,1199999,29.407412,1935000,1903149
,1199999,1199999,1199999,1199999,29.454041,1923000,1884824
,1199999,1199999,1199999,1199999,28.459288,1923000,1891654
,1199999,1199999,1199999,1199999,28.537003,1923000,1881367
,1199999,1199999,1199999,1199999,28.055169,1935000,1902733
,1199999,1199999,1199999,1199999,28.366029,1923000,1887497
,1199999,1199999,1199999,1199999,29.827074,1935000,1907138
,1199999,1199999,1199999,1199999,29.189810,1923000,1883901
,1199999,1199999,1199999,1199999,28.645804,1935000,1882384
,1199999,1199999,1199999,1199999,28.366029,1923000,1886579
,1199999,1199999,1199999,1199999,28.086255,1923000,1888321
,1199999,1199999,1199999,1199999,27.915281,1935000,1903062
,1199999,1199999,1199999,1199999,28.117341,1923000,1884111
,1199999,1199999,1199999,1199999,29.547300,1923000,1889603
,1199999,1199999,1199999,1199999,28.350486,1923000,1887452
,1199999,1199999,1199999,1199999,26.967157,1935000,1897895
,1199999,1199999,1199999,1199999,28.568089,1923000,1885671
,1199999,1199999,1199999,1199999,28.599175,1948000,1912607
,1199999,1199999,1199999,1199999,27.713222,1923000,1882048
,1199999,1199999,1199999,1199999,29.034380,1935000,1882934
,1199999,1199999,1199999,1199999,29.827074,1923000,1882118
,1199999,1199999,1199999,1199999,28.195056,1923000,1883929
,1199999,1199999,1199999,1199999,28.397115,1935000,1897049
,1199999,1199999,1199999,1199999,27.324646,1898000,1876692
,1199999,1199999,1199999,1199999,29.034380,1923000,1893214
,1199999,1199999,1199999,1199999,29.578386,1923000,1885093
,1199999,1199999,1199999,1199999,29.329697,1923000,1889383
,1199999,1199999,1199999,1199999,28.521460,1923000,1883426
,1199999,1199999,1199999,1199999,28.568089,1960000,1901948
,1199999,1199999,1199999,1199999,28.163970,1923000,1886571
,1199999,1199999,1199999,1199999,28.288314,1935000,1883489
,1199999,1199999,1199999,1199999,28.707976,1923000,1882617
,1199999,1199999,1199999,1199999,29.143181,1923000,1883184
,1199999,1199999,1199999,1199999,28.614718,1935000,1892319
,1199999,1199999,1199999,1199999,28.148427,1923000,1887832
,1199999,1199999,1199999,1199999,28.474831,1935000,1901462
,1199999,1199999,1199999,1199999,29.018837,1923000,1883463
,1199999,1199999,1199999,1199999,28.614718,1923000,1888114
,1199999,1199999,1199999,1199999,29.034380,1923000,1882895
,1199999,1199999,1199999,1199999,28.972208,1935000,1908135
,1199999,1199999,1199999,1199999,27.915281,1923000,1888847
,1199999,1199999,1199999,1199999,28.583632,1935000,1884691
,1199999,1199999,1199999,1199999,28.863406,1923000,1882241
,1199999,1199999,1199999,1199999,29.034380,1935000,1884691
,1199999,1199999,1199999,1199999,28.505917,1935000,1896239
,1199999,1199999,1199999,1199999,27.480077,1923000,1887115
,1199999,1199999,1199999,1199999,27.200302,1935000,1905973
,1199999,1199999,1199999,1199999,28.630261,1923000,1881359
,1199999,1199999,1199999,1199999,29.718273,1923000,1892158
,1199999,1199999,1199999,1199999,28.319400,1923000,1885607
,1199999,1199999,1199999,1199999,28.490374,1948000,1903060
,1199999,1199999,1199999,1199999,28.521460,1923000,1885970
,1199999,1199999,1199999,1199999,28.210599,1935000,1904554
,1199999,1199999,1199999,1199999,30.091306,1923000,1886760
,1199999,1199999,1199999,1199999,28.956664,1935000,1886958
,1199999,1199999,1199999,1199999,27.884195,1923000,1888973
,1199999,1199999,1199999,1199999,29.531757,1923000,1884598
,1199999,1199999,1199999,1199999,28.785691,1935000,1899499
,1199999,1199999,1199999,1199999,28.412658,1923000,1891170
,1199999,1199999,1199999,1199999,28.863406,1923000,1895279
,1199999,1199999,1199999,1199999,29.593929,1923000,1884376
,1199999,1199999,1199999,1199999,28.552546,1935000,1895990
,1199999,1199999,1199999,1199999,28.894492,1923000,1882076
,1199999,1199999,1199999,1199999,28.490374,1948000,1912659
,1199999,1199999,1199999,1199999,27.138130,1923000,1887876
,1199999,1199999,1199999,1199999,28.599175,1935000,1884407
,1199999,1199999,1199999,1199999,29.764902,1923000,1886924
,1199999,1199999,1199999,1199999,28.770148,1923000,1885603
,1199999,1199999,1199999,1199999,29.018837,1935000,1895384
,1199999,1199999,1199999,1199999,28.412658,1923000,1886650
,1199999,1199999,1199999,1199999,29.267525,1923000,1895153
,1199999,1199999,1199999,1199999,28.630261,1923000,1881387
,1199999,1199999,1199999,1199999,29.314154,1923000,1892016
,1199999,1199999,1199999,1199999,29.143181,1923000,1884643
,1199999,1199999,1199999,1199999,27.853109,1935000,1907504
,1199999,1199999,1199999,1199999,28.241685,1923000,1889677
,1199999,1199999,1199999,1199999,28.894492,1935000,1880266
,1199999,1199999,1199999,1199999,28.770148,1923000,1884448
,1199999,1199999,1199999,1199999,28.521460,1923000,1885952
,1199999,1199999,1199999,1199999,28.972208,1935000,1893826
,1199999,1199999,1199999,1199999,28.412658,1923000,1886174
,1199999,1199999,1199999,1199999,28.303857,1935000,1893949
,1199999,1199999,1199999,1199999,28.568089,1923000,1886169
,1199999,1199999,1199999,1199999,28.459288,1923000,1893158
,1199999,1199999,1199999,1199999,28.987751,1923000,1881740
,1199999,1199999,1199999,1199999,28.288314,1935000,1904105
,1199999,1199999,1199999,1199999,27.526706,1923000,1879711
,1199999,1199999,1199999,1199999,29.360783,1935000,1908536
,1199999,1199999,1199999,1199999,28.972208,1923000,1883099
,1199999,1199999,1199999,1199999,29.842617,1935000,1885045
,1199999,1199999,1199999,1199999,29.625015,1935000,1893357
,1199999,1199999,1199999,1199999,28.163970,1923000,1881410
,1199999,1199999,1199999,1199999,28.739062,1935000,1902083
,1199999,1199999,1199999,1199999,28.537003,1923000,1887202
,1199999,1199999,1199999,1199999,28.956664,1923000,1891332
,1199999,1199999,1199999,1199999,29.625015,1923000,1880251
,1199999,1199999,1199999,1199999,29.485128,1935000,1902857
,1199999,1199999,1199999,1199999,29.081009,1923000,1887723
,1199999,1199999,1199999,1199999,28.397115,1935000,1917667
,1199999,1199999,1199999,1199999,27.930825,1923000,1885936
,1199999,1199999,1199999,1199999,29.065466,1935000,1882087
,1199999,1199999,1199999,1199999,29.391869,1923000,1883400
,1199999,1199999,1199999,1199999,28.179513,1923000,1884477
,1199999,1199999,1199999,1199999,27.728765,1935000,1898864
,1199999,1199999,1199999,1199999,28.894492,1923000,1887162
,1199999,1199999,1199999,1199999,28.055169,1923000,1892797
,1199999,1199999,1199999,1199999,28.288314,1910000,1880791
,1199999,1199999,1199999,1199999,29.283068,1923000,1895659
,1199999,1199999,1199999,1199999,28.599175,1910000,1883736
