howmany,island,task,frequency,power_25%,power_50%,power_75%,power_max,power_mean,power_min,time_25%,time_50%,time_75%,time_max,time_mean,time_min,time_rel,voltage_25%,voltage_50%,voltage_75%,voltage_max,voltage_mean,voltage_min
1,big,gzip-5,200000,125355.0,125355.0,125355.0,189405.0,125574.17324561405,98820.0,22.34,22.34,22.34,22.36,22.34166666666667,22.33,0.644254337482578,915000.0,915000.0,915000.0,915000.0,914893.0921052631,913750.0
1,big,gzip-5,300000,177122.0,178035.0,179340.0,198121.0,177677.80263157896,107970.0,14.78,14.78,14.78,14.8,14.781666666666666,14.77,0.4262507809871677,913750.0,913750.0,913750.0,915000.0,914018.6403508772,913750.0
1,big,gzip-5,400000,232815.0,232815.0,233728.0,342912.0,232689.96271929823,114375.0,11.0525,11.06,11.0675,11.07,11.060000000000002,11.05,0.318931128946989,913750.0,913750.0,913750.0,915000.0,913736.2938596492,912500.0
1,big,gzip-5,500000,285456.0,286368.0,286446.5,341625.0,285762.5899122807,64120.0,8.83,8.835,8.84,8.84,8.833333333333334,8.82,0.2547219685682703,912500.0,912500.0,912500.0,916250.0,912524.6710526316,911250.0
1,big,gzip-5,600000,336528.0,337440.0,337440.0,358934.0,334904.74342105264,160688.0,7.35,7.355,7.36,7.36,7.355,7.35,0.2120920843946748,911250.0,912500.0,912500.0,913750.0,912192.9824561405,911250.0
1,big,gzip-5,700000,389424.0,390336.0,390819.0,399929.0,388180.9802631579,111386.0,6.3,6.3,6.307499999999999,6.31,6.303333333333334,6.3,0.1817657519104147,911250.0,911250.0,911250.0,915000.0,911570.7236842106,911250.0
1,big,gzip-5,800000,454546.0,455468.0,455962.0,584129.0,453941.3837719298,301550.0,5.51,5.51,5.51,5.52,5.511666666666666,5.51,0.1589368962368433,922500.0,923750.0,923750.0,925000.0,923275.7675438595,917500.0
1,big,gzip-5,900000,526594.0,528468.0,531144.75,643386.0,529604.2412280702,506917.0,4.9,4.9,4.907500000000001,4.91,4.903333333333333,4.9,0.1413947229297832,937500.0,937500.0,941250.0,947500.0,939520.2850877192,937500.0
1,big,gzip-5,1000000,620172.0,620172.0,622098.0,636543.0,615605.629385965,218400.0,4.41,4.41,4.41,4.42,4.411666666666666,4.41,0.1272168020377757,963750.0,963750.0,963750.0,975000.0,963881.5789473684,962500.0
1,big,gzip-5,1100000,719264.0,721240.0,723216.0,741988.0,718600.0350877193,456705.0,4.01,4.01,4.0175,4.02,4.013333333333333,4.01,0.1157302830778103,988750.0,988750.0,988750.0,995000.0,988854.1666666666,988750.0
1,big,gzip-5,1200000,827621.0,829255.0,830660.0,854630.0,822772.9890350878,283371.0,3.68,3.68,3.68,3.68,3.68,3.68,0.1061181333205171,1013750.0,1013750.0,1015000.0,1023750.0,1014424.3421052631,1013750.0
1,big,gzip-5,1300000,947310.0,948480.0,950433.0,973440.0,945246.2894736842,462774.0,3.4,3.4,3.4,3.4,3.4,3.4,0.0980439275243908,1040000.0,1040000.0,1041250.0,1047500.0,1040405.701754386,1040000.0
1,big,gzip-5,1400000,1073520.0,1075650.0,1076715.0,1174695.0,1065038.3311403508,218428.0,3.16,3.16,3.16,3.17,3.161666666666666,3.16,0.0911712404479261,1065000.0,1065000.0,1066250.0,1076250.0,1065427.6315789474,1065000.0
1,big,gzip-5,1500000,1211010.0,1213192.0,1215640.5,1243740.0,1208638.8969298245,373320.0,2.95,2.955,2.96,2.96,2.955,2.95,0.0852117075984043,1091250.0,1091250.0,1091250.0,1098750.0,1091151.3157894737,1090000.0
1,big,gzip-5,1600000,1394420.0,1398720.0,1402555.5,1429450.0,1392717.320175439,778610.0,2.77,2.77,2.77,2.77,2.77,2.77,0.0798769644831066,1128750.0,1130000.0,1130000.0,1135000.0,1129498.355263158,1128750.0
1,big,gzip-5,1700000,1602291.0,1605792.0,1608336.0,1659474.0,1597201.089912281,472316.0,2.61,2.61,2.61,2.61,2.61,2.61,0.0752631325996058,1167500.0,1167500.0,1168750.0,1173750.0,1168007.1271929825,1167500.0
1,big,gzip-5,1800000,1842768.0,1847592.0,1852416.0,2181049.0,1827558.629385965,297906.0,2.47,2.47,2.47,2.47,2.47,2.47,0.0712260297015427,1206250.0,1206250.0,1206250.0,1211250.0,1206277.4122807018,1205000.0
1,big,gzip-5,1900000,2148815.25,2156552.0,2162238.0,2224890.0,2138014.1359649124,695556.0,2.34,2.34,2.34,2.34,2.34,2.34,0.0674772912961984,1256250.0,1256250.0,1257500.0,1257500.0,1256696.820175439,1251250.0
1,big,gzip-5,2000000,2591160.0,2611617.0,2619543.0,2718618.0,2589461.114035088,849490.0,2.23,2.23,2.23,2.23,2.228,2.22,0.0642476089777478,1321250.0,1321250.0,1321250.0,1322500.0,1321066.3377192982,1315000.0
