howmany,island,task,frequency,power_25%,power_50%,power_75%,power_max,power_mean,power_min,time_25%,time_50%,time_75%,time_max,time_mean,time_min,time_rel,voltage_25%,voltage_50%,voltage_75%,voltage_max,voltage_mean,voltage_min
1,little,cachekiller,200000,20174.0,20174.0,20174.0,22925.0,19960.291666666668,9170.0,6.205,6.26,6.307499999999999,6.41,6.263333333333333,6.14,1.0,917500.0,917500.0,917500.0,918750.0,917700.1096491228,917500.0
1,little,cachekiller,300000,25676.0,25676.0,25676.0,26622.0,25612.513157894737,15606.0,4.81,4.84,4.8775,4.92,4.845,4.78,0.7735497605109101,917500.0,917500.0,917500.0,918750.0,917541.1184210526,917500.0
1,little,cachekiller,400000,30261.0,31178.0,31178.0,32095.0,30810.06798245614,14672.0,4.2925,4.3100000000000005,4.380000000000001,4.49,4.346666666666667,4.28,0.6939861628525812,917500.0,917500.0,917500.0,918750.0,917502.7412280702,917500.0
1,little,cachekiller,500000,34846.0,35763.0,35763.0,37597.0,35374.96929824561,17423.0,3.8425,3.86,3.9225,4.15,3.911666666666667,3.82,0.6245343267695584,917500.0,917500.0,917500.0,918750.0,917502.7412280702,917500.0
1,little,cachekiller,600000,43930.0,43930.0,43930.0,46795.0,43895.14254385965,21965.0,3.79,3.82,3.8275,3.85,3.806666666666666,3.74,0.6077700904736562,955000.0,955000.0,955000.0,955000.0,954783.4429824562,953750.0
1,little,cachekiller,700000,52576.0,53514.0,53568.0,57478.0,53383.30263157895,27776.0,3.5325,3.565,3.725,3.78,3.61,3.45,0.5763704097924428,991250.0,991250.0,992500.0,992500.0,991696.8201754388,991250.0
1,little,cachekiller,800000,62708.0,62708.0,62708.0,67848.0,62739.021929824565,32896.0,3.3,3.32,3.3475,3.35,3.321666666666667,3.29,0.5303352847259182,1028750.0,1028750.0,1028750.0,1028750.0,1028739.0350877192,1027500.0
1,little,cachekiller,900000,74620.0,74620.0,74620.0,83148.0,74618.29605263157,40508.0,3.29,3.29,3.2975,3.41,3.308333333333333,3.27,0.5282064928153273,1066250.0,1066250.0,1066250.0,1066250.0,1066011.5131578948,1065000.0
1,little,cachekiller,1000000,89262.0,89262.0,89262.0,93670.0,89047.0197368421,49635.0,3.185,3.2350000000000003,3.255,3.26,3.208333333333333,3.09,0.5122405534858967,1102500.0,1102500.0,1102500.0,1103750.0,1102502.74122807,1101250.0
1,little,cachekiller,1100000,103558.0,103740.0,103740.0,112662.0,103716.35087719298,57000.0,3.1475,3.175,3.2325,3.25,3.1833333333333336,3.11,0.5082490686535392,1138750.0,1140000.0,1140000.0,1140000.0,1139462.7192982456,1138750.0
1,little,cachekiller,1200000,119952.0,119952.0,119952.0,125832.0,119637.76315789472,64735.0,2.9475,3.1,3.2225,3.23,3.0849999999999995,2.92,0.4925492283129323,1176250.0,1176250.0,1176250.0,1177500.0,1176258.2236842106,1176250.0
1,little,cachekiller,1300000,142100.0,142216.0,142216.0,149572.0,142260.79605263157,79690.0,2.9775,3.0,3.03,3.09,3.0116666666666667,2.97,0.4808408728046834,1225000.0,1226250.0,1226250.0,1226250.0,1225836.0745614036,1225000.0
1,little,cachekiller,1400000,165490.0,165750.0,166763.0,173128.0,165245.20175438595,95625.0,3.0425,3.065,3.1325,3.19,3.09,3.03,0.4933475252794039,1273750.0,1275000.0,1275000.0,1275000.0,1274429.8245614036,1273750.0
1,little,cachekiller,1500000,190095.0,190095.0,190095.0,197961.0,190212.75657894736,110208.0,2.9725,3.02,3.0975,3.18,3.035,2.91,0.4845662586482172,1311250.0,1311250.0,1311250.0,1312500.0,1311126.644736842,1310000.0
