howmany,island,task,frequency,power_25%,power_50%,power_75%,power_max,power_mean,power_min,time_25%,time_50%,time_75%,time_max,time_mean,time_min,time_rel,voltage_25%,voltage_50%,voltage_75%,voltage_max,voltage_mean,voltage_min
1,little,cacherate-80,200000,20174.0,20174.0,20174.0,20196.0,20096.254385964912,9180.0,6.0825,6.105,6.1275,6.15,6.108333333333333,6.08,1.0,917500.0,917500.0,917500.0,918750.0,917771.3815789474,917500.0
1,little,cacherate-80,300000,25676.0,25676.0,25676.0,27510.0,25654.355263157893,11921.0,4.765,4.8100000000000005,4.8625,4.9,4.818333333333333,4.76,0.7888130968622101,917500.0,917500.0,917500.0,918750.0,917521.9298245612,917500.0
1,little,cacherate-80,400000,31178.0,31178.0,32095.0,33012.0,31423.111842105263,13755.0,4.16,4.17,4.195,4.21,4.176666666666667,4.15,0.6837653478854024,917500.0,917500.0,917500.0,917500.0,917491.7763157894,916250.0
1,little,cacherate-80,500000,35763.0,35763.0,35763.0,37597.0,35806.60964912281,17423.0,3.8225,3.835,3.87,3.91,3.841666666666667,3.77,0.6289222373806276,917500.0,917500.0,917500.0,918750.0,917543.8596491228,917500.0
1,little,cacherate-80,600000,44885.0,44885.0,44885.0,47750.0,44646.88815789474,21965.0,3.5625,3.575,3.58,3.63,3.5716666666666668,3.51,0.5847203274215552,955000.0,955000.0,955000.0,955000.0,954980.8114035088,953750.0
1,little,cacherate-80,700000,54505.0,54505.0,54505.0,57536.0,54275.6600877193,27748.0,3.4025,3.425,3.44,3.44,3.4133333333333336,3.35,0.558799454297408,991250.0,991250.0,991250.0,992500.0,991324.0131578948,991250.0
1,little,cacherate-80,800000,64764.0,64764.0,64764.0,68876.0,64482.20175438596,32896.0,3.2275,3.255,3.26,3.28,3.24,3.17,0.5304229195088677,1028750.0,1028750.0,1028750.0,1028750.0,1028750.0,1028750.0
1,little,cacherate-80,900000,76752.0,77745.0,77818.0,84214.0,77205.625,39405.0,3.18,3.21,3.21,3.24,3.1933333333333334,3.12,0.5227830832196453,1065000.0,1066250.0,1066250.0,1066250.0,1065767.5438596492,1065000.0
1,little,cacherate-80,1000000,89262.0,89262.0,89262.0,94772.0,89181.61622807017,46326.0,3.075,3.09,3.0975,3.1,3.073333333333333,2.99,0.503137789904502,1102500.0,1102500.0,1102500.0,1103750.0,1102494.5175438595,1101250.0
1,little,cacherate-80,1100000,104696.0,104696.0,104880.0,109440.0,104668.33771929824,57000.0,2.9825,3.025,3.03,3.03,3.0033333333333334,2.94,0.4916780354706685,1138750.0,1138750.0,1140000.0,1140000.0,1139276.3157894737,1138750.0
1,little,cacherate-80,1200000,119952.0,121128.0,121128.0,132888.0,120726.09210526316,65912.0,2.9625,2.97,2.97,2.97,2.966666666666667,2.96,0.485675306957708,1176250.0,1176250.0,1176250.0,1177500.0,1176258.2236842106,1176250.0
1,little,cacherate-80,1300000,142100.0,142100.0,142216.0,155575.0,142170.90131578947,79690.0,2.92,2.925,2.93,2.94,2.9266666666666663,2.92,0.4791268758526602,1225000.0,1225000.0,1225000.0,1226250.0,1225216.5570175438,1225000.0
1,little,cacherate-80,1400000,166763.0,166763.0,167025.0,174675.0,166313.35307017545,94350.0,2.88,2.95,2.96,2.96,2.916666666666666,2.82,0.4774897680763982,1273750.0,1273750.0,1275000.0,1275000.0,1274366.7763157894,1273750.0
1,little,cacherate-80,1500000,188784.0,190095.0,190095.0,199272.0,189313.5394736842,110124.0,2.9025,2.915,2.92,2.93,2.901666666666667,2.83,0.4750341064120055,1311250.0,1311250.0,1311250.0,1312500.0,1311206.1403508773,1310000.0
