howmany,island,task,frequency,power_25%,power_50%,power_75%,power_max,power_mean,power_min,time_25%,time_50%,time_75%,time_max,time_mean,time_min,time_rel,voltage_25%,voltage_50%,voltage_75%,voltage_max,voltage_mean,voltage_min
1,little,decrypt,200000,22925.0,22925.0,22931.25,22950.0,22760.45175438597,12838.0,35.8125,35.83,35.847500000000004,35.88,35.83166666666667,35.79,1.0,917500.0,917500.0,918750.0,918750.0,917820.7236842106,917500.0
1,little,decrypt,300000,33012.0,33012.0,33012.0,33929.0,32737.32894736842,11934.0,23.7,23.7,23.7075,23.75,23.705,23.67,0.6615656542164751,917500.0,917500.0,917500.0,918750.0,917532.894736842,917500.0
1,little,decrypt,400000,43099.0,43099.0,43099.0,45850.0,42531.74561403509,14672.0,17.705,17.725,17.767500000000002,17.78,17.733333333333334,17.69,0.494906739848365,917500.0,917500.0,917500.0,918750.0,917552.0833333334,916250.0
1,little,decrypt,500000,52269.0,52269.0,53186.0,56854.0,52139.50657894737,17423.0,14.13,14.135000000000002,14.1475,14.17,14.141666666666667,14.13,0.3946695195125354,917500.0,917500.0,917500.0,918750.0,917530.153508772,917500.0
1,little,decrypt,600000,67663.0,67805.0,68616.0,69569.0,67415.55921052632,21965.0,11.81,11.81,11.8625,11.9,11.831666666666669,11.78,0.3302014047164984,953750.0,953750.0,955000.0,955000.0,954065.2412280702,953750.0
1,little,decrypt,700000,85226.0,85226.0,86217.0,87208.0,85081.03947368421,32703.0,10.09,10.09,10.0975,10.12,10.09666666666667,10.09,0.281780547932462,991250.0,991250.0,991250.0,992500.0,991197.9166666666,990000.0
1,little,decrypt,800000,104754.0,104754.0,104856.0,105884.0,104195.63596491228,37008.0,8.84,8.87,8.87,8.91,8.861666666666666,8.82,0.2473138285501651,1027500.0,1027500.0,1027500.0,1028750.0,1027590.4605263158,1027500.0
1,little,decrypt,900000,126735.0,127800.0,127800.0,128865.0,126527.6447368421,44772.0,7.8525,7.865,7.877499999999999,7.91,7.868333333333333,7.84,0.2195916089120423,1065000.0,1065000.0,1065000.0,1066250.0,1065013.7061403508,1065000.0
1,little,decrypt,1000000,151938.0,151938.0,153039.0,153178.0,151199.92763157896,48532.0,7.07,7.07,7.085,7.1,7.075,7.05,0.1974510442346155,1101250.0,1101250.0,1101250.0,1103750.0,1101291.1184210526,1101250.0
1,little,decrypt,1100000,178666.0,179646.0,179804.0,183218.0,177713.23245614034,58140.0,6.43,6.44,6.45,6.47,6.441666666666667,6.42,0.1797758035257453,1137500.0,1138750.0,1138750.0,1140000.0,1138220.9429824562,1137500.0
1,little,decrypt,1200000,209150.0,210325.0,210325.0,211500.0,208180.0855263158,65912.0,5.9,5.905,5.91,5.93,5.906666666666667,5.89,0.164844876505884,1175000.0,1175000.0,1175000.0,1177500.0,1175021.929824561,1175000.0
1,little,decrypt,1300000,249492.0,249492.0,250715.0,250715.0,247414.5942982456,79690.0,5.45,5.45,5.4575,5.47,5.455000000000001,5.45,0.1522396390529792,1223750.0,1223750.0,1223750.0,1226250.0,1223777.4122807018,1223750.0
1,little,decrypt,1400000,293832.0,295104.0,295104.0,296376.0,292067.91228070174,94350.0,5.06,5.065,5.077500000000001,5.11,5.071666666666666,5.05,0.1415414670449788,1272500.0,1272500.0,1272500.0,1276250.0,1272450.6578947369,1268750.0
1,little,decrypt,1500000,333312.0,334871.0,336754.5,340080.0,331707.23245614034,108896.0,4.75,4.75,4.75,4.76,4.75,4.74,0.1325643053165263,1302500.0,1305000.0,1307500.0,1312500.0,1304975.3289473683,1292500.0
