howmany,island,task,frequency,power_25%,power_50%,power_75%,power_max,power_mean,power_min,time_25%,time_50%,time_75%,time_max,time_mean,time_min,time_rel,voltage_25%,voltage_50%,voltage_75%,voltage_max,voltage_mean,voltage_min
3,big,cachekiller,200000,198121.0,198121.0,199034.0,212729.0,198490.9188596492,158295.0,8.2475,8.835,9.0275,9.14,8.713333333333335,8.21,1.3911655135710488,913750.0,913750.0,913750.0,915000.0,913763.7061403508,912500.0
3,big,cachekiller,300000,277248.0,277248.0,278160.0,303363.0,277615.5416666667,151558.0,6.039999999999999,6.41,6.4975000000000005,6.62,6.317222222222223,5.94,1.0086038673053044,912500.0,912500.0,912500.0,913750.0,912532.894736842,911250.0
3,big,cachekiller,400000,350208.0,350208.0,351120.0,363888.0,350783.0504385965,282720.0,5.0425,5.33,5.4125,5.45,5.263888888888889,4.99,0.8404293063686359,912500.0,912500.0,912500.0,913750.0,912516.447368421,911250.0
3,big,cachekiller,500000,415416.0,416327.0,417238.0,434112.0,415315.16228070174,106821.0,4.5525,4.785,4.8775,4.88,4.737222222222223,4.53,0.7563420259003018,911250.0,911250.0,912500.0,913750.0,911641.995614035,911250.0
3,big,cachekiller,600000,478275.0,479186.0,481235.75,594883.0,481410.0307017544,313728.0,4.25,4.43,4.49,4.54,4.389444444444445,4.2,0.7008160368990599,911250.0,911250.0,911250.0,912500.0,911356.9078947369,910000.0
3,big,cachekiller,700000,526184.0,538401.0,539312.0,559354.0,534284.2565789474,333426.0,4.06,4.24,4.305,4.32,4.198888888888889,4.03,0.6703920525102005,901250.0,911250.0,911250.0,911250.0,907502.7412280702,900000.0
3,big,cachekiller,800000,605319.0,605568.0,607145.0,630883.0,605838.1184210526,347594.0,3.9125,4.08,4.15,4.17,4.047777777777778,3.89,0.6462657441901722,913750.0,913750.0,913750.0,922500.0,913684.2105263158,912500.0
3,big,cachekiller,900000,704438.0,705376.0,707252.0,737900.0,704437.201754386,273972.0,3.82,3.97,4.04,4.07,3.945,3.79,0.6298563065460352,938750.0,938750.0,938750.0,948750.0,939092.653508772,938750.0
3,big,cachekiller,1000000,813735.0,815661.0,818320.0,862848.0,814594.9035087719,220644.0,3.75,3.91,3.98,4.0,3.880555555555555,3.74,0.6195671456448465,963750.0,965000.0,965000.0,972500.0,964492.8728070176,963750.0
3,big,cachekiller,1100000,932580.0,933570.0,936540.0,967230.0,932683.9298245612,368262.0,3.7125,3.87,3.9175,3.95,3.8327777777777774,3.68,0.6119389746318964,990000.0,990000.0,990000.0,998750.0,990021.9298245612,988750.0
3,big,cachekiller,1200000,1060704.0,1061720.0,1064768.0,1096200.0,1061412.375,512040.0,3.6725,3.825,3.8875,3.91,3.795,3.65,0.6059073975518894,1016250.0,1016250.0,1016250.0,1020000.0,1016200.6578947369,1015000.0
3,big,cachekiller,1300000,1197150.0,1199232.0,1201314.0,1264815.0,1197516.61622807,354933.0,3.66,3.81,3.8575,3.89,3.776666666666666,3.63,0.602980308674827,1041250.0,1041250.0,1041250.0,1047500.0,1041285.6359649122,1041250.0
3,big,cachekiller,1400000,1343353.0,1345487.0,1348688.0,1403105.0,1345695.1140350876,834108.0,3.645,3.81,3.87,3.91,3.7783333333333338,3.61,0.603246407663651,1067500.0,1067500.0,1067500.0,1068750.0,1067234.100877193,1066250.0
3,big,cachekiller,1500000,1505061.0,1509144.0,1513512.0,1630756.0,1508202.5438596492,1002281.0,3.6225,3.785,3.85,3.89,3.7538888888888895,3.59,0.5993436224942347,1092500.0,1092500.0,1092500.0,1093750.0,1092746.7105263155,1091250.0
3,big,cachekiller,1600000,1731561.0,1736085.0,1740609.0,1818648.0,1733956.8223684211,1127607.0,3.62,3.78,3.87,3.88,3.757222222222222,3.61,0.5998758204718823,1131250.0,1131250.0,1131250.0,1131250.0,1131225.3289473683,1130000.0
3,big,cachekiller,1700000,1977424.0,1984320.0,1989104.0,2127060.0,1980699.9144736845,584329.0,3.515,3.68,3.77,3.77,3.652666666666667,3.5,0.5831825439063333,1170000.0,1170000.0,1170000.0,1171250.0,1169747.8070175438,1168750.0
3,big,cachekiller,1800000,2255336.0,2263792.0,2272248.0,2419624.0,2259807.013157895,1274742.0,3.525,3.68,3.77,3.78,3.6573333333333338,3.51,0.58392762107504,1208750.0,1208750.0,1208750.0,1210000.0,1208736.2938596492,1206250.0
3,big,cachekiller,1900000,2637180.0,2648520.0,2655024.5,2795940.0,2637666.6184210526,959798.0,3.515,3.67,3.765,3.77,3.65,3.5,0.5827567855242151,1260000.0,1260000.0,1260000.0,1260000.0,1259780.701754386,1253750.0
3,big,cachekiller,2000000,3180492.0,3204306.0,3214890.0,3295593.0,3185874.0504385964,1115968.0,3.515,3.67,3.77,3.77,3.6520000000000006,3.51,0.5830761043108038,1323750.0,1323750.0,1323750.0,1325000.0,1323944.6271929825,1316250.0
