howmany,island,task,frequency,power_25%,power_50%,power_75%,power_max,power_mean,power_min,time_25%,time_50%,time_75%,time_max,time_mean,time_min,time_rel,voltage_25%,voltage_50%,voltage_75%,voltage_max,voltage_mean,voltage_min
3,big,cacherate-60,200000,209077.0,209077.0,209990.0,222772.0,209338.278508772,162514.0,8.522499999999999,9.06,9.21,9.22,8.926111111111114,8.48,1.354493340077559,913750.0,913750.0,913750.0,913750.0,913744.5175438595,912500.0
3,big,cacherate-60,300000,291840.0,291840.0,292752.0,304608.0,292124.9539473684,191730.0,6.26,6.585,6.655,6.75,6.493333333333334,6.14,0.9853313100657564,912500.0,912500.0,912500.0,913750.0,912489.0350877192,911250.0
3,big,cacherate-60,400000,367536.0,368448.0,368448.0,380304.0,367882.00657894736,247152.0,5.237500000000001,5.48,5.5325,5.61,5.415555555555557,5.17,0.8217838475805094,912500.0,912500.0,912500.0,913750.0,912475.3289473684,911250.0
3,big,cacherate-60,500000,433200.0,434112.0,435024.0,448212.0,433572.74342105264,226424.0,4.725,4.9,4.965,5.07,4.866111111111112,4.68,0.738408362839319,911250.0,911250.0,911250.0,913750.0,911496.7105263158,911250.0
3,big,cacherate-60,600000,497406.0,498317.0,499228.0,522914.0,497763.7368421053,144254.0,4.395,4.56,4.615,4.63,4.520555555555556,4.35,0.685972011465183,911250.0,911250.0,911250.0,913750.0,911173.245614035,910000.0
3,big,cacherate-60,700000,550511.0,557532.0,558443.0,579670.0,554836.677631579,471898.0,4.192500000000001,4.335,4.38,4.41,4.303888888888888,4.16,0.6530939133367054,901250.0,911250.0,911250.0,911250.0,908360.745614035,900000.0
3,big,cacherate-60,800000,622666.0,623579.0,625405.0,647317.0,623250.3574561403,280578.0,4.045,4.1850000000000005,4.217499999999999,4.26,4.149444444444445,4.0,0.6296577305682011,913750.0,913750.0,913750.0,926250.0,913774.6710526316,912500.0
3,big,cacherate-60,900000,723198.0,724740.0,726620.0,784168.0,725040.1228070175,468720.0,3.9425,4.08,4.12,4.15,4.051666666666667,3.92,0.6148204350025291,938750.0,938750.0,940000.0,945000.0,939144.7368421052,938750.0
3,big,cacherate-60,1000000,832795.0,834725.0,836655.0,890695.0,834741.0065789474,649152.0,3.8575,4.0,4.0375,4.06,3.965,3.84,0.6016691957511381,963750.0,965000.0,965000.0,976250.0,964605.2631578948,963750.0
3,big,cacherate-60,1100000,949410.0,951390.0,953370.0,982080.0,951131.475877193,453801.0,3.82,3.95,3.9775,4.01,3.915555555555556,3.78,0.5941662451525882,990000.0,990000.0,990000.0,993750.0,990000.0,988750.0
3,big,cacherate-60,1200000,1077976.0,1080008.0,1082040.0,1111504.0,1079191.8135964912,584332.0,3.78,3.91,3.95,3.97,3.877222222222223,3.75,0.5883493508683192,1015000.0,1016250.0,1016250.0,1018750.0,1015937.5,1015000.0
3,big,cacherate-60,1300000,1218684.5,1220052.0,1223175.0,1281471.0,1219178.6074561405,583110.0,3.7525,3.875,3.9175,3.94,3.850555555555556,3.74,0.584302815714045,1041250.0,1041250.0,1041250.0,1045000.0,1041291.1184210526,1040000.0
3,big,cacherate-60,1400000,1360372.75,1363626.0,1366827.0,1533279.0,1363092.0328947369,779640.0,3.73,3.88,3.92,3.96,3.845,3.7,0.5834597875569044,1067500.0,1067500.0,1067500.0,1068750.0,1067294.4078947369,1066250.0
3,big,cacherate-60,1500000,1520064.0,1523642.0,1529107.0,1581216.0,1522808.0175438595,986595.0,3.7225,3.86,3.92,3.94,3.834444444444445,3.7,0.5818580340583377,1092500.0,1092500.0,1093750.0,1095000.0,1092946.820175439,1091250.0
3,big,cacherate-60,1600000,1741740.0,1747395.0,1750788.0,1786980.0,1746281.5065789474,1447530.0,3.6975,3.84,3.8875,3.92,3.808333333333333,3.67,0.5778958017197774,1131250.0,1131250.0,1131250.0,1133750.0,1131151.3157894737,1130000.0
3,big,cacherate-60,1700000,1992510.0,1997190.0,2003040.0,2079090.0,1994567.524122807,1159824.0,3.61,3.75,3.81,3.82,3.722,3.59,0.5647951441578148,1170000.0,1170000.0,1170000.0,1171250.0,1169978.070175439,1168750.0
3,big,cacherate-60,1800000,2265000.0,2273456.0,2279496.0,2343520.0,2267210.5021929825,1266455.0,3.615,3.76,3.835,3.84,3.736666666666666,3.61,0.5670207384926655,1208750.0,1208750.0,1208750.0,1208750.0,1208711.6228070175,1205000.0
3,big,cacherate-60,1900000,2652300.0,2663640.0,2669940.0,2755620.0,2654778.1578947366,1415640.0,3.605,3.75,3.825,3.83,3.7266666666666666,3.59,0.5655032878098128,1260000.0,1260000.0,1260000.0,1260000.0,1259912.2807017544,1255000.0
3,big,cacherate-60,2000000,3196037.25,3221505.0,3230766.0,3336606.0,3205309.6907894737,996770.0,3.615,3.75,3.82,3.83,3.725333333333333,3.59,0.565300961052099,1323750.0,1323750.0,1323750.0,1325000.0,1323887.0614035088,1315000.0
