howmany,island,task,frequency,power_25%,power_50%,power_75%,power_max,power_mean,power_min,time_25%,time_50%,time_75%,time_max,time_mean,time_min,time_rel,voltage_25%,voltage_50%,voltage_75%,voltage_max,voltage_mean,voltage_min
3,big,decrypt,200000,248976.0,249249.0,250162.0,263568.0,249212.21271929823,129930.0,21.3725,21.415,21.4475,21.5,21.41333333333333,21.32,0.5976091911251684,912500.0,912500.0,913750.0,915000.0,912850.8771929824,912500.0
3,big,decrypt,300000,367133.0,368955.0,370777.0,379392.0,367489.11842105264,137863.0,14.1225,14.14,14.17,14.2,14.146111111111107,14.1,0.3947935562894397,911250.0,911250.0,912500.0,913750.0,911757.1271929824,911250.0
3,big,decrypt,400000,483741.0,486474.0,488296.0,514715.0,484707.9627192983,241945.0,10.5525,10.57,10.58,10.63,10.570555555555556,10.54,0.2950059692698885,911250.0,911250.0,911250.0,913750.0,911170.504385965,910000.0
3,big,decrypt,500000,592200.0,599165.0,604240.0,614250.0,596549.3421052631,345269.0,8.43,8.45,8.46,8.5,8.450000000000001,8.42,0.2358249220893995,900000.0,910000.0,910000.0,911250.0,905213.8157894736,900000.0
3,big,decrypt,600000,703681.0,707168.0,710889.0,736117.0,706593.4342105263,656481.0,7.0225,7.04,7.047499999999999,7.1,7.042222222222223,7.02,0.1965362730049459,901250.0,901250.0,901250.0,903750.0,901543.3114035088,901250.0
3,big,decrypt,700000,819016.0,824428.0,828938.0,835252.0,823023.3969298246,753170.0,6.02,6.025,6.0375,6.06,6.029999999999999,6.01,0.1682868970649797,901250.0,902500.0,902500.0,902500.0,902160.0877192982,901250.0
3,big,decrypt,800000,962580.0,966240.0,972645.0,1004670.0,965831.3486842106,884805.0,5.27,5.27,5.29,5.33,5.283888888888888,5.26,0.1474642231421616,915000.0,915000.0,915000.0,916250.0,915235.745614035,915000.0
3,big,decrypt,900000,1153666.0,1157430.0,1162135.0,1184719.0,1155783.1842105263,1084032.0,4.6825,4.69,4.7,4.75,4.6994444444444445,4.68,0.1311533869792393,941250.0,941250.0,941250.0,942500.0,941258.2236842106,940000.0
3,big,decrypt,1000000,1351434.0,1356701.0,1364958.0,1457269.0,1354876.7346491227,1090614.0,4.22,4.22,4.23,4.28,4.230555555555556,4.21,0.1180675070158302,966250.0,966250.0,967500.0,967500.0,966770.8333333334,966250.0
3,big,decrypt,1100000,1566368.0,1578272.0,1589184.0,1617952.0,1576192.6140350876,1420544.0,3.84,3.84,3.85,3.91,3.852222222222222,3.83,0.1075088763818472,992500.0,992500.0,992500.0,993750.0,992639.802631579,992500.0
3,big,decrypt,1200000,1808460.0,1822740.0,1835098.5,1952280.0,1813615.4868421047,886380.0,3.52,3.53,3.53,3.6,3.5361111111111114,3.52,0.0986867606245251,1020000.0,1020000.0,1020000.0,1020000.0,1019720.394736842,1018750.0
3,big,decrypt,1300000,2077460.0,2086865.0,2097251.25,2129656.0,2077754.3026315789,1158905.0,3.26,3.26,3.26,3.33,3.268333333333333,3.25,0.0912135448160379,1045000.0,1045000.0,1046250.0,1046250.0,1045433.1140350878,1043750.0
3,big,decrypt,1400000,2353790.25,2369052.0,2383056.0,2409856.0,2358303.1951754387,894285.0,3.03,3.03,3.03,3.08,3.037777777777778,3.02,0.0847791370141246,1071250.0,1071250.0,1072500.0,1072500.0,1071609.100877193,1068750.0
3,big,decrypt,1500000,2667688.5,2686553.0,2699717.0,2729628.0,2679932.6557017546,2487996.0,2.83,2.83,2.83,2.9,2.84,2.82,0.079259500441881,1097500.0,1098125.0,1098750.0,1098750.0,1098122.25877193,1096250.0
3,big,decrypt,1600000,3076288.0,3100144.0,3117184.0,3154038.0,3079166.789473684,947725.0,2.65,2.66,2.66,2.7,2.6633333333333336,2.65,0.074329038559933,1136250.0,1136250.0,1137500.0,1137500.0,1136639.254385965,1133750.0
3,big,decrypt,1700000,3539760.0,3567984.0,3585624.0,3629136.0,3547159.8684210526,1230721.0,2.53,2.53,2.53,2.54,2.53,2.52,0.0706079352528024,1176250.0,1176250.0,1176250.0,1176250.0,1176063.596491228,1171250.0
3,big,decrypt,1800000,4050496.0,4093056.0,4125888.0,4322880.0,4070233.528508772,1641520.0,2.39,2.39,2.395,2.4,2.3926666666666665,2.39,0.0667751988464579,1216250.0,1216250.0,1216250.0,1217500.0,1216110.1973684211,1207500.0
3,big,decrypt,1900000,4763948.5,4813964.5,4866901.0,4958080.0,4805921.206140351,3141151.0,2.27,2.27,2.27,2.29,2.272666666666667,2.27,0.0634262058700404,1267500.0,1268750.0,1268750.0,1270000.0,1268179.8245614036,1261250.0
3,big,decrypt,2000000,5805740.0,5914717.5,5999976.0,6157624.0,5882789.813596491,3801642.0,2.16,2.16,2.16,2.17,2.159333333333333,2.15,0.0602632680589794,1333750.0,1335000.0,1335000.0,1336250.0,1334821.820175439,1326250.0
