howmany,island,task,frequency,power_25%,power_50%,power_75%,power_max,power_mean,power_min,time_25%,time_50%,time_75%,time_max,time_mean,time_min,time_rel,voltage_25%,voltage_50%,voltage_75%,voltage_max,voltage_mean,voltage_min
3,little,gzip-5,200000,50435.0,51352.0,51352.0,51352.0,50728.600877192985,19257.0,36.81,36.94,37.2875,37.78,37.06777777777778,36.68,1.0689030935101969,917500.0,917500.0,917500.0,917500.0,917500.0,917500.0
3,little,gzip-5,300000,72364.0,72443.0,73280.0,74277.0,72306.01096491228,16506.0,24.735,24.805,25.012500000000003,25.29,24.87,24.63,0.7171624933916471,916250.0,916250.0,917500.0,917500.0,916831.1403508772,916250.0
3,little,gzip-5,400000,92516.0,93432.0,93432.0,94451.0,92710.13377192985,21091.0,18.8225,18.875,18.915,18.99,18.87333333333333,18.77,0.5442399192579419,916250.0,916250.0,916250.0,918750.0,916370.6140350878,916250.0
3,little,gzip-5,500000,109920.0,110836.0,111752.0,113584.0,110042.76315789472,37597.0,15.28,15.3,15.3475,15.37,15.304444444444446,15.19,0.4413258358565227,916250.0,916250.0,916250.0,917500.0,916255.4824561405,916250.0
3,little,gzip-5,600000,138992.0,140017.5,141848.0,146608.0,139878.99561403508,24830.0,12.9325,12.965,13.0375,13.12,12.986666666666666,12.9,0.3744893545441438,952500.0,952500.0,952500.0,955000.0,952524.6710526316,952500.0
3,little,gzip-5,700000,170924.0,173888.0,174876.0,180804.0,172397.9254385965,49550.0,11.24,11.26,11.3275,11.38,11.281666666666665,11.2,0.3253232085355889,988750.0,988750.0,988750.0,991250.0,988766.447368421,988750.0
3,little,gzip-5,800000,201865.5,208278.0,211356.0,215250.0,205400.99122807017,48316.0,9.995,10.1,10.1675,10.34,10.100555555555555,9.95,0.29126415789558,1026250.0,1026250.0,1026250.0,1028750.0,1026069.0789473684,1025000.0
3,little,gzip-5,900000,245091.0,247446.0,250632.0,255701.0,246463.86184210525,44772.0,8.9825,9.035,9.09,9.24,9.055,8.96,0.2611140481568703,1061250.0,1062500.0,1062500.0,1066250.0,1061907.894736842,1060000.0
3,little,gzip-5,1000000,276023.0,279584.0,282633.75,291297.0,278120.07236842107,57304.0,8.282499999999999,8.305,8.387500000000001,8.49,8.328333333333333,8.21,0.240159561685971,1090000.0,1091250.0,1092500.0,1102500.0,1091472.0394736845,1087500.0
3,little,gzip-5,1100000,318364.0,321440.0,324800.0,333760.0,320030.6600877193,80940.0,7.6825,7.745,7.807499999999999,7.85,7.742222222222223,7.64,0.2232581983627305,1120000.0,1120000.0,1120000.0,1140000.0,1120345.394736842,1118750.0
3,little,gzip-5,1200000,367608.0,374544.0,379457.0,389572.0,372307.7785087719,65856.0,7.18,7.205,7.25,7.27,7.208333333333333,7.13,0.2078627385014658,1156250.0,1156250.0,1156250.0,1176250.0,1156384.320175439,1155000.0
3,little,gzip-5,1300000,425365.0,435005.0,438620.0,447055.0,429710.2302631579,121275.0,6.7325,6.79,6.81,6.88,6.775555555555556,6.63,0.1953829640665801,1205000.0,1205000.0,1205000.0,1225000.0,1205145.285087719,1205000.0
3,little,gzip-5,1400000,495874.75,502453.0,509971.0,526260.0,499573.8618421053,120935.0,6.3925,6.43,6.48,6.51,6.426111111111111,6.3,0.1853062270710177,1253750.0,1253750.0,1253750.0,1273750.0,1253865.1315789474,1253750.0
3,little,gzip-5,1500000,552120.0,566310.0,572760.0,589530.0,561434.3837719298,166116.0,6.04,6.09,6.1525,6.22,6.082777777777778,5.89,0.1754057128210057,1290000.0,1290000.0,1290000.0,1308750.0,1290153.50877193,1290000.0
