howmany,island,task,frequency,power_25%,power_50%,power_75%,power_max,power_mean,power_min,time_25%,time_50%,time_75%,time_max,time_mean,time_min,time_rel,voltage_25%,voltage_50%,voltage_75%,voltage_max,voltage_mean,voltage_min
4,big,hash,200000,336528.0,337440.0,337440.0,339264.0,336510.2302631579,213642.0,21.3,21.33,21.46,21.69,21.39,21.29,0.5684294445920808,912500.0,912500.0,912500.0,913750.0,912319.0789473684,911250.0
4,big,hash,300000,495584.0,496495.0,497406.0,499228.0,495126.2390350877,265392.0,14.14,14.16,14.1825,14.39,14.190833333333336,14.13,0.3771148906014705,911250.0,911250.0,911250.0,912500.0,911044.4078947369,910000.0
4,big,hash,400000,651560.0,653380.0,654290.0,657020.0,650563.197368421,259008.0,10.58,10.59,10.6025,10.86,10.625416666666666,10.57,0.2823655771104615,910000.0,910000.0,910000.0,912500.0,910010.9649122808,908750.0
4,big,hash,500000,791078.0,792880.0,794682.0,798270.0,791742.975877193,639636.0,8.48,8.49,8.5,8.69,8.515416666666667,8.47,0.226293294357339,901250.0,902500.0,902500.0,906250.0,902184.7587719298,901250.0
4,big,hash,600000,945296.0,947100.0,948904.0,952512.0,944669.3289473684,552363.0,7.07,7.08,7.092499999999999,7.28,7.107083333333333,7.06,0.1888674816192753,902500.0,902500.0,902500.0,907500.0,902516.447368421,901250.0
4,big,hash,700000,1094436.0,1097145.0,1099854.0,1108884.0,1094498.0504385964,618574.0,6.1,6.13,6.15,6.22,6.132916666666667,6.07,0.162979449021171,903750.0,903750.0,903750.0,907500.0,903467.653508772,902500.0
4,big,hash,800000,1281966.0,1286064.0,1289302.0,1300306.0,1280475.8618421052,522560.0,5.3675,5.385,5.41,5.46,5.388750000000001,5.33,0.1432035609885729,916250.0,917500.0,917500.0,920000.0,916968.201754386,916250.0
4,big,hash,900000,1519446.0,1523214.0,1528159.5,1541112.0,1518881.7938596492,533544.0,4.835,4.865,4.8925,4.94,4.863333333333333,4.81,0.129240853928603,942500.0,942500.0,942500.0,946250.0,942543.8596491228,942500.0
4,big,hash,1000000,1783975.5,1787896.0,1793573.5,1809192.0,1784240.8333333333,1172971.0,4.3175,4.35,4.405,4.43,4.357916666666667,4.28,0.1158096377004163,968750.0,968750.0,968750.0,970000.0,968865.1315789474,967500.0
4,big,hash,1100000,2071680.0,2076660.0,2082636.0,2104548.0,2072569.254385965,1463682.0,3.9875,4.0,4.035,4.06,4.01,3.95,0.1065639117725219,995000.0,996250.0,996250.0,996250.0,995852.5219298246,992500.0
4,big,hash,1200000,2384326.0,2392502.0,2398634.0,2424184.0,2384842.50877193,1339688.0,3.67,3.71,3.76,3.78,3.7116666666666673,3.64,0.0986358401984232,1022500.0,1022500.0,1022500.0,1022500.0,1022269.7368421052,1018750.0
4,big,hash,1300000,2722200.0,2731088.0,2739472.0,2776152.0,2723198.0614035088,1214406.0,3.37,3.38,3.4125,3.46,3.392916666666667,3.33,0.0901652050668792,1048750.0,1048750.0,1048750.0,1050000.0,1048582.785087719,1045000.0
4,big,hash,1400000,3076112.0,3086325.0,3097075.0,3134700.0,3076889.5701754387,1344105.0,3.1475,3.16,3.24,3.25,3.18375,3.1,0.0846066967844804,1075000.0,1075000.0,1075000.0,1075000.0,1074742.3245614036,1071250.0
4,big,hash,1500000,3467049.0,3482463.0,3496776.0,3541828.0,3469729.3969298247,1474120.0,2.96,2.97,3.04,3.05,2.985416666666667,2.9,0.0793360793692975,1101250.0,1101250.0,1101250.0,1102500.0,1101362.3903508773,1096250.0
4,big,hash,1600000,4014893.75,4036858.0,4052832.0,4096354.0,4024648.2763157897,2056620.0,2.7775,2.79,2.86,2.87,2.808333333333333,2.72,0.0746301709628842,1141250.0,1141250.0,1141250.0,1142500.0,1141192.4342105263,1135000.0
4,big,hash,1700000,4624796.0,4655502.0,4681484.0,4743366.0,4640975.918859649,2979800.0,2.62,2.72,2.72,2.73,2.679,2.61,0.0711931969173531,1181250.0,1181250.0,1181250.0,1182500.0,1181239.035087719,1175000.0
4,big,hash,1800000,5291814.0,5337696.0,5369590.5,5450120.0,5314302.063596491,2658145.0,2.49,2.58,2.5925,2.62,2.553,2.48,0.0678448046771193,1221250.0,1221250.0,1222500.0,1222500.0,1221625.548245614,1211250.0
4,big,hash,1900000,6233779.5,6325912.5,6394355.0,6492288.0,6292259.192982456,2222886.0,2.3575,2.37,2.45,2.46,2.392,2.32,0.0635663034812649,1275000.0,1275000.0,1276250.0,1277500.0,1274975.3289473683,1258750.0
4,big,hash,2000000,6462940.0,6987312.5,7521669.0,7854726.0,6947765.686403509,3102435.0,2.26,2.31,2.3425,2.36,2.3005,2.24,0.061134732925857,1276250.0,1306250.0,1340000.0,1342500.0,1305729.1666666667,1190000.0
