howmany,island,task,frequency,power_25%,power_50%,power_75%,power_max,power_mean,power_min,time_25%,time_50%,time_75%,time_max,time_mean,time_min,time_rel,voltage_25%,voltage_50%,voltage_75%,voltage_max,voltage_mean,voltage_min
4,little,idle,200000,9170.0,9170.0,9180.0,17423.0,9616.098684210529,8253.0,2.01,2.01,2.01,2.02,2.010833333333333,2.01,1.0004145936981756,917500.0,917500.0,918750.0,918750.0,917944.0789473684,917500.0
4,little,idle,300000,11004.0,11004.0,11921.0,20174.0,11763.331140350878,11004.0,2.01,2.01,2.01,2.01,2.0083333333333333,2.0,0.9991708126036484,917500.0,917500.0,917500.0,918750.0,917617.8728070176,917500.0
4,little,idle,400000,14672.0,14672.0,14688.0,22925.0,15157.129385964912,13755.0,2.0,2.0,2.0,2.01,2.00125,2.0,0.9956467661691544,917500.0,917500.0,917500.0,918750.0,917691.8859649122,917500.0
4,little,idle,500000,16506.0,16506.0,17423.0,25676.0,17272.660087719298,16506.0,2.0,2.0,2.0,2.01,2.000833333333333,2.0,0.9954394693200664,917500.0,917500.0,917500.0,918750.0,917667.2149122808,917500.0
4,little,idle,600000,21965.0,21965.0,21965.0,33425.0,22562.388157894737,21010.0,2.0,2.0,2.0,2.0,2.0,2.0,0.9950248756218908,955000.0,955000.0,955000.0,956250.0,955027.4122807018,955000.0
4,little,idle,700000,26757.0,26784.0,26784.0,39680.0,27596.08114035088,26757.0,2.0,2.0,2.0,2.0,2.0,2.0,0.9950248756218908,991250.0,991250.0,992500.0,992500.0,991748.903508772,991250.0
4,little,idle,800000,32896.0,32896.0,32896.0,46215.0,33661.79824561404,32864.0,2.0,2.0,2.0,2.0,2.0,2.0,0.9950248756218908,1028750.0,1028750.0,1028750.0,1028750.0,1028725.3289473684,1027500.0
4,little,idle,900000,39442.0,39442.0,40508.0,54366.0,40566.44298245614,39442.0,2.0,2.0,2.0,2.0,2.0,2.0,0.9950248756218908,1066250.0,1066250.0,1066250.0,1066250.0,1066250.0,1066250.0
4,little,idle,1000000,47429.0,47429.0,47429.0,63974.0,48393.43201754386,47386.0,2.0,2.0,2.0,2.0,2.0,2.0,0.9950248756218908,1103750.0,1103750.0,1103750.0,1103750.0,1103662.2807017544,1102500.0
4,little,idle,1100000,55860.0,55860.0,57000.0,74100.0,57238.24561403509,54720.0,2.0,2.0,2.0,2.0,2.0,2.0,0.9950248756218908,1140000.0,1140000.0,1140000.0,1141250.0,1139980.8114035088,1138750.0
4,little,idle,1200000,64735.0,65912.0,65912.0,85848.0,66910.81798245614,64680.0,2.0,2.0,2.0,2.0,2.0,2.0,0.9950248756218908,1176250.0,1177500.0,1177500.0,1177500.0,1177047.6973684211,1176250.0
4,little,idle,1300000,78464.0,79690.0,79690.0,99306.0,80141.68421052632,78464.0,2.0,2.0,2.0,2.0,2.0,2.0,0.9950248756218908,1226250.0,1226250.0,1226250.0,1226250.0,1226250.0,1226250.0
4,little,idle,1400000,93075.0,93148.0,94350.0,121125.0,95016.50438596492,93075.0,2.0,2.0,2.0,2.0,2.0,2.0,0.9950248756218908,1275000.0,1275000.0,1275000.0,1276250.0,1275158.99122807,1275000.0
4,little,idle,1500000,108896.0,108896.0,110124.0,139072.0,110363.11622807015,107502.0,2.0,2.0,2.0,2.0,2.0,2.0,0.9950248756218908,1312500.0,1312500.0,1312500.0,1312500.0,1312198.464912281,1311250.0
