howmany,island,task,frequency,power_25%,power_50%,power_75%,power_max,power_mean,power_min,time_25%,time_50%,time_75%,time_max,time_mean,time_min,time_rel
4,cpu,decrypt,600000,3626000.0,3629000.0,3629000.0,3664000.0,3629646.153846154,3622000.0,7.29,7.295,7.3,7.31,7.296250000000001,7.29,1.0005828304991773
4,cpu,decrypt,700000,3862000.0,3866000.0,3870000.0,3923000.0,3866103.31632653,3855000.0,6.25,6.25,6.26,6.28,6.25375,6.23,0.8576179374657159
4,cpu,decrypt,800000,4045000.0,4045000.0,4049000.0,4072000.0,4046931.6295918366,4034000.0,5.47,5.48,5.49,5.51,5.4795,5.45,0.7514399341744378
4,cpu,decrypt,900000,4232000.0,4236000.0,4240000.0,4293000.0,4237016.260162601,4221000.0,4.86,4.865,4.8725000000000005,4.89,4.867,4.84,0.667443773998903
4,cpu,decrypt,1000000,4427000.0,4431000.0,4435000.0,4473000.0,4431524.873096447,4416000.0,4.38,4.38,4.39,4.4,4.3815,4.36,0.6008639605046626
4,cpu,decrypt,1100000,4622000.0,4622000.0,4626000.0,4660000.0,4624164.467005076,4606000.0,3.98,3.98,3.99,4.0,3.982500000000001,3.97,0.5461464618760287
4,cpu,decrypt,1200000,4824000.0,4828000.0,4835000.0,4877000.0,4829556.345177665,4809000.0,3.6475,3.65,3.66,3.68,3.653,3.64,0.5009599561162918
4,cpu,decrypt,1300000,5030000.0,5034000.0,5042000.0,5072000.0,5035506.085192698,5015000.0,3.37,3.37,3.38,3.41,3.3765,3.37,0.4630416895227647
4,cpu,decrypt,1400000,5244000.0,5252000.0,5259000.0,5297000.0,5251875.631951466,5225000.0,3.13,3.13,3.14,3.15,3.1325000000000003,3.12,0.4295803620405924
4,cpu,decrypt,1500000,5446000.0,5454000.0,5461000.0,5507000.0,5453776.767676768,5419000.0,2.92,2.92,2.9225,2.94,2.923,2.92,0.4008502468458585
