howmany,island,task,frequency,power_25%,power_50%,power_75%,power_max,power_mean,power_min,time_25%,time_50%,time_75%,time_max,time_mean,time_min,time_rel
4,cpu,gzip-9,600000,3744000.0,3744000.0,3748000.0,3767000.0,3744938.566552901,3721000.0,7.6,7.605,7.6225,7.67,7.618333333333332,7.59,1.0541974169741697
4,cpu,gzip-9,700000,3996000.0,4000000.0,4003000.0,4011000.0,4000010.112436116,3977000.0,6.557499999999999,6.56,6.5625,6.59,6.558333333333333,6.51,0.9075184501845016
4,cpu,gzip-9,800000,4202000.0,4206000.0,4210000.0,4355000.0,4205828.888319672,4141000.0,5.74,5.745,5.76,5.78,5.7445,5.7,0.7949031365313654
4,cpu,gzip-9,900000,4404000.0,4408000.0,4412000.0,4419000.0,4406092.307692308,4370000.0,5.11,5.115,5.13,5.13,5.117,5.1,0.7080719557195572
4,cpu,gzip-9,1000000,4618000.0,4622000.0,4626000.0,4637000.0,4619703.517587939,4576000.0,4.61,4.62,4.63,4.64,4.619999999999999,4.6,0.6392988929889298
4,cpu,gzip-9,1100000,4824000.0,4828000.0,4835000.0,4843000.0,4825452.81124498,4774000.0,4.22,4.22,4.23,4.25,4.225499999999999,4.21,0.5847094095940959
4,cpu,gzip-9,1200000,5042000.0,5053000.0,5057000.0,5129000.0,5047367.469879518,4981000.0,3.87,3.875,3.8925,3.9,3.8795,3.85,0.5368311808118081
4,cpu,gzip-9,1300000,5252000.0,5271000.0,5278000.0,5293000.0,5263698.094282849,5190000.0,3.6,3.605,3.61,3.65,3.611999999999999,3.59,0.4998154981549814
4,cpu,gzip-9,1400000,5488000.0,5503000.0,5515000.0,5538000.0,5494129.129129129,5286000.0,3.3475,3.35,3.36,3.39,3.3555,3.32,0.4643219557195572
4,cpu,gzip-9,1500000,5698000.0,5717000.0,5732000.0,5755000.0,5703629.889669007,5439000.0,3.1275,3.13,3.14,3.15,3.1295,3.11,0.4330488929889299
