island,frequency,task,power,time
cpu,600000,decrypt,190620.87467250775,1.0005828304991773
cpu,700000,decrypt,237548.54837200677,0.857835070396782
cpu,800000,decrypt,274880.9083785199,0.7514399341744378
cpu,900000,decrypt,314217.0250457683,0.6675809105869447
cpu,1000000,decrypt,354464.4026516034,0.6008639605046626
cpu,1100000,decrypt,394791.6104963514,0.5461464618760287
cpu,1200000,decrypt,436704.39373047114,0.501371365880417
cpu,1300000,decrypt,479342.78467188525,0.4630416895227647
cpu,1400000,decrypt,524234.3827735384,0.4295803620405924
cpu,1500000,decrypt,567868.833555302,0.4008502468458585
cpu,600000,encrypt,189305.71906541262,1.0004115226337449
cpu,700000,encrypt,235775.24871043352,0.8574531321444903
cpu,800000,encrypt,272910.0215842309,0.7506172839506174
cpu,900000,encrypt,311588.0212411616,0.6666666666666666
cpu,1000000,encrypt,351084.5782926819,0.6002057613168724
cpu,1100000,encrypt,392063.646151865,0.5462277091906722
cpu,1200000,encrypt,433228.7321502518,0.5006858710562415
cpu,1300000,encrypt,475454.4166869069,0.4628257887517147
cpu,1400000,encrypt,519499.4735561299,0.4296296296296297
cpu,1500000,encrypt,562574.5377948771,0.4015089163237312
cpu,600000,gzip-1,215295.83095380192,1.054766006316394
cpu,700000,gzip-1,266327.52405644866,1.2096612115991965
cpu,800000,gzip-1,307292.2838959828,0.8875968992248061
cpu,900000,gzip-1,350179.9493797554,1.063833859699493
cpu,1000000,gzip-1,393317.3908515335,0.929730117714614
cpu,1100000,gzip-1,433593.1671151243,0.7376543209876543
cpu,1200000,gzip-1,481858.64821889583,0.7736146999712891
cpu,1300000,gzip-1,528106.339228858,0.8407503110345488
cpu,1400000,gzip-1,574000.9488145135,0.6607330845056943
cpu,1500000,gzip-1,623029.086616071,0.762465307684946
cpu,600000,gzip-5,220068.21239698355,1.0538426138978372
cpu,700000,gzip-5,272340.5540864372,0.9023239760699492
cpu,800000,gzip-5,315112.9388479635,0.7968016566958125
cpu,900000,gzip-5,359018.6557852888,0.7067188219052001
cpu,1000000,gzip-5,403433.1275516126,0.6375517717441326
cpu,1100000,gzip-5,449165.2396061639,0.5818453750575242
cpu,1200000,gzip-5,496249.5258916558,0.5358720662678325
cpu,1300000,gzip-5,543550.9508748278,0.4978370915784629
cpu,1400000,gzip-5,593515.2131437681,0.4651173492867005
cpu,1500000,gzip-5,640187.383030774,0.4341233317993557
cpu,600000,gzip-9,220012.67142707307,1.0541974169741697
cpu,700000,gzip-9,272626.2875241532,0.9075184501845016
cpu,800000,gzip-9,315728.66880678834,0.7949031365313654
cpu,900000,gzip-9,358920.9589097891,0.7080719557195572
cpu,1000000,gzip-9,404373.61348833254,0.6392988929889298
cpu,1100000,gzip-9,449130.93055569776,0.5847094095940959
cpu,1200000,gzip-9,496536.0183735496,0.5368311808118081
cpu,1300000,gzip-9,543290.9817910348,0.4998154981549814
cpu,1400000,gzip-9,592829.0431431433,0.4643219557195572
cpu,1500000,gzip-9,641367.284989201,0.4330488929889299
cpu,600000,hash,220002.19691619722,1.0075757575757576
cpu,700000,hash,272180.8300624195,0.865702479338843
cpu,800000,hash,316536.3263165268,0.7583677685950415
cpu,900000,hash,361686.5718273872,0.6736570247933884
cpu,1000000,hash,406266.6981279161,0.608987603305785
cpu,1100000,hash,452581.0150205339,0.5524793388429753
cpu,1200000,hash,500277.2021941569,0.5075757575757578
cpu,1300000,hash,549908.383450418,0.4709710743801653
cpu,1400000,hash,601072.78624636,0.4363636363636364
cpu,1500000,hash,651704.2293148192,0.4087809917355371
cpu,600000,idle,2855955.0,0.0
cpu,700000,idle,2899018.796992481,0.0
cpu,800000,idle,2926002.506265664,0.0
cpu,900000,idle,2951370.481927711,0.0
cpu,1000000,idle,2978583.583583584,0.0
cpu,1100000,idle,3003434.2928660824,0.0
cpu,1200000,idle,3031055.165496489,0.0
cpu,1300000,idle,3057185.0,0.0
cpu,1400000,idle,3084576.0,0.0
cpu,1500000,idle,3110947.0,0.0
