howmany,island,task,frequency,power_25%,power_50%,power_75%,power_max,power_mean,power_min,time_25%,time_50%,time_75%,time_max,time_mean,time_min,time_rel
1,cpu,cachekiller,299999,1823000.0,1836000.0,1848000.0,1860000.0,1809904.0,1635000.0,2.11331302805,2.1135022509,2.1136582285500003,2.866332696,2.199189522668571,2.112822201,0.9438020875602615
1,cpu,cachekiller,399999,1860000.0,1860000.0,1873000.0,1886000.0,1839414.0,1648000.0,2.14502115175,2.1453162807,2.5501091145,2.55261569,2.3301384386142856,2.1445517513,1.0
1,cpu,cachekiller,599999,1873000.0,1886000.0,1898000.0,1923000.0,1873294.0,1673000.0,2.173463338075,2.2670279605,2.26891308375,2.275721984,2.2419752266575004,2.1724948003,0.9621639596618924
1,cpu,cachekiller,1199999,1948000.0,1960000.0,1973000.0,2036000.0,1950740.0,1760000.0,2.012198033,2.014711334,2.017128185,2.020039446,2.0145358382888885,2.009283742,0.8645562876886047
1,cpu,cacherate-0,299999,1635000.0,1648000.0,1648000.0,1673000.0,1642860.0,1635000.0,11.110915576,11.1109600195,11.1111348159,11.89004414,11.26677574044,11.1108241508,1.0
1,cpu,cacherate-0,399999,1648000.0,1660000.0,1661000.0,1698000.0,1659430.0,1648000.0,8.110660799725,8.1107235425,8.11077338475,8.895482052,8.18918297086,8.1106070284,0.7268435228959468
1,cpu,cacherate-0,599999,1673000.0,1685000.0,1686000.0,1748000.0,1684742.0,1673000.0,5.1087029133,5.1087778387,5.10880331425,5.912043005,5.162291751919999,5.1085224382,0.4581871398567836
1,cpu,cacherate-0,1199999,1773000.0,1773000.0,1785000.0,1911000.0,1777749.0,1748000.0,2.105174389125,2.1051896629,2.105215738925,2.1052438858,2.1051785358066666,2.1049910975,0.1868483570015971
1,cpu,cacherate-100,299999,1823000.0,1836000.0,1848000.0,1885000.0,1807259.0,1635000.0,2.1354781427,2.135610663,2.643752781,2.648334894,2.310114019148572,2.134380451,1.0
1,cpu,cacherate-100,399999,1860000.0,1860000.0,1873000.0,1886000.0,1837986.0,1648000.0,2.1649563528250004,2.3490419095,2.3510066135,2.363485993,2.28563462243,2.1646365072,0.9894033816012274
1,cpu,cacherate-100,599999,1873000.0,1886000.0,1898000.0,1985000.0,1871113.0,1673000.0,2.082443322,2.084863274,2.086383096,2.1916408993,2.0915212908422216,2.07591736,0.9053757838381864
1,cpu,cacherate-100,1199999,1948000.0,1960000.0,1973000.0,2023000.0,1949894.0,1773000.0,1.11557176315,1.11575974425,1.116009609225,1.845807048,1.18831139639,1.1152965539,0.5143951279201233
1,cpu,cacherate-20,299999,1723000.0,1735000.0,1736000.0,1761000.0,1726187.0,1635000.0,8.102005852975001,8.10218026635,8.102283547975,8.1023882542,8.10212052561,8.1015916946,1.0
1,cpu,cacherate-20,399999,1761000.0,1773000.0,1773000.0,1786000.0,1765183.0,1660000.0,6.124517695675001,6.12459559345,6.12470996865,6.756566737,6.25088966499,6.12401009,0.7715127965859749
1,cpu,cacherate-20,599999,1823000.0,1836000.0,1848000.0,1861000.0,1829711.0,1673000.0,4.1306360442,4.130848010599999,4.2707975751500005,4.695416233,4.271259480754999,4.1305088968,0.5271779736248025
1,cpu,cacherate-20,1199999,2010000.0,2011000.0,2023000.0,2061000.0,2005998.0,1773000.0,2.1259953187500003,2.1262509458,2.7368708655,2.744044708,2.301392547088571,2.1256653512,0.2840481747727768
1,cpu,cacherate-40,299999,1785000.0,1798000.0,1810000.0,1823000.0,1783465.0,1635000.0,4.173760603625,4.2636152085,4.26487361625,4.266870264,4.237217779349999,4.1733150618,1.0
1,cpu,cacherate-40,399999,1848000.0,1848000.0,1861000.0,1923000.0,1835400.0,1648000.0,3.17024978875,3.2993473315,3.30039671375,3.309399056,3.26140998618,3.1697921196,0.7697055369857126
1,cpu,cacherate-40,599999,1898000.0,1910000.0,1923000.0,1948000.0,1894273.0,1673000.0,2.12759960455,2.1280467232,2.4216028762,2.735546018,2.280774004245714,2.1271023788,0.5382716025031857
1,cpu,cacherate-40,1199999,1961000.0,1973000.0,1985000.0,2060000.0,1968036.0,1760000.0,2.161423103825,2.3843689345000003,2.38862007375,2.402800981,2.3028349338875005,2.1605476696,0.5434780683471884
1,cpu,cacherate-60,299999,1823000.0,1835000.0,1836000.0,1860000.0,1809369.0,1635000.0,3.038231182,3.0402313065,3.04231627225,3.195888404,3.045484317,3.033022391,1.0
1,cpu,cacherate-60,399999,1860000.0,1861000.0,1873000.0,1898000.0,1842462.0,1648000.0,2.12986553795,2.1301435407,2.696842586,2.705958582,2.293333313642857,2.1291597804,0.7530274580109936
1,cpu,cacherate-60,599999,1885000.0,1898000.0,1911000.0,1936000.0,1880230.0,1685000.0,2.16198580805,2.3734098145,2.37883890975,2.394613333,2.2921945818575,2.1608179216,0.7526535497367002
1,cpu,cacherate-60,1199999,1948000.0,1960000.0,1961000.0,2073000.0,1950861.0,1773000.0,2.121992863,2.12626058,2.131383932,2.1879508167,2.134620942866667,2.113357541,0.700913457656353
1,cpu,cacherate-80,299999,1810000.0,1835000.0,1836000.0,1860000.0,1804278.7212787208,1635000.0,2.12134795235,2.1214953926,2.4517838013,2.790965146,2.2924810600857146,2.1206753927,0.9859541103560966
1,cpu,cacherate-80,399999,1860000.0,1860000.0,1873000.0,1886000.0,1839538.0,1648000.0,2.151933175375,2.476040829,2.482072044,2.48735906,2.3251397159425,2.1515310456,1.0
1,cpu,cacherate-80,599999,1873000.0,1885000.0,1898000.0,1923000.0,1868133.0,1685000.0,2.194680616,2.197644593,2.200541242,2.205287476,2.195356720171111,2.179718068,0.9441827108790402
1,cpu,cacherate-80,1199999,1948000.0,1960000.0,1973000.0,2061000.0,1950701.0,1761000.0,1.1049959404749998,1.1053265963,1.1056730143750002,1.947421851,1.189431671908,1.1044015524,0.511552774120441
1,cpu,decrypt,299999,1635000.0,1648000.0,1648000.0,1661000.0,1645622.0,1635000.0,16.108171823,16.108279024,16.127263111,16.1895209195,16.1255116555,16.0943234,1.0
1,cpu,decrypt,399999,1648000.0,1660000.0,1673000.0,1686000.0,1660141.0,1648000.0,12.075650885,12.078688479,12.080632253,12.090704779,12.079689256799998,12.072769888,0.7491042464181238
1,cpu,decrypt,599999,1685000.0,1698000.0,1698000.0,1710000.0,1695606.0,1673000.0,7.3082447522,7.992077711,8.0897553205,8.1920437213,7.777913084210001,7.1104077341,0.4823358942261627
1,cpu,decrypt,1199999,1773000.0,1773000.0,1785000.0,1798000.0,1778573.0,1648000.0,3.1060905777,3.1063064192,3.933440809,4.1873940705,3.379697388368,3.1056454902,0.20958698617263857
1,cpu,encrypt,299999,1635000.0,1648000.0,1648000.0,1673000.0,1646125.0,1635000.0,16.047470228,16.05229365,16.056984599,16.075250295,16.055504117199998,16.045521814,1.0
1,cpu,encrypt,399999,1648000.0,1660000.0,1673000.0,1711000.0,1660118.0,1648000.0,12.042536707,12.047100232,12.048386191,12.057246327,12.0475323758,12.042392422,0.7503677422930418
1,cpu,encrypt,599999,1685000.0,1698000.0,1698000.0,1710000.0,1692255.0,1673000.0,7.112910534725,7.58362608925,8.06124126725,8.071158547,7.58723480987,7.1118925665,0.4725628516230717
