howmany,island,frequency,task,meas_power,meas_time,pred_power,pred_time,time_error,power_error
1,cpu,299999,cachekiller,1809904.0,0.9438020875602616,1748449.4110006762,1.8844268699348483,99.66335048125521,-3.3954612509461155
1,cpu,399999,cachekiller,1839414.0,1.0,1776747.63857868,1.826161618867279,82.6161618867279,-3.406865524635557
1,cpu,599999,cachekiller,1873294.0,0.9621639596618924,1798876.2392354123,1.7829808943301586,85.30946585826224,-3.9725617422885926
1,cpu,1199999,cachekiller,1950740.0,0.8645562876886047,1857798.6408086985,1.6030340905488636,85.41697207877381,-4.764415513666686
1,cpu,299999,cacherate-0,1642860.0,1.0,1645901.6707275803,1.026254779740994,2.6254779740993994,0.18514485273123213
1,cpu,399999,cacherate-0,1659430.0,0.7268435228959468,1663759.3280701754,0.7553576979213613,3.923014256466939,0.26089247935588533
1,cpu,599999,cacherate-0,1684742.0,0.4581871398567836,1691621.7372904092,0.4794693205063919,4.644866430834464,0.408355539922977
1,cpu,1199999,cacherate-0,1777749.0,0.1868483570015971,1781661.7292959627,0.2077328262038793,11.177229244838207,0.22009458567900883
1,cpu,299999,cacherate-100,1807259.0,1.0,1748430.4648893112,1.856557734164329,85.6557734164329,-3.255124755814677
1,cpu,399999,cacherate-100,1837986.0,0.9894033816012274,1776246.296010818,1.4492954589625775,46.481757179470264,-3.359095444099242
1,cpu,599999,cacherate-100,1871113.0,0.9053757838381864,1798932.4183618664,1.4697628323709282,62.33732540759143,-3.857628141011987
1,cpu,1199999,cacherate-100,1949894.0,0.5143951279201233,1858005.7931972789,1.4271382454376869,177.4400782542592,-4.712471898611983
1,cpu,299999,cacherate-20,1726187.0,1.0,1717481.7251267326,1.1494670558997055,14.946705589970556,-0.5043065944342875
1,cpu,399999,cacherate-20,1765183.0,0.7715127965859749,1756576.9986495136,0.8208500848900847,6.3948762123496135,-0.487541594865032
1,cpu,599999,cacherate-20,1829711.0,0.5271779736248025,1814730.3408163264,0.6528525238895048,23.83911251082468,-0.8187445549419313
1,cpu,1199999,cacherate-20,2005998.0,0.2840481747727768,1901889.4778797147,0.6187230611781821,117.82328355854679,-5.189861710743745
1,cpu,299999,cacherate-40,1783465.0,1.0,1755429.0597199004,1.2811295967217875,28.11295967217875,-1.5719927377380345
1,cpu,399999,cacherate-40,1835400.0,0.7697055369857126,1789235.2645052348,1.0480325148469174,36.16018912260613,-2.515241118816891
1,cpu,599999,cacherate-40,1894273.0,0.5382716025031857,1815397.3427609424,1.0455931595350727,94.2501062052376,-4.163901255999404
