frequency,power,task,island,voltage,time,howmany,time_rel
200000,103242.48245614037,encrypt,big,914956.1403508772,21.71666666666667,1,0.6105618293425801
300000,147790.79385964913,encrypt,big,914794.4078947369,14.37,1,0.4040110585258422
400000,189803.3245614035,encrypt,big,913873.355263158,10.726666666666668,1,0.3015791200037487
500000,231540.75877192983,encrypt,big,913678.7280701754,8.565,1,0.2408040860315823
600000,274863.0504385965,encrypt,big,912266.995614035,7.131666666666667,1,0.2005060681317651
700000,317122.49342105264,encrypt,big,912239.5833333334,6.105,1,0.1716414413570123
800000,369735.03728070174,encrypt,big,923903.5087719298,5.343333333333334,1,0.1502272620776908
900000,425211.25,encrypt,big,937974.2324561405,4.755,1,0.1336863314746263
1000000,497330.8728070175,encrypt,big,963251.096491228,4.278333333333333,1,0.1202848976149196
1100000,575006.3333333334,encrypt,big,988538.9254385964,3.89,1,0.10936694625369
1200000,663861.1118421053,encrypt,big,1013870.6140350878,3.5733333333333337,1,0.1004638957874514
1300000,757331.5219298246,encrypt,big,1039281.798245614,3.2966666666666664,1,0.0926854411695796
1400000,858518.2675438597,encrypt,big,1064994.5175438595,3.068333333333334,1,0.0862658732018181
1500000,970761.4846491228,encrypt,big,1090084.9780701755,2.8666666666666667,1,0.0805960357996345
1600000,1119620.2105263155,encrypt,big,1127908.4429824562,2.69,1,0.0756290708026802
1700000,1290131.298245614,encrypt,big,1166896.929824561,2.536,1,0.0712993767864673
1800000,1470503.6184210526,encrypt,big,1204936.951754386,2.3960000000000004,1,0.0673632913171829
1900000,1731344.9978070175,encrypt,big,1255896.3815789474,2.274,1,0.0639332739796635
2000000,2087504.4846491227,encrypt,big,1319416.1184210526,2.162,1,0.0607844056042359
