frequency,power,task,island,voltage,time,howmany,time_rel
200000,125574.17324561405,gzip-5,big,914893.0921052631,22.34166666666667,1,0.644254337482578
300000,177677.80263157896,gzip-5,big,914018.6403508772,14.781666666666666,1,0.4262507809871677
400000,232689.96271929823,gzip-5,big,913736.2938596492,11.060000000000002,1,0.318931128946989
500000,285762.5899122807,gzip-5,big,912524.6710526316,8.833333333333334,1,0.2547219685682703
600000,334904.74342105264,gzip-5,big,912192.9824561405,7.355,1,0.2120920843946748
700000,388180.9802631579,gzip-5,big,911570.7236842106,6.303333333333334,1,0.1817657519104147
800000,453941.3837719298,gzip-5,big,923275.7675438595,5.511666666666666,1,0.1589368962368433
900000,529604.2412280702,gzip-5,big,939520.2850877192,4.903333333333333,1,0.1413947229297832
1000000,615605.629385965,gzip-5,big,963881.5789473684,4.411666666666666,1,0.1272168020377757
1100000,718600.0350877193,gzip-5,big,988854.1666666666,4.013333333333333,1,0.1157302830778103
1200000,822772.9890350878,gzip-5,big,1014424.3421052631,3.68,1,0.1061181333205171
1300000,945246.2894736842,gzip-5,big,1040405.701754386,3.4,1,0.0980439275243908
1400000,1065038.3311403508,gzip-5,big,1065427.6315789474,3.161666666666666,1,0.0911712404479261
1500000,1208638.8969298245,gzip-5,big,1091151.3157894737,2.955,1,0.0852117075984043
1600000,1392717.320175439,gzip-5,big,1129498.355263158,2.77,1,0.0798769644831066
1700000,1597201.089912281,gzip-5,big,1168007.1271929825,2.61,1,0.0752631325996058
1800000,1827558.629385965,gzip-5,big,1206277.4122807018,2.47,1,0.0712260297015427
1900000,2138014.1359649124,gzip-5,big,1256696.820175439,2.34,1,0.0674772912961984
2000000,2589461.114035088,gzip-5,big,1321066.3377192982,2.228,1,0.0642476089777478
