frequency,power,task,island,voltage,time,howmany,time_rel
200000,19960.291666666668,cachekiller,little,917700.1096491228,6.263333333333333,1,1.0
300000,25612.513157894737,cachekiller,little,917541.1184210526,4.845,1,0.7735497605109101
400000,30810.06798245614,cachekiller,little,917502.7412280702,4.346666666666667,1,0.6939861628525812
500000,35374.96929824561,cachekiller,little,917502.7412280702,3.911666666666667,1,0.6245343267695584
600000,43895.14254385965,cachekiller,little,954783.4429824562,3.806666666666666,1,0.6077700904736562
700000,53383.30263157895,cachekiller,little,991696.8201754388,3.61,1,0.5763704097924428
800000,62739.021929824565,cachekiller,little,1028739.0350877192,3.321666666666667,1,0.5303352847259182
900000,74618.29605263157,cachekiller,little,1066011.5131578948,3.308333333333333,1,0.5282064928153273
1000000,89047.0197368421,cachekiller,little,1102502.74122807,3.208333333333333,1,0.5122405534858967
1100000,103716.35087719298,cachekiller,little,1139462.7192982456,3.1833333333333336,1,0.5082490686535392
1200000,119637.76315789472,cachekiller,little,1176258.2236842106,3.0849999999999995,1,0.4925492283129323
1300000,142260.79605263157,cachekiller,little,1225836.0745614036,3.0116666666666667,1,0.4808408728046834
1400000,165245.20175438595,cachekiller,little,1274429.8245614036,3.09,1,0.4933475252794039
1500000,190212.75657894736,cachekiller,little,1311126.644736842,3.035,1,0.4845662586482172
