howmany,island,task,frequency,power_25%,power_50%,power_75%,power_max,power_mean,power_min,time_25%,time_50%,time_75%,time_max,time_mean,time_min,time_rel,voltage_25%,voltage_50%,voltage_75%,voltage_max,voltage_mean,voltage_min
1,little,cacherate-20,200000,25676.0,25676.0,25676.0,29344.0,25223.63596491228,9170.0,17.89,17.895,17.9075,18.1,17.930000000000003,17.89,1.0,917500.0,917500.0,917500.0,918750.0,917505.4824561405,917500.0
1,little,cacherate-20,300000,34846.0,34846.0,34846.0,35763.0,34566.50219298246,11016.0,11.9725,11.98,11.9875,12.08,11.993333333333334,11.96,0.668897564603086,917500.0,917500.0,917500.0,918750.0,917502.7412280702,917500.0
1,little,cacherate-20,400000,43099.0,43099.0,43099.0,44933.0,42736.04385964912,17423.0,9.195,9.345,9.51,9.56,9.343333333333334,9.1,0.5211005763153002,917500.0,917500.0,917500.0,918750.0,917527.4122807018,917500.0
1,little,cacherate-20,500000,48601.0,48601.0,48654.0,48654.0,48227.883771929824,16506.0,7.31,7.32,7.3975,7.64,7.385000000000001,7.3,0.4118795315114333,917500.0,917500.0,918750.0,918750.0,918045.504385965,917500.0
1,little,cacherate-20,600000,60039.0,60039.0,60165.0,61945.0,59607.25219298246,21965.0,6.34,6.35,6.3825,6.4,6.359999999999999,6.33,0.3547127718906859,953750.0,953750.0,955000.0,955000.0,954180.3728070176,953750.0
1,little,cacherate-20,700000,70361.0,70361.0,70361.0,75316.0,70019.96710526316,26757.0,5.862500000000001,5.875,5.88,5.91,5.843333333333333,5.66,0.3258970068786019,991250.0,991250.0,991250.0,992500.0,991255.4824561405,991250.0
1,little,cacherate-20,800000,82160.0,82240.0,83187.0,83268.0,81803.15570175438,32896.0,5.1,5.125,5.2175,5.28,5.153333333333333,5.05,0.2874140174753671,1027500.0,1028750.0,1028750.0,1028750.0,1028231.9078947369,1027500.0
1,little,cacherate-20,900000,95850.0,95850.0,95940.0,97006.0,95424.89254385963,40508.0,4.8975,4.955,4.967499999999999,5.01,4.930000000000001,4.81,0.2749581706636921,1065000.0,1065000.0,1065000.0,1066250.0,1065230.2631578948,1065000.0
1,little,cacherate-20,1000000,111302.0,112302.0,112404.0,120009.0,111236.18201754386,47386.0,4.7725,4.8100000000000005,4.8775,4.92,4.826666666666667,4.76,0.2691950176612753,1101250.0,1102500.0,1102500.0,1103750.0,1101899.6710526317,1101250.0
1,little,cacherate-20,1100000,129732.0,129732.0,130870.0,132008.0,129429.9605263158,59280.0,4.6775,4.78,4.8675,4.87,4.766666666666667,4.63,0.2658486707566461,1138750.0,1138750.0,1138750.0,1140000.0,1138769.1885964912,1138750.0
1,little,cacherate-20,1200000,149352.0,149352.0,149352.0,150528.0,148573.5197368421,65856.0,4.512499999999999,4.525,4.5600000000000005,4.61,4.54,4.5,0.2532069157836029,1176250.0,1176250.0,1176250.0,1176250.0,1176228.070175439,1175000.0
1,little,cacherate-20,1300000,171500.0,171500.0,173950.0,176400.0,171599.88596491228,79690.0,4.325,4.41,4.45,4.56,4.403333333333333,4.28,0.2455846811675032,1225000.0,1225000.0,1225000.0,1226250.0,1225008.2236842106,1225000.0
1,little,cacherate-20,1400000,199861.0,199861.0,201134.0,202407.0,199499.1864035088,116025.0,4.275,4.359999999999999,4.43,4.44,4.351666666666667,4.25,0.2427031046662948,1273750.0,1273750.0,1273750.0,1275000.0,1273791.1184210526,1273750.0
1,little,cacherate-20,1500000,228114.0,229250.0,229425.0,230736.0,228000.4978070176,110208.0,4.26,4.29,4.29,4.33,4.281666666666666,4.24,0.2387990332775608,1310000.0,1310000.0,1311250.0,1312500.0,1310389.254385965,1308750.0
