frequency,power,task,island,voltage,time,howmany,time_rel
200000,23883.486842105263,gzip-5,little,917560.3070175438,34.678333333333335,1,1.0
300000,34620.80043859649,gzip-5,little,917502.7412280702,22.896666666666665,1,0.6602585668284711
400000,44690.4649122807,gzip-5,little,918297.697368421,17.11333333333333,1,0.4934877685394337
500000,54247.01535087719,gzip-5,little,917483.552631579,13.651666666666666,1,0.3936655933099437
600000,70659.51535087719,gzip-5,little,953983.004385965,11.413333333333334,1,0.3291200076897198
700000,88188.25438596492,gzip-5,little,991255.4824561405,9.766666666666667,1,0.2816359878886913
800000,108563.74122807015,gzip-5,little,1027574.0131578948,8.581666666666667,1,0.2474647955015139
900000,131062.9100877193,gzip-5,little,1065005.4824561405,7.659999999999999,1,0.2208872014225981
1000000,155469.1600877193,gzip-5,little,1101271.929824561,6.971666666666667,1,0.2010381121737876
1100000,183934.9802631579,gzip-5,little,1138374.451754386,6.3183333333333325,1,0.1821982986494929
1200000,214175.5679824561,gzip-5,little,1174991.7763157894,5.7683333333333335,1,0.1663382515499591
1300000,254962.1798245614,gzip-5,little,1223763.7061403508,5.384999999999999,1,0.1552842793290719
1400000,298564.9495614035,gzip-5,little,1272108.004385965,4.988333333333333,1,0.143845821117893
1500000,335868.0899122807,gzip-5,little,1297554.8245614036,4.681666666666667,1,0.1350026433411832
