frequency,power,task,island,voltage,time,howmany,time_rel
200000,119000.79166666669,cacherate-0,big,914925.9868421052,20.23166666666667,2,0.8146979865771815
300000,166353.91666666666,cacherate-0,big,914015.899122807,13.406666666666666,2,0.5398657718120806
400000,217540.4188596492,cacherate-0,big,913695.1754385964,10.026666666666667,2,0.403758389261745
500000,268657.03728070174,cacherate-0,big,912905.701754386,8.0125,2,0.3226510067114094
600000,316238.38377192983,cacherate-0,big,912497.2587719298,6.670833333333333,2,0.2686241610738256
700000,363621.2061403509,cacherate-0,big,911584.4298245612,5.7125,2,0.2300335570469799
800000,414122.2083333333,cacherate-0,big,912949.5614035088,4.994166666666668,2,0.2011073825503356
900000,492779.0504385965,cacherate-0,big,938264.802631579,4.4366666666666665,2,0.1786577181208054
1000000,576887.649122807,cacherate-0,big,963522.4780701754,3.990833333333334,2,0.1607046979865772
1100000,672183.4210526316,cacherate-0,big,988771.9298245612,3.629166666666668,2,0.1461409395973155
1200000,768715.7214912281,cacherate-0,big,1014232.4561403508,3.3208333333333333,2,0.1337248322147651
1300000,880374.4210526316,cacherate-0,big,1039709.4298245612,3.07,2,0.1236241610738255
1400000,998069.4692982456,cacherate-0,big,1064912.2807017544,2.85,2,0.1147651006711409
1500000,1127069.600877193,cacherate-0,big,1090435.855263158,2.66,2,0.1071140939597315
1600000,1296089.649122807,cacherate-0,big,1128799.3421052631,2.4900000000000007,2,0.1002684563758389
1700000,1494161.2609649124,cacherate-0,big,1166921.600877193,2.346,2,0.0944697986577181
1800000,1712092.24122807,cacherate-0,big,1205723.6842105263,2.212,2,0.0890738255033557
1900000,2001542.460526316,cacherate-0,big,1256419.9561403508,2.099,2,0.0845234899328859
2000000,2418164.024122807,cacherate-0,big,1320786.7324561405,1.99,2,0.0801342281879194
