frequency,power,task,island,voltage,time,howmany,time_rel
200000,249212.21271929823,decrypt,big,912850.8771929824,21.41333333333333,3,0.5976091911251684
300000,367489.11842105264,decrypt,big,911757.1271929824,14.146111111111107,3,0.3947935562894397
400000,484707.9627192983,decrypt,big,911170.504385965,10.570555555555556,3,0.2950059692698885
500000,596549.3421052631,decrypt,big,905213.8157894736,8.450000000000001,3,0.2358249220893995
600000,706593.4342105263,decrypt,big,901543.3114035088,7.042222222222223,3,0.1965362730049459
700000,823023.3969298246,decrypt,big,902160.0877192982,6.029999999999999,3,0.1682868970649797
800000,965831.3486842106,decrypt,big,915235.745614035,5.283888888888888,3,0.1474642231421616
900000,1155783.1842105263,decrypt,big,941258.2236842106,4.6994444444444445,3,0.1311533869792393
1000000,1354876.7346491227,decrypt,big,966770.8333333334,4.230555555555556,3,0.1180675070158302
1100000,1576192.6140350876,decrypt,big,992639.802631579,3.852222222222222,3,0.1075088763818472
1200000,1813615.4868421047,decrypt,big,1019720.394736842,3.5361111111111114,3,0.0986867606245251
1300000,2077754.3026315789,decrypt,big,1045433.1140350878,3.268333333333333,3,0.0912135448160379
1400000,2358303.1951754387,decrypt,big,1071609.100877193,3.037777777777778,3,0.0847791370141246
1500000,2679932.6557017546,decrypt,big,1098122.25877193,2.84,3,0.079259500441881
1600000,3079166.789473684,decrypt,big,1136639.254385965,2.6633333333333336,3,0.074329038559933
1700000,3547159.8684210526,decrypt,big,1176063.596491228,2.53,3,0.0706079352528024
1800000,4070233.528508772,decrypt,big,1216110.1973684211,2.3926666666666665,3,0.0667751988464579
1900000,4805921.206140351,decrypt,big,1268179.8245614036,2.272666666666667,3,0.0634262058700404
2000000,5882789.813596491,decrypt,big,1334821.820175439,2.159333333333333,3,0.0602632680589794
