howmany,island,task,frequency,power_25%,power_50%,power_75%,power_max,power_mean,power_min,time_25%,time_50%,time_75%,time_max,time_mean,time_min,time_rel,voltage_25%,voltage_50%,voltage_75%,voltage_max,voltage_mean,voltage_min
3,big,encrypt,200000,247152.0,248064.0,248336.0,261744.0,247718.65131578947,161040.0,21.68,21.715,21.7575,21.81,21.72111111111112,21.65,0.6106867844368432,912500.0,912500.0,912500.0,915000.0,912807.0175438595,912500.0
3,big,encrypt,300000,362578.0,362976.0,363888.0,391730.0,362601.3837719298,191730.0,14.3225,14.335,14.3575,14.42,14.341666666666669,14.3,0.4032144697999157,911250.0,912500.0,912500.0,913750.0,912105.2631578948,911250.0
3,big,encrypt,400000,478143.75,479186.0,480097.0,488296.0,477790.0043859649,255640.0,10.7,10.715,10.7375,10.78,10.719444444444443,10.69,0.3013760679755712,911250.0,911250.0,911250.0,913750.0,911206.1403508772,910000.0
3,big,encrypt,500000,590590.0,591500.0,592410.0,612680.0,588912.302631579,159775.0,8.5525,8.56,8.57,8.64,8.571666666666667,8.55,0.2409915186729769,910000.0,910000.0,910000.0,913750.0,909857.4561403508,900000.0
3,big,encrypt,600000,689265.0,690166.0,693770.0,710889.0,689870.2521929825,412230.0,7.13,7.135,7.1475,7.22,7.147777777777778,7.12,0.2009590303484685,901250.0,901250.0,901250.0,910000.0,901455.5921052631,901250.0
3,big,encrypt,700000,797385.0,799187.0,800989.0,816306.0,798123.4780701754,419510.0,6.11,6.11,6.1175,6.16,6.116666666666666,6.1,0.1719694484794526,901250.0,901250.0,901250.0,910000.0,901559.7587719298,901250.0
3,big,encrypt,800000,938790.0,940620.0,945195.0,958920.0,937742.7368421052,378020.0,5.34,5.35,5.3575,5.39,5.351666666666667,5.33,0.1504615528794339,915000.0,915000.0,915000.0,922500.0,915101.4254385964,915000.0
3,big,encrypt,900000,1115780.0,1120480.0,1123554.0,1133905.0,1114239.5416666667,261250.0,4.75,4.755,4.76,4.81,4.762222222222223,4.74,0.1338893835028037,940000.0,940000.0,941250.0,950000.0,940611.2938596492,940000.0
3,big,encrypt,1000000,1313760.0,1316658.0,1318590.0,1353366.0,1312820.850877193,454391.0,4.28,4.28,4.29,4.34,4.29,4.27,0.12061290473736,966250.0,966250.0,967500.0,973750.0,966710.5263157894,966250.0
3,big,encrypt,1100000,1523712.0,1527680.0,1535616.0,1552480.0,1524654.5394736845,527880.0,3.9,3.9,3.91,3.95,3.9083333333333337,3.89,0.1098823860175249,992500.0,992500.0,992500.0,996250.0,992513.7061403508,992500.0
3,big,encrypt,1200000,1755032.0,1761140.0,1765772.5,1787040.0,1755313.504385965,874997.0,3.57,3.58,3.5875,3.65,3.5877777777777777,3.57,0.1008699998438061,1018750.0,1018750.0,1018750.0,1021250.0,1018919.9561403508,1017500.0
3,big,encrypt,1300000,2009535.0,2014760.0,2021030.0,2106644.0,2009386.2236842103,1097254.0,3.3,3.31,3.3175,3.36,3.3149999999999995,3.3,0.0932008809334145,1045000.0,1045000.0,1045000.0,1046250.0,1045057.5657894736,1043750.0
3,big,encrypt,1400000,2276956.5,2285514.0,2294082.0,2313360.0,2275330.51754386,866439.0,3.07,3.08,3.0875,3.11,3.082222222222222,3.07,0.0866563578713899,1071250.0,1071250.0,1071250.0,1072500.0,1071181.4692982456,1070000.0
3,big,encrypt,1500000,2574659.0,2582338.0,2593308.0,2627315.0,2576840.254385965,1720245.0,2.87,2.87,2.88,2.94,2.881666666666666,2.86,0.0810177592427721,1097500.0,1097500.0,1097500.0,1097500.0,1097384.8684210526,1095000.0
3,big,encrypt,1600000,2975184.0,2986544.0,2997904.0,3058112.0,2974922.589912281,1146350.0,2.69,2.7,2.7,2.78,2.7094444444444443,2.69,0.0761757493400809,1136250.0,1136250.0,1136250.0,1137500.0,1136250.0,1135000.0
3,big,encrypt,1700000,3419095.5,3437448.0,3451560.0,3510360.0,3419306.4122807016,694403.0,2.53,2.53,2.54,2.55,2.535333333333333,2.52,0.0712806335223279,1175000.0,1176250.0,1176250.0,1176250.0,1175896.3815789474,1171250.0
3,big,encrypt,1800000,3922020.0,3947943.5,3969024.0,4037120.0,3934658.789473684,3062619.0,2.39,2.4,2.405,2.43,2.401333333333333,2.39,0.0675132374302984,1215000.0,1216250.0,1216250.0,1216250.0,1215762.0614035088,1211250.0
3,big,encrypt,1900000,4622966.25,4660026.0,4682751.0,4743648.0,4639573.844298245,3910115.0,2.27,2.28,2.285,2.3,2.278,2.26,0.0640457335645002,1267500.0,1267500.0,1267500.0,1268750.0,1267494.5175438595,1263750.0
3,big,encrypt,2000000,5627592.75,5711517.5,5753850.0,5857980.0,5678041.313596491,4147344.0,2.15,2.16,2.17,2.18,2.1606666666666663,2.15,0.060746919075957,1333750.0,1333750.0,1335000.0,1335000.0,1334120.0657894737,1328750.0
