frequency,power,task,island,voltage,time,howmany,time_rel
200000,265461.00877192983,hash,big,912678.1798245612,21.348888888888887,3,0.567336935660082
300000,388387.875,hash,big,911474.7807017544,14.216111111111111,3,0.3777866359583074
400000,511706.3399122807,hash,big,910748.355263158,10.600555555555555,3,0.2817049044792866
500000,629770.2039473684,hash,big,907900.2192982456,8.478333333333333,3,0.2253078217734077
600000,736480.1140350878,hash,big,901998.355263158,7.073333333333333,3,0.1879705908406413
700000,855018.423245614,hash,big,902510.9649122808,6.082222222222222,3,0.1616322673989429
800000,1003707.826754386,hash,big,915688.048245614,5.326666666666666,3,0.1415537248649127
900000,1187174.2127192982,hash,big,941252.7412280702,4.8,3,0.1275577996279564
1000000,1393475.8684210526,hash,big,966907.894736842,4.326666666666666,3,0.1149791832757551
1100000,1613347.504385965,hash,big,993171.600877193,3.9766666666666666,3,0.1056780937195499
1200000,1857459.644736842,hash,big,1019539.4736842106,3.655555555555555,3,0.0971447131425871
1300000,2123675.6447368423,hash,big,1046016.995614035,3.3966666666666665,3,0.0902648595978385
1400000,2408671.5416666665,hash,big,1072171.0526315789,3.163888888888889,3,0.0840788968612513
1500000,2711147.3684210526,hash,big,1098347.0394736845,2.9672222222222224,3,0.078852570348717
1600000,3125750.1798245613,hash,big,1137075.1096491227,2.787777777777778,3,0.0740839164968848
1700000,3590305.449561404,hash,big,1176376.096491228,2.6286666666666667,3,0.0698556116573655
1800000,4109128.528508772,hash,big,1216129.3859649124,2.4986666666666664,3,0.066400921250775
1900000,4846859.60745614,hash,big,1268582.785087719,2.374666666666667,3,0.0631056780937195
2000000,5929859.368421053,hash,big,1334983.5526315789,2.27,3,0.0603242094073877
