frequency,power,task,island,voltage,time,howmany,time_rel
200000,52066.366228070176,decrypt,little,917510.9649122808,35.77666666666667,3,0.9984650448858088
300000,76428.29166666667,decrypt,little,916743.4210526316,23.709444444444443,3,0.6616896909933795
400000,100195.10745614037,decrypt,little,916315.7894736842,17.820555555555558,3,0.497340961595113
500000,123040.04824561405,decrypt,little,916058.1140350878,14.168333333333331,3,0.3954137401739614
600000,159534.4298245614,decrypt,little,952467.105263158,11.815555555555555,3,0.3297517714002201
700000,201221.2850877193,decrypt,little,988651.3157894736,10.112777777777778,3,0.2822301812487402
800000,246232.98684210525,decrypt,little,1025016.447368421,8.858333333333334,3,0.2472208009674868
900000,290021.5964912281,decrypt,little,1046981.9078947369,7.881111111111112,3,0.2199482146456424
1000000,344372.4407894737,decrypt,little,1082480.8114035088,7.104444444444445,3,0.1982727878816068
1100000,406442.5657894737,decrypt,little,1118862.3903508773,6.469444444444445,3,0.1805510333813975
1200000,474791.9714912281,decrypt,little,1155030.153508772,5.941666666666666,3,0.1658216661240057
1300000,561540.120614035,decrypt,little,1203824.0131578948,5.495555555555556,3,0.1533714746422314
1400000,659747.3969298246,decrypt,little,1252552.0833333333,5.1000000000000005,3,0.1423322014977441
1500000,751995.6666666666,decrypt,little,1288837.7192982456,4.777777777777779,3,0.1333395351721785
