howmany,island,task,frequency,power_25%,power_50%,power_75%,power_max,power_mean,power_min,time_25%,time_50%,time_75%,time_max,time_mean,time_min,time_rel,voltage_25%,voltage_50%,voltage_75%,voltage_max,voltage_mean,voltage_min
3,little,encrypt,200000,52269.0,52269.0,52269.0,52326.0,51817.25657894737,23842.0,35.412499999999994,35.48,35.5175,35.77,35.49999999999999,35.37,0.998078815425706,917500.0,917500.0,917500.0,918750.0,917516.447368421,917500.0
3,little,encrypt,300000,76028.0,76111.0,76111.0,77028.0,75783.60087719298,33012.0,23.4525,23.505000000000003,23.5475,23.68,23.512222222222224,23.43,0.6610436874248318,916250.0,917500.0,917500.0,917500.0,917020.2850877192,916250.0
3,little,encrypt,400000,99844.0,100760.0,100760.0,100870.0,99521.37280701754,26593.0,17.56,17.585,17.67,17.78,17.623333333333335,17.55,0.4954781875263577,916250.0,916250.0,916250.0,917500.0,916266.447368421,916250.0
3,little,encrypt,500000,123660.0,123660.0,124576.0,125492.0,123005.9298245614,53186.0,14.01,14.02,14.04,14.1,14.03222222222222,14.0,0.3945144713618542,916250.0,916250.0,916250.0,917500.0,916206.1403508772,915000.0
3,little,encrypt,600000,159936.0,159936.0,160888.0,161840.0,159276.7894736842,49556.0,11.6725,11.685,11.7575,11.79,11.712777777777776,11.66,0.3293035315433515,951250.0,952500.0,952500.0,953750.0,952182.0175438595,951250.0
3,little,encrypt,700000,201552.0,201552.0,202540.0,203322.0,200687.75877192983,95040.0,10.0,10.01,10.0475,10.11,10.03111111111111,10.0,0.2820236477515892,988750.0,988750.0,988750.0,990000.0,988670.504385965,987500.0
3,little,encrypt,800000,247025.0,248050.0,248050.0,249075.0,245939.29166666663,44204.0,8.76,8.765,8.83,8.86,8.789444444444445,8.75,0.2471143182918638,1025000.0,1025000.0,1025000.0,1028750.0,1025021.9298245612,1025000.0
3,little,encrypt,900000,289742.0,290788.0,291066.0,293160.0,288546.21710526315,40508.0,7.78,7.785,7.8,7.85,7.797222222222222,7.78,0.2192180934976492,1046250.0,1046250.0,1046250.0,1066250.0,1046633.7719298246,1045000.0
3,little,encrypt,1000000,345920.0,346240.0,346240.0,348404.0,343715.4802631579,129800.0,7.01,7.025,7.05,7.11,7.038333333333334,7.01,0.1978820111522421,1082500.0,1082500.0,1082500.0,1100000.0,1082557.5657894737,1081250.0
3,little,encrypt,1100000,406952.0,408070.0,409188.0,411424.0,405146.9846491228,86640.0,6.38,6.39,6.3975,6.45,6.398333333333333,6.38,0.1798884775783702,1118750.0,1118750.0,1118750.0,1140000.0,1118843.201754386,1117500.0
3,little,encrypt,1200000,475860.0,477015.0,478170.0,480480.0,473439.5043859649,214912.0,5.85,5.86,5.86,5.93,5.8677777777777775,5.85,0.1649719632007247,1155000.0,1155000.0,1155000.0,1168750.0,1155109.649122807,1155000.0
3,little,encrypt,1300000,564207.0,565410.0,565410.0,567816.0,560752.7894736842,173382.0,5.41,5.42,5.4275,5.5,5.431666666666667,5.41,0.1527107445761679,1203750.0,1203750.0,1203750.0,1221250.0,1203851.4254385964,1202500.0
3,little,encrypt,1400000,661056.0,663560.0,664812.0,667316.0,658318.6315789474,127200.0,5.03,5.04,5.04,5.12,5.050000000000001,5.03,0.1419802258563328,1252500.0,1252500.0,1252500.0,1272500.0,1252598.6842105263,1252500.0
3,little,encrypt,1500000,756056.0,758632.0,759920.0,763784.0,750498.2872807018,128478.0,4.7,4.705,4.71,4.79,4.718333333333334,4.7,0.1326554519469565,1288750.0,1288750.0,1288750.0,1311250.0,1288878.8377192982,1288750.0
