howmany,island,task,frequency,power_25%,power_50%,power_75%,power_max,power_mean,power_min,time_25%,time_50%,time_75%,time_max,time_mean,time_min,time_rel,voltage_25%,voltage_50%,voltage_75%,voltage_max,voltage_mean,voltage_min
3,little,gzip-1,200000,50435.0,50435.0,50435.0,51408.0,50439.429824561405,24759.0,33.3375,33.47,33.57,33.75,33.48055555555556,33.31,1.0550595238095242,917500.0,917500.0,917500.0,918750.0,917554.8245614036,917500.0
3,little,gzip-1,300000,71448.0,71526.0,71526.0,72443.0,71274.74780701754,16524.0,22.62,22.655,22.855,23.22,22.76222222222222,22.55,0.717296918767507,916250.0,916250.0,917500.0,918750.0,916795.504385965,916250.0
3,little,gzip-1,400000,88852.0,89768.0,90684.0,91700.0,89169.40570175438,35763.0,17.1675,17.25,17.365,17.47,17.267222222222223,17.12,0.5441351540616247,916250.0,916250.0,916250.0,917500.0,916332.2368421052,916250.0
3,little,gzip-1,500000,104424.0,109004.0,109920.0,112668.0,105278.05263157896,20174.0,13.945,13.99,14.055,14.13,14.005,13.91,0.4413340336134454,916250.0,916250.0,916250.0,917500.0,916258.2236842106,915000.0
3,little,gzip-1,600000,137088.0,138992.0,139944.0,144704.0,137978.75877192983,43930.0,11.87,11.89,11.925,12.01,11.893333333333334,11.8,0.3747899159663866,952500.0,952500.0,952500.0,955000.0,952554.8245614036,952500.0
3,little,gzip-1,700000,148500.0,165657.0,168948.0,171270.0,159355.08333333334,43604.0,10.2825,10.325,10.38,10.47,10.341666666666663,10.27,0.325892857142857,988750.0,988750.0,990000.0,991250.0,989139.254385965,988750.0
3,little,gzip-1,800000,190836.0,198018.0,202122.0,211356.0,196314.8201754386,64764.0,9.1925,9.25,9.3475,9.49,9.27777777777778,9.17,0.2923669467787116,1026250.0,1026250.0,1026250.0,1028750.0,1026214.3640350878,1025000.0
3,little,gzip-1,900000,226206.0,232578.0,241908.0,250632.0,229036.5745614035,67095.0,8.36,8.385000000000002,8.44,8.51,8.395555555555553,8.27,0.2645658263305321,1062500.0,1062500.0,1062500.0,1065000.0,1062436.951754386,1060000.0
3,little,gzip-1,1000000,262980.0,271783.5,278460.0,289940.0,267397.8333333333,66120.0,7.6525,7.69,7.74,7.78,7.690555555555556,7.6,0.2423494397759104,1091250.0,1092500.0,1095000.0,1102500.0,1093256.5789473683,1087500.0
3,little,gzip-1,1100000,308275.0,311360.0,320320.0,328160.0,305343.2543859649,59332.0,7.0525,7.085,7.195,7.36,7.127777777777778,7.0,0.2246148459383753,1120000.0,1121250.0,1121250.0,1141250.0,1121274.6710526317,1120000.0
3,little,gzip-1,1200000,359516.0,364140.0,368764.0,376856.0,361987.13157894736,80036.0,6.655,6.6850000000000005,6.737500000000001,6.98,6.698888888888888,6.52,0.2110994397759103,1156250.0,1156250.0,1156250.0,1177500.0,1156373.355263158,1155000.0
3,little,gzip-1,1300000,410905.0,420545.0,424160.0,439825.0,411837.65789473685,120050.0,6.155,6.21,6.22,6.26,6.194444444444445,6.12,0.195203081232493,1205000.0,1205000.0,1205000.0,1225000.0,1205222.0394736845,1205000.0
3,little,gzip-1,1400000,458598.0,472381.0,492429.0,509971.0,461154.6271929825,100725.0,5.842499999999999,5.89,5.95,6.0,5.898888888888889,5.82,0.1858893557422969,1253750.0,1253750.0,1253750.0,1275000.0,1254136.5131578948,1253750.0
3,little,gzip-1,1500000,541800.0,548250.0,553410.0,572760.0,547058.8640350878,247570.0,5.565,5.6,5.69,5.98,5.642222222222222,5.54,0.1778011204481792,1290000.0,1290000.0,1290000.0,1303750.0,1290120.6140350876,1290000.0
