frequency,power,task,island,voltage,time,howmany,time_rel
200000,9283.372807017544,idle,little,918089.3640350878,2.0116666666666663,3,1.0008291873963515
300000,11633.945175438595,idle,little,918152.4122807018,2.008333333333333,3,0.9991708126036484
400000,14630.315789473683,idle,little,917543.8596491228,2.001666666666667,3,0.9958540630182424
500000,17364.179824561405,idle,little,917601.4254385964,2.0,3,0.9950248756218908
600000,21845.197368421053,idle,little,954931.4692982456,2.0,3,0.9950248756218908
700000,27344.31140350877,idle,little,991274.6710526316,2.0,3,0.9950248756218908
800000,33421.80043859649,idle,little,1028511.5131578948,2.0,3,0.9950248756218908
900000,40206.50657894737,idle,little,1065789.4736842106,2.0,3,0.9950248756218908
1000000,47861.55921052631,idle,little,1103667.7631578948,2.0,3,0.9950248756218908
1100000,56187.5,idle,little,1140000.0,2.0,3,0.9950248756218908
1200000,65495.05701754386,idle,little,1176543.3114035088,2.0,3,0.9950248756218908
1300000,79197.84210526316,idle,little,1226247.25877193,2.0,3,0.9950248756218908
1400000,94201.75219298246,idle,little,1275046.600877193,2.0,3,0.9950248756218908
1500000,109194.7149122807,idle,little,1312105.2631578948,2.0,3,0.9950248756218908
