howmany,island,task,frequency,power_25%,power_50%,power_75%,power_max,power_mean,power_min,time_25%,time_50%,time_75%,time_max,time_mean,time_min,time_rel,voltage_25%,voltage_50%,voltage_75%,voltage_max,voltage_mean,voltage_min
4,big,cachekiller,200000,222772.0,222772.0,223685.0,230076.0,223220.15131578947,187165.0,11.95,12.03,12.105,12.2,11.98708333333333,11.6,1.9138504523682809,913750.0,913750.0,913750.0,913750.0,913645.8333333334,912500.0
4,big,cachekiller,300000,315552.0,315552.0,315552.0,323760.0,315567.32236842107,217294.0,8.5525,8.635000000000002,8.6625,8.75,8.595,8.39,1.3722724853645558,912500.0,912500.0,912500.0,913750.0,912447.9166666666,911250.0
4,big,cachekiller,400000,399456.0,399929.0,401280.0,409488.0,399810.2543859649,212729.0,7.035,7.08,7.11,7.14,7.060833333333332,6.92,1.1273283661522084,911250.0,912500.0,912500.0,913750.0,912154.605263158,911250.0
4,big,cachekiller,500000,480097.0,481008.0,481008.0,491029.0,480633.7587719298,373920.0,6.215,6.24,6.2725,6.31,6.232083333333333,6.11,0.995010643959553,911250.0,911250.0,911250.0,912500.0,911277.4122807018,910000.0
4,big,cachekiller,600000,554799.0,556621.0,557532.0,567553.0,556064.6951754387,262031.0,5.74,5.795,5.8125,5.83,5.777916666666667,5.68,0.922498669505056,911250.0,911250.0,911250.0,913750.0,911165.0219298246,910000.0
4,big,cachekiller,700000,615383.0,615383.0,617185.0,637910.0,617083.8201754387,478275.0,5.4625,5.5,5.51,5.52,5.482083333333333,5.42,0.8752660989888238,901250.0,901250.0,901250.0,911250.0,902072.3684210526,901250.0
4,big,cachekiller,800000,705749.0,706662.0,707575.0,719190.0,707405.504385965,682924.0,5.24,5.26,5.285,5.32,5.260833333333333,5.18,0.8399414582224588,913750.0,913750.0,913750.0,915000.0,913865.1315789474,913750.0
4,big,cachekiller,900000,828140.0,829080.0,830020.0,843180.0,830219.6140350878,808400.0,5.1,5.13,5.16,5.17,5.1258333333333335,5.05,0.8183874401277276,940000.0,940000.0,940000.0,940000.0,939868.4210526316,938750.0
4,big,cachekiller,1000000,960175.0,961140.0,962105.0,976626.0,961274.120614035,862710.0,4.99,5.015,5.03,5.06,5.007916666666667,4.95,0.7995609366684407,965000.0,965000.0,965000.0,966250.0,965038.3771929824,963750.0
4,big,cachekiller,1100000,1101992.0,1103974.0,1104965.0,1119830.0,1102827.195175439,841500.0,4.92,4.94,4.97,4.99,4.94125,4.88,0.788916977115487,991250.0,991250.0,991250.0,992500.0,991184.2105263158,990000.0
4,big,cachekiller,1200000,1256792.0,1258824.0,1259840.0,1277112.0,1256541.0877192982,672237.0,4.86,4.87,4.9025,4.92,4.875,4.81,0.7783395423097393,1016250.0,1016250.0,1017500.0,1017500.0,1016620.0657894736,1015000.0
4,big,cachekiller,1300000,1420246.0,1422330.0,1423372.0,1444212.0,1419864.1754385964,664391.0,4.8,4.825,4.842499999999999,4.88,4.826666666666667,4.78,0.7706226716338479,1042500.0,1042500.0,1042500.0,1043750.0,1042264.254385965,1041250.0
4,big,cachekiller,1400000,1600500.0,1603068.0,1604294.0,1625041.0,1602528.7478070175,1358084.0,4.8175,4.835,4.8525,4.91,4.839166666666666,4.79,0.7726184140500266,1067500.0,1067500.0,1068750.0,1068750.0,1068056.4692982456,1066250.0
4,big,cachekiller,1500000,1795799.0,1800171.0,1801264.0,1825365.0,1797442.745614035,1215396.0,4.76,4.785,4.8,4.85,4.7820833333333335,4.74,0.7635045236828101,1093750.0,1093750.0,1093750.0,1095000.0,1093777.4122807018,1092500.0
4,big,cachekiller,1600000,2058996.25,2064768.0,2067032.0,2091518.0,2062688.6381578948,1910816.0,4.77,4.78,4.8,4.83,4.7825,4.71,0.763571048430016,1132500.0,1132500.0,1132500.0,1133750.0,1132532.894736842,1132500.0
4,big,cachekiller,1700000,2365420.0,2373617.0,2377130.0,2404063.0,2370359.513157895,2256517.0,4.66,4.68,4.705,4.73,4.683,4.65,0.7476849387972326,1171250.0,1171250.0,1171250.0,1172500.0,1171398.0263157894,1171250.0
4,big,cachekiller,1800000,2691040.0,2701930.0,2710400.0,2745490.0,2697021.986842105,2082075.0,4.67,4.6850000000000005,4.702500000000001,4.72,4.685500000000001,4.65,0.7480840872804686,1210000.0,1210000.0,1210000.0,1211250.0,1210049.3421052631,1207500.0
4,big,cachekiller,1900000,3149971.5,3167620.0,3177716.0,3221886.0,3153063.7697368423,1324025.0,4.62,4.64,4.65,4.67,4.636000000000001,4.59,0.7401809473124005,1261250.0,1262500.0,1262500.0,1262500.0,1262138.1578947369,1255000.0
4,big,cachekiller,2000000,3792028.5,3822858.0,3837444.0,3884129.0,3797283.100877193,2110680.0,4.63,4.645,4.66,4.67,4.6425,4.61,0.7412187333688133,1326250.0,1326250.0,1326250.0,1327500.0,1326334.9780701755,1320000.0
