howmany,island,task,frequency,power_25%,power_50%,power_75%,power_max,power_mean,power_min,time_25%,time_50%,time_75%,time_max,time_mean,time_min,time_rel,voltage_25%,voltage_50%,voltage_75%,voltage_max,voltage_mean,voltage_min
4,big,cacherate-100,200000,223440.0,223685.0,223685.0,230076.0,223675.01096491228,174383.0,10.875,10.945,10.9825,11.15,10.893750000000002,10.57,1.9033925451368672,913750.0,913750.0,913750.0,913750.0,913453.947368421,912500.0
4,big,cacherate-100,300000,316464.0,316464.0,316464.0,323760.0,316647.0614035088,279984.0,7.795,7.855,7.9025,7.98,7.829166666666666,7.6,1.3679382644146767,912500.0,912500.0,912500.0,913750.0,912395.8333333334,911250.0
4,big,cacherate-100,400000,398544.0,399018.0,399456.0,407217.0,398953.0635964912,211816.0,6.387499999999999,6.425,6.4925,6.54,6.4245833333333335,6.26,1.1225247524752475,911250.0,911250.0,912500.0,913750.0,911688.596491228,911250.0
4,big,cacherate-100,500000,481008.0,481919.0,482830.0,491029.0,481718.9057017544,304608.0,5.657500000000001,5.720000000000001,5.7425,5.76,5.699166666666667,5.56,0.9957775189283636,911250.0,911250.0,911250.0,912500.0,911151.3157894736,910000.0
4,big,cacherate-100,600000,557532.0,558443.0,559354.0,569375.0,558358.8552631579,369866.0,5.217499999999999,5.255,5.282500000000001,5.31,5.248333333333334,5.15,0.9170064065230056,910000.0,911250.0,911250.0,912500.0,910899.1228070176,910000.0
4,big,cacherate-100,700000,617185.0,618086.0,618987.0,633145.0,618717.2368421053,613581.0,4.95,4.97,5.005,5.03,4.9725,4.89,0.8688118811881189,901250.0,901250.0,901250.0,911250.0,901282.894736842,900000.0
4,big,cacherate-100,800000,709401.0,710314.0,711870.0,722850.0,711160.9035087719,662838.0,4.77,4.79,4.8125,4.84,4.78875,4.72,0.8367064647641236,913750.0,913750.0,915000.0,915000.0,914111.8421052631,913750.0
4,big,cacherate-100,900000,833780.0,834720.0,835660.0,846940.0,834815.8728070175,745420.0,4.655,4.675,4.7,4.71,4.672083333333333,4.6,0.816322073383809,940000.0,940000.0,940000.0,941250.0,939871.1622807018,938750.0
4,big,cacherate-100,1000000,964035.0,965965.0,966930.0,980440.0,964599.2149122808,771834.0,4.53,4.56,4.5725,4.61,4.552916666666667,4.5,0.7955008736167737,965000.0,965000.0,965000.0,966250.0,965008.2236842106,963750.0
4,big,cacherate-100,1100000,1108929.0,1109920.0,1110911.0,1124785.0,1109503.125,894960.0,4.4575,4.49,4.5,4.54,4.482916666666667,4.43,0.7832702387885849,991250.0,991250.0,991250.0,991250.0,991228.0701754388,990000.0
4,big,cacherate-100,1200000,1263114.0,1266165.0,1267182.0,1284471.0,1265694.3092105263,1171584.0,4.43,4.45,4.47,4.49,4.4504166666666665,4.41,0.7775917297612115,1017500.0,1017500.0,1017500.0,1017500.0,1017228.6184210526,1016250.0
4,big,cacherate-100,1300000,1426170.0,1428582.0,1431708.0,1449422.0,1428437.0131578948,1275225.0,4.38,4.395,4.422499999999999,4.44,4.4,4.34,0.7687827606290042,1042500.0,1042500.0,1042500.0,1043750.0,1042330.0438596492,1041250.0
4,big,cacherate-100,1400000,1609036.0,1612237.0,1613748.0,1635108.0,1608785.25877193,1217447.0,4.4,4.41,4.4325,4.46,4.415416666666666,4.35,0.7714764123471171,1067500.0,1067500.0,1068750.0,1068750.0,1068001.644736842,1067500.0
4,big,cacherate-100,1500000,1806729.0,1811101.0,1813593.75,1834125.0,1809869.701754386,1662453.0,4.36,4.37,4.4,4.42,4.377916666666667,4.33,0.7649242865463017,1093750.0,1093750.0,1093750.0,1095000.0,1094037.8289473683,1093750.0
4,big,cacherate-100,1600000,2077746.5,2082880.0,2085144.0,2105520.0,2078532.8903508773,1440750.0,4.33,4.34,4.36,4.39,4.345416666666667,4.28,0.7592457775189285,1132500.0,1132500.0,1132500.0,1133750.0,1132686.403508772,1130000.0
4,big,cacherate-100,1700000,2370104.0,2375959.0,2380643.0,2405234.0,2372047.682017544,1833760.0,4.19,4.21,4.235,4.26,4.2155000000000005,4.18,0.7365463016889926,1171250.0,1171250.0,1171250.0,1172500.0,1171247.25877193,1168750.0
4,big,cacherate-100,1800000,2698300.0,2709190.0,2715240.0,2747910.0,2703048.956140351,2079661.0,4.25,4.27,4.28,4.29,4.265,4.23,0.7451951077460688,1210000.0,1210000.0,1210000.0,1211250.0,1209969.846491228,1207500.0
4,big,cacherate-100,1900000,3171415.0,3190330.0,3199170.0,3233244.0,3173624.138157895,1872696.0,4.2075,4.215,4.2325,4.25,4.2170000000000005,4.18,0.7368083867210252,1261250.0,1262500.0,1262500.0,1262500.0,1261880.4824561405,1256250.0
4,big,cacherate-100,2000000,3841090.5,3869268.0,3885180.0,3927920.0,3851897.653508772,3195045.0,4.18,4.195,4.21,4.23,4.1945,4.15,0.7328771112405359,1326250.0,1326250.0,1326250.0,1327500.0,1326466.5570175438,1323750.0
