frequency,power,task,island,voltage,time,howmany,time_rel
200000,32105.552631578947,idle,big,914791.6666666666,2.01,4,1.0
300000,39536.51096491228,idle,big,914964.3640350878,2.000833333333333,4,0.9954394693200664
400000,45361.59429824561,idle,big,914742.3245614036,2.000833333333333,4,0.9954394693200664
500000,51520.5701754386,idle,big,914980.8114035088,2.0,4,0.9950248756218908
600000,57964.99780701754,idle,big,915068.5307017544,2.0,4,0.9950248756218908
700000,65090.24780701754,idle,big,915090.4605263158,2.0,4,0.9950248756218908
800000,74624.11403508772,idle,big,927532.894736842,2.0,4,0.9950248756218908
900000,85879.70833333333,idle,big,952557.5657894736,2.0,4,0.9950248756218908
1000000,99605.57236842104,idle,big,977467.105263158,2.0,4,0.9950248756218908
1100000,114107.0394736842,idle,big,1002373.903508772,2.0,4,0.9950248756218908
1200000,128891.46929824562,idle,big,1027371.1622807018,2.0,4,0.9950248756218908
1300000,148312.25219298244,idle,big,1052182.0175438595,2.0,4,0.9950248756218908
1400000,165873.1096491228,idle,big,1076562.5,2.0,4,0.9950248756218908
1500000,187237.9802631579,idle,big,1101864.035087719,2.0,4,0.9950248756218908
1600000,218708.18859649124,idle,big,1138991.2280701755,2.0,4,0.9950248756218908
1700000,249561.7346491228,idle,big,1176118.4210526317,2.0,4,0.9950248756218908
1800000,292098.1293859649,idle,big,1213426.535087719,2.0,4,0.9950248756218908
1900000,339143.4649122807,idle,big,1250106.9078947369,2.0,4,0.9950248756218908
2000000,424754.7587719298,idle,big,1312648.0263157894,2.0,4,0.9950248756218908
