frequency,power,task,island,voltage,time,howmany,time_rel
200000,71488.45614035087,cacherate-20,little,917160.0877192982,18.1725,4,1.0135248187395425
300000,96602.8399122807,cacherate-20,little,916340.4605263158,12.276666666666666,4,0.68469975831939
400000,109995.46710526316,cacherate-20,little,916332.2368421052,9.611666666666666,4,0.536066183305447
500000,123881.34649122808,cacherate-20,little,916258.2236842106,8.206249999999999,4,0.4576826547685442
600000,154382.73903508772,cacherate-20,little,952524.6710526316,7.435833333333335,4,0.4147146309722997
700000,182791.8728070176,cacherate-20,little,989114.5833333334,6.977083333333333,4,0.3891290202639895
800000,210388.7214912281,cacherate-20,little,1025682.5657894736,6.446666666666668,4,0.3595463840862614
900000,241032.4605263158,cacherate-20,little,1062519.1885964912,6.145833333333333,4,0.3427681725227737
1000000,274228.85307017545,cacherate-20,little,1097261.5131578948,6.017083333333332,4,0.3355874697899236
1100000,295997.17763157893,cacherate-20,little,1120068.5307017544,5.868333333333335,4,0.3272913180888641
1200000,337320.8179824561,cacherate-20,little,1156233.5526315789,5.736249999999999,4,0.3199247071946457
1300000,387981.15789473685,cacherate-20,little,1205043.8596491227,5.69625,4,0.3176938092582264
1400000,439799.3114035088,cacherate-20,little,1254177.6315789474,5.689166666666668,4,0.3172987544153188
1500000,493614.0877192983,cacherate-20,little,1291313.048245614,5.66,4,0.3156720580033463
