frequency,power,task,island,voltage,time,howmany,time_rel
200000,65827.71271929824,encrypt,little,917269.7368421052,35.53916666666667,4,0.999179982193899
300000,96725.6600877193,encrypt,little,916483.004385965,23.540000000000003,4,0.6618246567639755
400000,127088.17105263156,encrypt,little,916247.2587719298,17.59583333333333,4,0.4947050278806053
500000,157004.76096491228,encrypt,little,915353.6184210526,14.063333333333333,4,0.3953891570216953
600000,204169.9649122807,encrypt,little,951452.850877193,11.72625,4,0.3296823016728363
700000,257497.30701754385,encrypt,little,987516.447368421,10.047083333333331,4,0.2824727051215968
800000,304410.7149122807,encrypt,little,1008037.2807017544,8.785416666666666,4,0.247001077737688
900000,368594.9583333333,encrypt,little,1044095.394736842,7.809583333333333,4,0.2195656248535682
1000000,440246.35307017545,encrypt,little,1080397.4780701755,7.041666666666667,4,0.1979757274729394
1100000,518165.2346491228,encrypt,little,1117500.0,6.414583333333333,4,0.1803453446417693
1200000,606513.0855263158,encrypt,little,1153760.964912281,5.885416666666667,4,0.165467878731081
1300000,716755.2368421053,encrypt,little,1202387.6096491227,5.432916666666667,4,0.1527458881964294
1400000,842511.8530701754,encrypt,little,1250504.3859649124,5.059166666666667,4,0.1422379457382503
1500000,959239.9627192982,encrypt,little,1286354.1666666667,4.72375,4,0.1328077409680896
