howmany,island,task,frequency,power_25%,power_50%,power_75%,power_max,power_mean,power_min,time_25%,time_50%,time_75%,time_max,time_mean,time_min,time_rel,voltage_25%,voltage_50%,voltage_75%,voltage_max,voltage_mean,voltage_min
4,little,hash,200000,56854.0,56854.0,56854.0,57771.0,56813.37280701754,33929.0,37.515,37.525000000000006,37.55,37.8,37.553333333333335,37.48,0.9979626184781646,917500.0,917500.0,917500.0,917500.0,917491.7763157894,916250.0
4,little,hash,300000,83356.0,83356.0,83356.0,84364.0,83102.74342105263,42182.0,25.0,25.01,25.01,25.02,25.007083333333338,25.0,0.6645517760651962,916250.0,916250.0,916250.0,917500.0,916499.451754386,916250.0
4,little,hash,400000,109004.0,109004.0,109004.0,110836.0,108573.88815789472,22008.0,18.75,18.76,18.762500000000003,18.78,18.76,18.75,0.4985384002125963,916250.0,916250.0,916250.0,917500.0,916315.7894736842,916250.0
4,little,hash,500000,133736.0,133736.0,134652.0,135568.0,133462.78070175438,57771.0,15.0,15.01,15.01,15.02,15.006666666666666,14.99,0.3987952874479581,916250.0,916250.0,916250.0,917500.0,916252.7412280702,915000.0
4,little,hash,600000,172312.0,172312.0,173264.0,176120.0,172013.21271929826,84817.0,12.54,12.54,12.55,12.55,12.54125,12.53,0.3332779697050225,952500.0,952500.0,952500.0,953750.0,952486.2938596492,951250.0
4,little,hash,700000,215384.0,215768.5,216372.0,219336.0,215195.7697368421,70361.0,10.76,10.765,10.7725,10.78,10.766666666666666,10.75,0.28611923110993,987500.0,988750.0,988750.0,991250.0,988442.9824561405,987500.0
4,little,hash,800000,262911.0,263425.0,264450.0,269575.0,262590.4539473684,46260.0,9.43,9.43,9.4425,9.45,9.435416666666669,9.42,0.250741872619364,1023750.0,1025000.0,1025000.0,1028750.0,1024690.2412280702,1023750.0
4,little,hash,900000,307230.0,308275.0,309320.0,312455.0,307434.38157894736,132750.0,8.41,8.415,8.42,8.45,8.419166666666667,8.4,0.2237354947293826,1045000.0,1045000.0,1045000.0,1065000.0,1045361.8421052631,1045000.0
4,little,hash,1000000,365378.0,366459.0,367540.0,370783.0,364851.1359649123,91466.0,7.58,7.585,7.59,7.59,7.584166666666667,7.57,0.201545752502436,1081250.0,1081250.0,1081250.0,1102500.0,1081417.214912281,1081250.0
4,little,hash,1100000,429312.0,430796.0,431548.0,433784.0,428543.0131578947,83220.0,6.93,6.9350000000000005,6.95,6.97,6.93875,6.92,0.1843941004517671,1117500.0,1118750.0,1118750.0,1140000.0,1118308.6622807018,1117500.0
4,little,hash,1200000,498960.0,501270.0,502425.0,505890.0,498664.1710526316,143106.0,6.35,6.36,6.37,6.37,6.360416666666667,6.35,0.1690251572327044,1155000.0,1155000.0,1155000.0,1173750.0,1155063.048245614,1153750.0
4,little,hash,1300000,587064.0,589470.0,590673.0,596192.0,586420.7039473684,211932.0,5.89,5.9,5.9,5.91,5.895833333333333,5.88,0.1566790681194082,1203750.0,1203750.0,1203750.0,1222500.0,1203560.855263158,1202500.0
4,little,hash,1400000,689852.0,692356.0,696112.0,699868.0,689754.125,223168.0,5.4975000000000005,5.5,5.51,5.51,5.500416666666666,5.49,0.1461710514660288,1252500.0,1252500.0,1252500.0,1268750.0,1252560.3070175438,1251250.0
4,little,hash,1500000,781209.0,785070.0,788256.0,794696.0,782265.572368421,322648.0,5.17,5.18,5.1825,5.22,5.177916666666667,5.16,0.1376007618035255,1287500.0,1288750.0,1288750.0,1301250.0,1288399.1228070175,1287500.0
