island,frequency,task,power,time
big,200000,cachekiller,92084.62719298246,3.97
big,300000,cachekiller,126333.9364035088,3.0516666666666663
big,400000,cachekiller,156175.78728070177,2.635
big,500000,cachekiller,183982.63157894736,2.4366666666666665
big,600000,cachekiller,206177.09649122806,2.3000000000000003
big,700000,cachekiller,229828.1864035088,2.236666666666667
big,800000,cachekiller,260878.78070175438,2.2016666666666667
big,900000,cachekiller,302410.6820175438,2.19
big,1000000,cachekiller,332069.80482456135,2.1766666666666663
big,1100000,cachekiller,376038.5416666666,2.18
big,1200000,cachekiller,429410.59429824556,2.1733333333333333
big,1300000,cachekiller,481435.05701754394,2.146666666666667
big,1400000,cachekiller,538058.8114035088,2.145
big,1500000,cachekiller,597027.269736842,2.146666666666667
big,1600000,cachekiller,683689.802631579,2.14
big,1700000,cachekiller,784093.9649122807,2.148
big,1800000,cachekiller,886427.8596491229,2.226
big,1900000,cachekiller,1028851.3114035088,2.2120000000000006
big,2000000,cachekiller,1214065.375,2.176
big,200000,cacherate-0,44329.49122807018,20.256666666666668
big,300000,cacherate-0,64386.70614035088,13.428333333333336
big,400000,cacherate-0,87302.03728070177,10.04
big,500000,cacherate-0,108950.3399122807,8.01
big,600000,cacherate-0,129729.70833333334,6.670000000000001
big,700000,cacherate-0,149750.77412280702,5.71
big,800000,cacherate-0,176637.39473684214,4.990000000000001
big,900000,cacherate-0,210464.50438596492,4.4383333333333335
big,1000000,cacherate-0,247132.99999999997,3.9900000000000007
big,1100000,cacherate-0,275509.802631579,3.621666666666668
big,1200000,cacherate-0,319265.67982456135,3.32
big,1300000,cacherate-0,361244.8815789474,3.07
big,1400000,cacherate-0,410482.7872807018,2.85
big,1500000,cacherate-0,461374.71491228073,2.6566666666666667
big,1600000,cacherate-0,532694.7894736843,2.49
big,1700000,cacherate-0,620917.923245614,2.34
big,1800000,cacherate-0,698160.6535087719,2.21
big,1900000,cacherate-0,829028.899122807,2.096
big,2000000,cacherate-0,973373.8355263157,1.99
big,200000,cacherate-100,91743.70394736841,3.605
big,300000,cacherate-100,124877.91228070177,2.785
big,400000,cacherate-100,156069.90570175438,2.411666666666666
big,500000,cacherate-100,183417.35087719298,2.2233333333333336
big,600000,cacherate-100,207272.75438596492,2.1
big,700000,cacherate-100,230213.72807017542,2.0383333333333327
big,800000,cacherate-100,262453.02850877197,2.01
big,900000,cacherate-100,297075.6600877193,1.9983333333333333
big,1000000,cacherate-100,331270.5855263157,1.9783333333333333
big,1100000,cacherate-100,377386.3245614035,1.99
big,1200000,cacherate-100,429142.5635964912,1.9833333333333327
big,1300000,cacherate-100,481220.1557017544,1.9583333333333333
big,1400000,cacherate-100,541644.7631578947,1.9416666666666664
big,1500000,cacherate-100,600437.1732456139,1.956666666666667
big,1600000,cacherate-100,691172.019736842,1.9466666666666663
big,1700000,cacherate-100,788854.0701754387,1.958
big,1800000,cacherate-100,883672.3135964912,2.022
big,1900000,cacherate-100,1045335.4692982456,2.02
big,2000000,cacherate-100,1229377.4495614036,1.99
big,200000,cacherate-20,77472.57236842105,14.645
big,300000,cacherate-20,116640.69956140351,9.691666666666665
big,400000,cacherate-20,155789.18201754385,7.25
big,500000,cacherate-20,194061.73684210525,5.79
big,600000,cacherate-20,234075.94078947368,4.82
big,700000,cacherate-20,271482.975877193,4.13
big,800000,cacherate-20,321668.55482456146,3.61
big,900000,cacherate-20,376717.76096491225,3.2100000000000004
big,1000000,cacherate-20,436992.1622807017,2.89
big,1100000,cacherate-20,513612.13596491236,2.6299999999999994
big,1200000,cacherate-20,586275.3026315789,2.425
big,1300000,cacherate-20,657319.9188596491,2.396666666666667
big,1400000,cacherate-20,739625.625,2.2983333333333333
big,1500000,cacherate-20,817414.1995614036,2.2566666666666664
big,1600000,cacherate-20,926502.4692982457,2.2
big,1700000,cacherate-20,1038975.6469298246,2.156
big,1800000,cacherate-20,1142080.7521929827,2.144
big,1900000,cacherate-20,1342269.2192982456,2.108
big,2000000,cacherate-20,1571107.8289473683,2.04
big,200000,cacherate-40,95748.38157894737,6.348333333333334
big,300000,cacherate-40,143677.00438596492,4.2
big,400000,cacherate-40,190995.7346491228,3.15
big,500000,cacherate-40,235770.82456140348,2.54
big,600000,cacherate-40,270419.34210526315,2.33
big,700000,cacherate-40,284189.2280701754,2.216666666666667
big,800000,cacherate-40,311981.08771929826,2.1166666666666667
big,900000,cacherate-40,341836.1315789474,2.0683333333333334
big,1000000,cacherate-40,387999.6929824562,2.033333333333333
big,1100000,cacherate-40,436303.0087719299,2.0266666666666664
big,1200000,cacherate-40,488165.8355263158,2.01
big,1300000,cacherate-40,547147.5219298246,1.95
big,1400000,cacherate-40,606739.5065789474,1.9583333333333333
big,1500000,cacherate-40,673412.2214912281,1.9433333333333327
big,1600000,cacherate-40,770515.8442982456,1.9316666666666664
big,1700000,cacherate-40,867188.5307017545,1.928
big,1800000,cacherate-40,959122.7850877193,2.096
big,1900000,cacherate-40,1121023.5263157894,2.08
big,2000000,cacherate-40,1319308.0592105263,2.048
big,200000,cacherate-60,109275.01315789475,3.851666666666667
big,300000,cacherate-60,157419.11403508772,2.671666666666667
big,400000,cacherate-60,171214.03728070177,2.345
big,500000,cacherate-60,199597.05701754385,2.3799999999999994
big,600000,cacherate-60,224804.24561403508,2.181666666666666
big,700000,cacherate-60,249760.0460526316,2.0816666666666666
big,800000,cacherate-60,280890.60526315786,2.016666666666666
big,900000,cacherate-60,312322.4868421053,1.985
big,1000000,cacherate-60,353220.93640350876,1.9666666666666668
big,1100000,cacherate-60,399233.6842105263,1.9583333333333333
big,1200000,cacherate-60,455521.49999999994,1.9566666666666663
big,1300000,cacherate-60,507157.9780701755,1.9
big,1400000,cacherate-60,556282.4364035088,1.8983333333333328
big,1500000,cacherate-60,617804.4978070175,1.8966666666666665
big,1600000,cacherate-60,702969.2127192982,1.8866666666666667
big,1700000,cacherate-60,804605.9671052633,1.896
big,1800000,cacherate-60,913381.3596491229,2.044
big,1900000,cacherate-60,1056279.6359649121,2.04
big,2000000,cacherate-60,1279953.4868421054,2.004
big,200000,cacherate-80,95730.94298245614,3.411666666666666
big,300000,cacherate-80,129567.04824561405,2.885
big,400000,cacherate-80,160148.61842105264,2.486666666666667
big,500000,cacherate-80,188591.93201754385,2.273333333333333
big,600000,cacherate-80,214574.61842105267,2.1216666666666666
big,700000,cacherate-80,235446.60745614037,2.055
big,800000,cacherate-80,268172.05263157893,2.015
big,900000,cacherate-80,301848.01973684214,2.0016666666666665
big,1000000,cacherate-80,335600.4627192983,1.9833333333333327
big,1100000,cacherate-80,378747.2192982456,1.9883333333333333
big,1200000,cacherate-80,434159.0175438596,1.9866666666666664
big,1300000,cacherate-80,487346.34210526315,1.9483333333333333
big,1400000,cacherate-80,542708.7061403509,1.945
