howmany,island,frequency,task,power,time
1,big,200000,decrypt,102739.37609649122,0.5974696497511511
1,big,300000,decrypt,146801.174122807,0.3948090608865529
1,big,400000,decrypt,191060.3535818713,0.2950834922554536
1,big,500000,decrypt,231625.66980994152,0.2354062979673473
1,big,600000,decrypt,272051.15423976607,0.1959160891204241
1,big,700000,decrypt,316164.56074561406,0.1679613005256058
1,big,800000,decrypt,368905.0353801171,0.1469370668403181
1,big,900000,decrypt,438493.7774122807,0.1306107260802828
1,big,1000000,decrypt,514884.80789473676,0.1176333782966649
1,big,1100000,decrypt,599229.030116959,0.1070282338713428
1,big,1200000,decrypt,687675.7276315789,0.0981440997255686
1,big,1300000,decrypt,789135.4978070174,0.0906088655286292
1,big,1400000,decrypt,894039.550877193,0.0844225312805246
1,big,1500000,decrypt,1013053.582383041,0.0787943625284897
1,big,1600000,decrypt,1169287.1406432749,0.0740034420205591
1,big,1700000,decrypt,1345769.995614035,0.0696590539094841
1,big,1800000,decrypt,1552732.9028508773,0.0658635285362109
1,big,1900000,decrypt,1830415.101754386,0.0624587190101865
1,big,2000000,decrypt,2125961.20504386,0.0593329922321968
1,big,200000,encrypt,102364.8649853801,0.6105618293425801
1,big,300000,encrypt,145339.78282163743,0.4040110585258422
1,big,400000,encrypt,187747.63011695904,0.3015791200037487
1,big,500000,encrypt,227691.59809941522,0.2408040860315823
1,big,600000,encrypt,266906.5538011696,0.2005060681317651
1,big,700000,encrypt,308482.9908625731,0.1716414413570123
1,big,800000,encrypt,360382.0671783626,0.1502272620776908
1,big,900000,encrypt,426750.0572368421,0.1336863314746263
1,big,1000000,encrypt,500931.5940058478,0.1202848976149196
1,big,1100000,encrypt,582060.5229532165,0.10936694625369
1,big,1200000,encrypt,667705.702997076,0.1004638957874514
1,big,1300000,encrypt,766021.7836257309,0.0926854411695796
1,big,1400000,encrypt,868902.1749999999,0.0862658732018181
1,big,1500000,encrypt,978278.6680555556,0.0805960357996345
1,big,1600000,encrypt,1134248.3063596492,0.0756290708026802
1,big,1700000,encrypt,1306788.0523391813,0.0712993767864673
1,big,1800000,encrypt,1502537.7042397659,0.0673632913171829
1,big,1900000,encrypt,1771421.7226608188,0.0639332739796635
1,big,2000000,encrypt,2082656.2178362573,0.0607844056042359
1,big,200000,gzip-1,110237.78289473684,0.6780987394957984
1,big,300000,gzip-1,156841.81549707602,0.4482142857142858
1,big,400000,gzip-1,203317.7835526316,0.3346638655462184
1,big,500000,gzip-1,244355.12690058482,0.2672794117647059
1,big,600000,gzip-1,288526.73581871344,0.2225840336134454
1,big,700000,gzip-1,334888.4107456141,0.1906512605042017
1,big,800000,gzip-1,386600.2528508772,0.1667542016806722
1,big,900000,gzip-1,462785.37602339184,0.1483718487394958
1,big,1000000,gzip-1,538871.6376461987,0.1335609243697479
1,big,1100000,gzip-1,633661.3290204678,0.1214285714285714
1,big,1200000,gzip-1,726648.1103801171,0.1114495798319327
1,big,1300000,gzip-1,827457.5084064327,0.1028886554621848
1,big,1400000,gzip-1,935156.6013157893,0.0956932773109243
1,big,1500000,gzip-1,1065745.5792397659,0.089390756302521
1,big,1600000,gzip-1,1227905.3969298247,0.0837710084033613
1,big,1700000,gzip-1,1405220.805994152,0.0790336134453781
1,big,1800000,gzip-1,1624079.365497076,0.0746848739495798
1,big,1900000,gzip-1,1899385.053874269,0.0708403361344538
1,big,2000000,gzip-1,2144430.734502924,0.0673739495798319
1,big,200000,gzip-5,111633.71783625732,0.644254337482578
1,big,300000,gzip-5,158943.70029239767,0.4262507809871677
1,big,400000,gzip-5,206987.40482456138,0.318931128946989
1,big,500000,gzip-5,249363.77434210526,0.2547219685682703
1,big,600000,gzip-5,293734.8073099415,0.2120920843946748
1,big,700000,gzip-5,339367.4733187135,0.1817657519104147
1,big,800000,gzip-5,397552.696125731,0.1589368962368433
1,big,900000,gzip-5,471142.02434210526,0.1413947229297832
1,big,1000000,gzip-5,552431.7183479533,0.1272168020377757
1,big,1100000,gzip-5,643239.1062134502,0.1157302830778103
1,big,1200000,gzip-5,737133.3278508772,0.1061181333205171
1,big,1300000,gzip-5,844066.0209064326,0.0980439275243908
1,big,1400000,gzip-5,958466.3524122806,0.0911712404479261
1,big,1500000,gzip-5,1083188.0088450292,0.0852117075984043
1,big,1600000,gzip-5,1253283.659502924,0.0798769644831066
1,big,1700000,gzip-5,1441560.6140350876,0.0752631325996058
1,big,1800000,gzip-5,1668389.4268274854,0.0712260297015427
1,big,1900000,gzip-5,1920188.548245614,0.0674772912961984
1,big,2000000,gzip-5,2150549.466812866,0.0642476089777478
1,big,200000,gzip-9,111716.41235380116,0.6456359701851406
1,big,300000,gzip-9,159203.5668128655,0.4268333734070689
1,big,400000,gzip-9,206773.006871345,0.3190670834335177
1,big,500000,gzip-9,249324.6816520468,0.2548689588843472
