howmany,island,task,frequency,power_25%,power_50%,power_75%,power_max,power_mean,power_min,time_25%,time_50%,time_75%,time_max,time_mean,time_min,time_rel
1,cpu,gzip-9,600000,3072000.0,3072000.0,3076000.0,3160000.0,3073500.834724541,2900000.0,7.22,7.22,7.23,7.24,7.226666666666667,7.22,1.0
1,cpu,gzip-9,700000,3171000.0,3171000.0,3175000.0,3225000.0,3173396.6666666665,2889000.0,6.215,6.23,6.23,6.23,6.22,6.2,0.86070110701107
1,cpu,gzip-9,800000,3244000.0,3244000.0,3248000.0,3286000.0,3244955.955955956,3152000.0,5.43,5.45,5.45,5.46,5.444,5.43,0.7533210332103321
1,cpu,gzip-9,900000,3313000.0,3316000.0,3320000.0,3423000.0,3314124.124124124,2942000.0,4.83,4.83,4.85,4.85,4.834,4.81,0.6689114391143911
1,cpu,gzip-9,1000000,3385000.0,3389000.0,3389000.0,3427000.0,3385115.230460922,2969000.0,4.34,4.34,4.35,4.36,4.343999999999999,4.33,0.6011070110701107
1,cpu,gzip-9,1100000,3458000.0,3458000.0,3461000.0,3564000.0,3456496.993987976,2996000.0,3.94,3.95,3.95,3.98,3.95,3.93,0.5465867158671587
1,cpu,gzip-9,1200000,3530000.0,3530000.0,3534000.0,3629000.0,3527989.97995992,3022000.0,3.63,3.63,3.64,3.65,3.632,3.61,0.5025830258302584
1,cpu,gzip-9,1300000,3603000.0,3606000.0,3606000.0,3706000.0,3600761.523046092,3049000.0,3.34,3.35,3.35,3.37,3.348,3.33,0.4632841328413284
1,cpu,gzip-9,1400000,3675000.0,3679000.0,3679000.0,3782000.0,3673359.0,3076000.0,3.1,3.1,3.1,3.12,3.102,3.09,0.4292435424354243
1,cpu,gzip-9,1500000,3751000.0,3755000.0,3755000.0,3843000.0,3746835.0,3103000.0,2.89,2.9,2.9,2.9,2.896,2.89,0.4007380073800738
