howmany,island,task,frequency,power_25%,power_50%,power_75%,power_max,power_mean,power_min,time_25%,time_50%,time_75%,time_max,time_mean,time_min,time_rel
1,cpu,hash,600000,3068000.0,3068000.0,3072000.0,3141000.0,3069580.0,3053000.0,4.84,4.84,4.84,4.84,4.84,4.84,1.0
1,cpu,hash,700000,3160000.0,3164000.0,3168000.0,3274000.0,3163740.480961924,2935000.0,4.14,4.15,4.17,4.18,4.156000000000001,4.14,0.8586776859504134
1,cpu,hash,800000,3232000.0,3236000.0,3236000.0,3278000.0,3233786.5731462925,2916000.0,3.64,3.64,3.65,3.67,3.648000000000001,3.64,0.753719008264463
1,cpu,hash,900000,3305000.0,3305000.0,3309000.0,3397000.0,3304243.75,2942000.0,3.24,3.24,3.2425,3.25,3.2425,3.24,0.6699380165289257
1,cpu,hash,1000000,3374000.0,3374000.0,3377000.0,3503000.0,3372989.98998999,2969000.0,2.92,2.92,2.93,2.95,2.928,2.92,0.6049586776859505
1,cpu,hash,1100000,3442000.0,3442000.0,3446000.0,3500000.0,3441421.421421421,2996000.0,2.66,2.66,2.67,2.68,2.666,2.66,0.5508264462809918
1,cpu,hash,1200000,3511000.0,3515000.0,3519000.0,3648000.0,3510548.0,3022000.0,2.45,2.45,2.45,2.47,2.4520000000000004,2.44,0.506611570247934
1,cpu,hash,1300000,3584000.0,3584000.0,3587000.0,3687000.0,3581019.0,3053000.0,2.26,2.26,2.26,2.28,2.262,2.25,0.4673553719008265
1,cpu,hash,1400000,3652000.0,3656000.0,3660000.0,3771000.0,3652556.556556557,3072000.0,2.1,2.1,2.1,2.11,2.1,2.09,0.4338842975206612
1,cpu,hash,1500000,3725000.0,3729000.0,3732000.0,3828000.0,3724194.1941941935,3103000.0,1.96,1.97,1.98,1.99,1.972,1.96,0.4074380165289256
