power,time,task,howmany,island,frequency,time_rel
3283356.783919598,7.0,gzip-1,2,cpu,600000,1.0048808498420905
3426940.9409409408,6.015,gzip-1,2,cpu,700000,0.8634797588285961
3529059.118236473,6.182999999999999,gzip-1,2,cpu,800000,0.8875968992248061
3638953.907815632,4.68,gzip-1,2,cpu,900000,0.6718346253229974
3746698.6986986985,4.578,gzip-1,2,cpu,1000000,0.6571920757967271
3857385.0,3.827,gzip-1,2,cpu,1100000,0.5493827160493827
3974687.371743487,3.863,gzip-1,2,cpu,1200000,0.5545506747057135
4087745.970941884,3.604,gzip-1,2,cpu,1300000,0.5173700832615562
4195137.997,3.265,gzip-1,2,cpu,1400000,0.4687051392477749
4323334.334334334,4.672000000000001,gzip-1,2,cpu,1500000,0.6706861900660351
