howmany,island,task,frequency,power_25%,power_50%,power_75%,power_max,power_mean,power_min,time_25%,time_50%,time_75%,time_max,time_mean,time_min,time_rel
3,cpu,idle,600000,2851000.0,2851000.0,2855000.0,3042000.0,2855185.696361355,2843000.0,2.0,2.0,2.0,2.01,2.0016666666666665,2.0,1.0008333333333332
3,cpu,idle,700000,2893000.0,2893000.0,2897000.0,3099000.0,2898297.5,2889000.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0
3,cpu,idle,800000,2919000.0,2919000.0,2927000.0,3187000.0,2925416.4164164164,2912000.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0
3,cpu,idle,900000,2942000.0,2946000.0,2954000.0,3202000.0,2951954.0,2935000.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0
3,cpu,idle,1000000,2969000.0,2973000.0,2977000.0,3118000.0,2975956.870611836,2961000.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0
3,cpu,idle,1100000,2996000.0,2996000.0,3000000.0,3179000.0,3001356.25,2988000.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0
3,cpu,idle,1200000,3022000.0,3026000.0,3026000.0,3232000.0,3028745.745745746,3019000.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0
3,cpu,idle,1300000,3049000.0,3053000.0,3057000.0,3316000.0,3056540.6218655966,3045000.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0
3,cpu,idle,1400000,3076000.0,3080000.0,3087000.0,3286000.0,3085741.0,3072000.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0
3,cpu,idle,1500000,3106000.0,3106000.0,3110000.0,3335000.0,3112126.126126126,3099000.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0
