power,time,task,howmany,island,frequency,time_rel
3629646.153846154,7.296250000000001,decrypt,4,cpu,600000,1.0005828304991773
3866103.31632653,6.25375,decrypt,4,cpu,700000,0.8576179374657159
4046931.6295918366,5.4795,decrypt,4,cpu,800000,0.7514399341744378
4237016.260162601,4.867,decrypt,4,cpu,900000,0.667443773998903
4431524.873096447,4.3815,decrypt,4,cpu,1000000,0.6008639605046626
4624164.467005076,3.982500000000001,decrypt,4,cpu,1100000,0.5461464618760287
4829556.345177665,3.653,decrypt,4,cpu,1200000,0.5009599561162918
5035506.085192698,3.3765,decrypt,4,cpu,1300000,0.4630416895227647
5251875.631951466,3.1325000000000003,decrypt,4,cpu,1400000,0.4295803620405924
5453776.767676768,2.923,decrypt,4,cpu,1500000,0.4008502468458585
